model,variant,horizon,segment,scope,n_obs,RMSE,MAPE,MAE,Corr,CI_coverage,fallback_forecasts,fallback_share,target_kind,lookback,n_train,n_params
gnn_st,post_covid,2,flu_season,pooled,352,22.31160378171523,64.18316652999374,12.489060886881568,0.8195489921992253,92.61363636363636,,,blend,16.0,114,15702.0
gnn_st,post_covid,2,off_season,pooled,275,6.087682355541012,68.41662009527181,4.192519857233221,0.8035384464586514,99.27272727272728,,,blend,16.0,114,15702.0
gnn_st,post_covid,2,overall,pooled,627,17.196665393576048,66.03994440950167,8.850227101948082,0.8397246890644681,95.53429027113238,,,blend,16.0,114,15702.0
gnn_st,post_covid,4,flu_season,pooled,352,30.261624604513766,89.08711837899556,18.053827552632853,0.6186521435802996,94.60227272727272,,,blend,16.0,113,15702.0
gnn_st,post_covid,4,off_season,pooled,275,6.425135035899212,73.73981103033024,4.40908241185275,0.7766367956198365,100.0,,,blend,16.0,113,15702.0
gnn_st,post_covid,4,overall,pooled,627,23.069904662303447,82.35584322607217,12.06929021018544,0.6763604164317504,96.96969696969695,,,blend,16.0,113,15702.0
gnn_st_lagsonly,post_covid,1,flu_season,pooled,352,15.701832068425649,53.244113279545935,9.043658557263289,0.9128651017835984,96.02272727272728,,,blend,16.0,115,15198.0
gnn_st_lagsonly,post_covid,1,off_season,pooled,275,5.630192861598287,69.75844950159725,4.139110068407926,0.7855538967881502,98.9090909090909,,,blend,16.0,115,15198.0
gnn_st_lagsonly,post_covid,1,overall,pooled,627,12.341626724100704,60.487243201498266,6.892540798993392,0.9190589481889246,97.28867623604464,,,blend,16.0,115,15198.0
gnn_st_lagsonly,post_covid,2,flu_season,pooled,352,22.0837708081965,63.40261173938671,12.348157027905636,0.8173135792329669,93.75,,,blend,16.0,114,15198.0
gnn_st_lagsonly,post_covid,2,off_season,pooled,275,5.931891887102963,70.5911883362744,4.169456068385731,0.8055272511091282,99.63636363636364,,,blend,16.0,114,15198.0
gnn_st_lagsonly,post_covid,2,overall,pooled,627,17.006633067920934,66.55549621170587,8.761007484256556,0.8377913768173223,96.3317384370016,,,blend,16.0,114,15198.0
gnn_st_lagsonly,post_covid,4,flu_season,pooled,352,30.855218329738083,93.8906606772838,18.677012631838977,0.6002156608560297,95.17045454545456,,,blend,16.0,113,15198.0
gnn_st_lagsonly,post_covid,4,off_season,pooled,275,6.477209615448628,76.921361811825,4.478429557626898,0.776507138028246,100.0,,,blend,16.0,113,15198.0
gnn_st_lagsonly,post_covid,4,overall,pooled,627,23.513445221191045,86.4479857362931,12.44956391507929,0.6622995162364582,97.28867623604464,,,blend,16.0,113,15198.0
gnn_st_noglobals,post_covid,1,flu_season,pooled,352,14.806712803090878,52.85478484854737,8.685601151124997,0.9223828511329584,95.45454545454544,,,blend,16.0,115,15702.0
