scope,neighborhood,horizon,RMSE,MAE,MAPE,Corr,MAPE_n
neighborhood,Allston/Brighton,1,18.03666203073748,10.696998586080083,63.75425687105248,,30
neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,10.94581164713719,6.76407821019744,84.06443251849876,,30
neighborhood,Charlestown,1,14.567835123947662,9.930330943725295,107.12918780180564,,24
neighborhood,Dorchester,1,42.52252359939507,28.517373007706684,88.08452115139667,,30
neighborhood,East Boston,1,11.83411255291774,7.905259746059548,123.94362346523783,,29
neighborhood,Fenway,1,4.949332608756269,3.976783277403398,94.2804967520529,,29
neighborhood,Hyde Park,1,16.462407423122254,11.73978230702381,115.39849181690094,,29
neighborhood,Jamaica Plain,1,12.541450255934038,8.393183857410191,133.3777140700425,,28
neighborhood,Mattapan,1,17.446267132113938,13.36528357412405,150.2896150495728,,30
neighborhood,Roslindale,1,26.920491948224846,17.79600803940753,117.55665737922811,,29
neighborhood,Roxbury,1,36.603694470390685,25.346976145544804,101.76334461311166,,30
neighborhood,South Boston,1,10.817885116394322,7.500477335216833,140.4291206058435,,28
neighborhood,South End,1,25.568274852727086,17.365343731467057,138.79803824716967,,30
neighborhood,West Roxbury,1,13.996806350956744,7.475271977126828,75.14429336810838,,29
macro,AVERAGE,1,18.800968222339666,12.62665362417811,109.57241383643016,,405
pooled,ALL,1,21.370789856021034,12.626653624178111,109.39185543791731,0.4840198221113424,405
neighborhood,Allston/Brighton,2,18.097118544968513,10.81866525274675,70.46806099543846,,30
neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,10.86859311820201,6.582411543530774,75.75823033965443,,30
neighborhood,Charlestown,2,14.41597985213699,9.572498008659968,103.09849377721963,,25
neighborhood,Dorchester,2,42.2167342916262,28.114873007706688,78.71206362591198,,30
neighborhood,East Boston,2,11.78622321028553,7.820259746059548,116.85850095618227,,29
neighborhood,Fenway,2,5.029819477277104,4.055116610736731,109.28294740827036,,29
neighborhood,Hyde Park,2,16.21200758881912,11.40978230702381,114.05910331043509,,30
neighborhood,Jamaica Plain,2,12.484524630079688,8.303183857410193,114.65716455993567,,28
neighborhood,Mattapan,2,17.34402328798128,13.238616907457383,141.77801213350642,,30
neighborhood,Roslindale,2,26.763678388228428,17.349341372740863,107.66528900922225,,29
neighborhood,Roxbury,2,36.798916304156144,25.701976145544805,105.51609365661328,,30
neighborhood,South Boston,2,10.84734560582614,7.5521440018835015,144.28925501715807,,28
neighborhood,South End,2,25.526256192424068,17.305343731467055,134.9567895847618,,30
neighborhood,West Roxbury,2,14.068212230877204,7.630271977126828,74.64864806332024,,28
macro,AVERAGE,2,18.74710233734917,12.532463176435352,106.55347517411641,,406
pooled,ALL,2,21.309037243271227,12.532463176435348,106.49253751622732,0.4858687672699324,406
