model,variant,horizon,indicator,season,level,label,threshold,n_weeks,onset_actual,onset_pred,onset_error_weeks,lead_time_weeks,first_alert_week,peak_week_actual,peak_week_pred,peak_week_error_weeks,peak_actual,peak_pred,peak_error,series
arima,exclude_covid,2,Allston/Brighton,2024-25,0.5,IT50,43.17201700312734,9,,,,,,2025-06-15,2025-06-08,-1.0,5.7,11.587546246818324,5.8875462468183235,arima/exclude_covid
arima,exclude_covid,2,Allston/Brighton,2024-25,0.9,IT90,72.80812661818143,9,,,,,,2025-06-15,2025-06-08,-1.0,5.7,11.587546246818324,5.8875462468183235,arima/exclude_covid
arima,exclude_covid,2,Allston/Brighton,2024-25,0.98,IT98,101.71188922331822,9,,,,,,2025-06-15,2025-06-08,-1.0,5.7,11.587546246818324,5.8875462468183235,arima/exclude_covid
arima,exclude_covid,2,Allston/Brighton,2025-26,0.5,IT50,43.17201700312734,40,2025-12-14,2026-01-04,3.0,-3.0,2026-01-04,2025-12-21,2026-01-04,2.0,80.6,63.35750471317239,-17.242495286827605,arima/exclude_covid
arima,exclude_covid,2,Allston/Brighton,2025-26,0.9,IT90,72.80812661818143,40,2025-12-21,,,,,2025-12-21,2026-01-04,2.0,80.6,63.35750471317239,-17.242495286827605,arima/exclude_covid
arima,exclude_covid,2,Allston/Brighton,2025-26,0.98,IT98,101.71188922331822,40,,,,,,2025-12-21,2026-01-04,2.0,80.6,63.35750471317239,-17.242495286827605,arima/exclude_covid
arima,exclude_covid,2,Back Bay/Beacon Hill/Downtown/North End/West End,2024-25,0.5,IT50,32.35361456388361,8,,,,,,2025-06-08,2025-06-01,-1.0,3.4,8.631538302588382,5.2315383025883815,arima/exclude_covid
arima,exclude_covid,2,Back Bay/Beacon Hill/Downtown/North End/West End,2024-25,0.9,IT90,56.35007606954225,8,,,,,,2025-06-08,2025-06-01,-1.0,3.4,8.631538302588382,5.2315383025883815,arima/exclude_covid
arima,exclude_covid,2,Back Bay/Beacon Hill/Downtown/North End/West End,2024-25,0.98,IT98,80.35966190257739,8,,,,,,2025-06-08,2025-06-01,-1.0,3.4,8.631538302588382,5.2315383025883815,arima/exclude_covid
arima,exclude_covid,2,Back Bay/Beacon Hill/Downtown/North End/West End,2025-26,0.5,IT50,32.35361456388361,38,2025-12-21,2026-01-04,2.0,-2.0,2026-01-04,2025-12-21,2026-01-04,2.0,58.1,51.23734866256594,-6.862651337434059,arima/exclude_covid
