vintage,anio,semana,week_start,lag_weeks,as_reported,final,completeness
20240405,2024,1,2023-12-31,13,1474.0,1781.0,0.8276
20240405,2024,2,2024-01-07,12,1775.0,1955.0,0.9079
20240405,2024,3,2024-01-14,11,1838.0,2072.0,0.8871
20240405,2024,4,2024-01-21,10,1856.0,2225.0,0.8342
20240405,2024,5,2024-01-28,9,1723.0,2226.0,0.774
20240405,2024,6,2024-02-04,8,1705.0,2133.0,0.7993
20240405,2024,7,2024-02-11,7,1353.0,1888.0,0.7166
20240405,2024,8,2024-02-18,6,992.0,1692.0,0.5863
20240405,2024,9,2024-02-25,5,1331.0,1957.0,0.6801
20240405,2024,10,2024-03-03,4,1721.0,2356.0,0.7305
20240405,2024,11,2024-03-10,3,1553.0,2617.0,0.5934
20240405,2024,12,2024-03-17,2,830.0,2591.0,0.3203
20240405,2024,13,2024-03-24,1,4.0,2853.0,0.0014
20240405,2024,14,2024-03-31,0,0.0,2669.0,0.0
20250904,2024,1,2023-12-31,87,1781.0,1781.0,1.0
20250904,2024,2,2024-01-07,86,1955.0,1955.0,1.0
20250904,2024,3,2024-01-14,85,2072.0,2072.0,1.0
20250904,2024,4,2024-01-21,84,2225.0,2225.0,1.0
20250904,2024,5,2024-01-28,83,2226.0,2226.0,1.0
20250904,2024,6,2024-02-04,82,2133.0,2133.0,1.0
20250904,2024,7,2024-02-11,81,1888.0,1888.0,1.0
20250904,2024,8,2024-02-18,80,1692.0,1692.0,1.0
20250904,2024,9,2024-02-25,79,1957.0,1957.0,1.0
20250904,2024,10,2024-03-03,78,2356.0,2356.0,1.0
20250904,2024,11,2024-03-10,77,2617.0,2617.0,1.0
20250904,2024,12,2024-03-17,76,2591.0,2591.0,1.0
20250904,2024,13,2024-03-24,75,2853.0,2853.0,1.0
20250904,2024,14,2024-03-31,74,2669.0,2669.0,1.0
20250904,2024,15,2024-04-07,73,2887.0,2887.0,1.0
20250904,2024,16,2024-04-14,72,2787.0,2787.0,1.0
20250904,2024,17,2024-04-21,71,3462.0,3462.0,1.0
20250904,2024,18,2024-04-28,70,3467.0,3467.0,1.0
20250904,2024,19,2024-05-05,69,4840.0,4840.0,1.0
20250904,2024,20,2024-05-12,68,6098.0,6098.0,1.0
20250904,2024,21,2024-05-19,67,8360.0,8360.0,1.0
20250904,2024,22,2024-05-26,66,9876.0,9876.0,1.0
20250904,2024,23,2024-06-02,65,8745.0,8745.0,1.0
20250904,2024,24,2024-06-09,64,8510.0,8510.0,1.0
20250904,2024,25,2024-06-16,63,6509.0,6509.0,1.0
20250904,2024,26,2024-06-23,62,6059.0,6059.0,1.0
20250904,2024,27,2024-06-30,61,6130.0,6130.0,1.0
20250904,2024,28,2024-07-07,60,6335.0,6335.0,1.0
20250904,2024,29,2024-07-14,59,6040.0,6040.0,1.0
20250904,2024,30,2024-07-21,58,5047.0,5047.0,1.0
20250904,2024,31,2024-07-28,57,4502.0,4502.0,1.0
20250904,2024,32,2024-08-04,56,4042.0,4042.0,1.0
20250904,2024,33,2024-08-11,55,5142.0,5142.0,1.0
20250904,2024,34,2024-08-18,54,5586.0,5586.0,1.0
20250904,2024,35,2024-08-25,53,5012.0,5012.0,1.0
20250904,2024,36,2024-09-01,52,5191.0,5191.0,1.0
20250904,2024,37,2024-09-08,51,4879.0,4879.0,1.0
20250904,2024,38,2024-09-15,50,4816.0,4816.0,1.0
20250904,2024,39,2024-09-22,49,4966.0,4966.0,1.0
20250904,2024,40,2024-09-29,48,4474.0,4474.0,1.0
20250904,2024,41,2024-10-06,47,4103.0,4103.0,1.0
20250904,2024,42,2024-10-13,46,3991.0,3991.0,1.0
20250904,2024,43,2024-10-20,45,3208.0,3208.0,1.0
20250904,2024,44,2024-10-27,44,3015.0,3015.0,1.0
20250904,2024,45,2024-11-03,43,2794.0,2794.0,1.0
20250904,2024,46,2024-11-10,42,2846.0,2846.0,1.0
20250904,2024,47,2024-11-17,41,2728.0,2728.0,1.0
20250904,2024,48,2024-11-24,40,2642.0,2642.0,1.0
20250904,2024,49,2024-12-01,39,2564.0,2564.0,1.0
20250904,2024,50,2024-12-08,38,2200.0,2200.0,1.0
20250904,2024,51,2024-12-15,37,1969.0,1969.0,1.0
20250904,2024,52,2024-12-22,36,1654.0,1654.0,1.0
20250904,2025,1,2024-12-29,35,1374.0,1376.0,0.9985
20250904,2025,2,2025-01-05,34,1661.0,1664.0,0.9982
20250904,2025,3,2025-01-12,33,1505.0,1514.0,0.9941
20250904,2025,4,2025-01-19,32,1536.0,1542.0,0.9961
20250904,2025,5,2025-01-26,31,1746.0,1757.0,0.9937
20250904,2025,6,2025-02-02,30,1638.0,1648.0,0.9939
20250904,2025,7,2025-02-09,29,1860.0,1865.0,0.9973
20250904,2025,8,2025-02-16,28,2057.0,2061.0,0.9981
20250904,2025,9,2025-02-23,27,2057.0,2058.0,0.9995
20250904,2025,10,2025-03-02,26,1821.0,1828.0,0.9962
20250904,2025,11,2025-03-09,25,3075.0,3083.0,0.9974
20250904,2025,12,2025-03-16,24,4108.0,4131.0,0.9944
20250904,2025,13,2025-03-23,23,4014.0,4043.0,0.9928
20250904,2025,14,2025-03-30,22,3617.0,3754.0,0.9635
20250904,2025,15,2025-04-06,21,3216.0,3376.0,0.9526
20250904,2025,16,2025-04-13,20,3045.0,3156.0,0.9648
20250904,2025,17,2025-04-20,19,4348.0,4541.0,0.9575
20250904,2025,18,2025-04-27,18,4569.0,4759.0,0.9601
20250904,2025,19,2025-05-04,17,5019.0,5244.0,0.9571
20250904,2025,20,2025-05-11,16,5606.0,5921.0,0.9468
20250904,2025,21,2025-05-18,15,6420.0,6796.0,0.9447
20250904,2025,22,2025-05-25,14,8267.0,8732.0,0.9467
20250904,2025,23,2025-06-01,13,8815.0,9341.0,0.9437
20250904,2025,24,2025-06-08,12,9226.0,9696.0,0.9515
20250904,2025,25,2025-06-15,11,7137.0,7481.0,0.954
20250904,2025,26,2025-06-22,10,7035.0,7489.0,0.9394
20250904,2025,27,2025-06-29,9,6067.0,6527.0,0.9295
20250904,2025,28,2025-07-06,8,6465.0,6861.0,0.9423
20250904,2025,29,2025-07-13,7,6579.0,7061.0,0.9317
20250904,2025,30,2025-07-20,6,6009.0,6444.0,0.9325
20250904,2025,31,2025-07-27,5,5449.0,5897.0,0.924
20250904,2025,32,2025-08-03,4,4444.0,5494.0,0.8089
20250904,2025,33,2025-08-10,3,4224.0,5472.0,0.7719
20250904,2025,34,2025-08-17,2,3302.0,5451.0,0.6058
20250904,2025,35,2025-08-24,1,19.0,5701.0,0.0033
20250904,2025,36,2025-08-31,0,0.0,5373.0,0.0
