t,anio,semana,week_start,ALMIRANTE BROWN,AVELLANEDA,BERAZATEGUI,ESTEBAN ECHEVERRÍA,EZEIZA,FLORENCIO VARELA,GENERAL SAN MARTÍN,HURLINGHAM,ITUZAINGÓ,JOSÉ C. PAZ,LA MATANZA,LANÚS,LOMAS DE ZAMORA,MALVINAS ARGENTINAS,MERLO,MORENO,MORÓN,QUILMES,SAN FERNANDO,SAN ISIDRO,SAN MIGUEL,TIGRE,TRES DE FEBRERO,VICENTE LÓPEZ
163,2025,8,2025-02-16,75.0,308.0,9.0,,77.0,132.0,76.0,6.0,7.0,494.0,291.0,132.0,,15.0,12.0,94.0,36.0,62.0,52.0,34.0,48.0,7.0,74.0,20.0
164,2025,9,2025-02-23,77.0,313.0,13.0,,100.0,90.0,77.0,3.0,3.0,441.0,294.0,146.0,,18.0,30.0,70.0,71.0,53.0,64.0,30.0,45.0,5.0,80.0,35.0
165,2025,10,2025-03-02,81.0,266.0,10.0,,84.0,100.0,60.0,0.0,20.0,389.0,225.0,156.0,,6.0,18.0,103.0,34.0,70.0,48.0,42.0,22.0,4.0,72.0,18.0
166,2025,11,2025-03-09,114.0,475.0,17.0,,130.0,160.0,160.0,13.0,2.0,635.0,315.0,200.0,,18.0,35.0,193.0,32.0,220.0,85.0,49.0,70.0,10.0,91.0,59.0
167,2025,12,2025-03-16,171.0,690.0,30.0,,150.0,221.0,213.0,28.0,9.0,887.0,458.0,277.0,,26.0,25.0,252.0,53.0,173.0,88.0,72.0,103.0,7.0,160.0,38.0
168,2025,13,2025-03-23,147.0,559.0,21.0,,152.0,230.0,168.0,17.0,11.0,935.0,472.0,312.0,,3.0,35.0,212.0,44.0,188.0,135.0,81.0,82.0,12.0,143.0,84.0
169,2025,14,2025-03-30,112.0,647.0,19.0,,126.0,178.0,133.0,19.0,7.0,656.0,423.0,324.0,,19.0,62.0,279.0,56.0,177.0,99.0,89.0,115.0,15.0,131.0,68.0
170,2025,15,2025-04-06,97.0,511.0,22.0,,130.0,182.0,151.0,10.0,5.0,657.0,364.0,304.0,8.0,28.0,51.0,284.0,36.0,153.0,122.0,2.0,79.0,16.0,123.0,41.0
171,2025,16,2025-04-13,103.0,386.0,18.0,,181.0,161.0,109.0,31.0,11.0,591.0,248.0,275.0,2.0,22.0,36.0,261.0,72.0,218.0,118.0,0.0,79.0,14.0,197.0,23.0
172,2025,17,2025-04-20,143.0,577.0,22.0,,170.0,231.0,184.0,105.0,27.0,841.0,479.0,332.0,0.0,51.0,67.0,488.0,70.0,182.0,129.0,1.0,81.0,5.0,269.0,87.0
173,2025,18,2025-04-27,115.0,686.0,22.0,,202.0,242.0,185.0,55.0,18.0,828.0,517.0,432.0,8.0,270.0,54.0,415.0,85.0,134.0,132.0,1.0,98.0,14.0,195.0,51.0
174,2025,19,2025-05-04,118.0,517.0,23.0,,201.0,229.0,221.0,59.0,19.0,1266.0,546.0,410.0,1.0,325.0,66.0,414.0,73.0,185.0,111.0,1.0,108.0,11.0,251.0,89.0
175,2025,20,2025-05-11,143.0,674.0,18.0,,215.0,297.0,303.0,0.0,20.0,1273.0,716.0,397.0,2.0,425.0,86.0,541.0,94.0,193.0,134.0,0.0,78.0,13.0,196.0,103.0
176,2025,21,2025-05-18,174.0,798.0,21.0,,257.0,352.0,361.0,133.0,17.0,1339.0,734.0,540.0,1.0,377.0,102.0,556.0,84.0,189.0,186.0,1.0,152.0,12.0,293.0,117.0
177,2025,22,2025-05-25,221.0,969.0,42.0,,311.0,511.0,398.0,220.0,22.0,2422.0,550.0,642.0,2.0,367.0,129.0,633.0,123.0,235.0,187.0,1.0,144.0,11.0,268.0,324.0
178,2025,23,2025-06-01,231.0,1190.0,45.0,,274.0,610.0,446.0,230.0,15.0,1866.0,979.0,791.0,4.0,268.0,200.0,788.0,135.0,238.0,236.0,1.0,140.0,34.0,417.0,203.0
179,2025,24,2025-06-08,243.0,998.0,29.0,,375.0,727.0,382.0,62.0,16.0,2302.0,942.0,714.0,1.0,482.0,174.0,676.0,179.0,251.0,298.0,11.0,177.0,54.0,355.0,248.0
180,2025,25,2025-06-15,137.0,805.0,48.0,,307.0,499.0,248.0,239.0,12.0,1295.0,734.0,507.0,11.0,417.0,350.0,586.0,125.0,212.0,311.0,38.0,125.0,83.0,222.0,170.0
181,2025,26,2025-06-22,154.0,695.0,25.0,,331.0,521.0,268.0,137.0,16.0,1312.0,634.0,679.0,10.0,475.0,270.0,758.0,91.0,233.0,369.0,9.0,127.0,90.0,209.0,76.0
182,2025,27,2025-06-29,177.0,653.0,39.0,,258.0,520.0,272.0,51.0,19.0,1090.0,614.0,445.0,0.0,63.0,173.0,897.0,120.0,196.0,345.0,28.0,134.0,89.0,221.0,123.0
183,2025,28,2025-07-06,211.0,770.0,44.0,,308.0,350.0,208.0,56.0,7.0,1296.0,655.0,511.0,4.0,48.0,242.0,1050.0,101.0,194.0,192.0,14.0,131.0,122.0,281.0,66.0
184,2025,29,2025-07-13,161.0,750.0,45.0,,248.0,499.0,259.0,8.0,0.0,1186.0,826.0,583.0,0.0,18.0,319.0,1136.0,89.0,197.0,129.0,8.0,165.0,182.0,241.0,12.0
185,2025,30,2025-07-20,168.0,757.0,26.0,,276.0,469.0,211.0,1.0,0.0,1014.0,854.0,488.0,4.0,28.0,186.0,881.0,123.0,184.0,137.0,28.0,187.0,153.0,251.0,18.0
186,2025,31,2025-07-27,156.0,514.0,25.0,,264.0,445.0,125.0,6.0,5.0,1117.0,754.0,398.0,1.0,52.0,158.0,855.0,77.0,172.0,105.0,18.0,307.0,125.0,174.0,44.0
187,2025,32,2025-08-03,94.0,541.0,27.0,,228.0,323.0,204.0,1.0,10.0,1103.0,706.0,404.0,1.0,34.0,191.0,678.0,40.0,120.0,125.0,0.0,299.0,147.0,186.0,32.0
188,2025,33,2025-08-10,120.0,633.0,23.0,,226.0,285.0,44.0,5.0,11.0,1145.0,617.0,328.0,5.0,53.0,173.0,709.0,79.0,171.0,119.0,3.0,289.0,141.0,244.0,49.0
189,2025,34,2025-08-17,121.0,532.0,20.0,,244.0,307.0,224.0,0.0,7.0,918.0,770.0,301.0,3.0,80.0,272.0,661.0,54.0,135.0,134.0,10.0,260.0,123.0,219.0,56.0
190,2025,35,2025-08-24,136.0,596.0,23.0,,227.0,372.0,0.0,2.0,8.0,1325.0,656.0,391.0,8.0,45.0,178.0,796.0,63.0,132.0,136.0,0.0,267.0,61.0,220.0,59.0
191,2025,36,2025-08-31,141.0,677.0,16.0,,218.0,351.0,187.0,7.0,16.0,975.0,583.0,321.0,3.0,92.0,166.0,664.0,86.0,145.0,106.0,9.0,246.0,33.0,253.0,78.0
192,2025,37,2025-09-07,147.0,696.0,29.0,,221.0,335.0,321.0,1.0,10.0,952.0,461.0,427.0,7.0,57.0,131.0,659.0,76.0,144.0,128.0,12.0,224.0,24.0,165.0,90.0
193,2025,38,2025-09-14,145.0,575.0,23.0,,241.0,378.0,114.0,4.0,11.0,1110.0,333.0,364.0,5.0,73.0,103.0,603.0,84.0,130.0,84.0,11.0,244.0,41.0,263.0,93.0
194,2025,39,2025-09-21,92.0,624.0,19.0,,197.0,290.0,274.0,2.0,10.0,817.0,310.0,434.0,9.0,42.0,93.0,446.0,65.0,100.0,112.0,6.0,234.0,33.0,131.0,73.0
195,2025,40,2025-09-28,118.0,567.0,21.0,,171.0,333.0,250.0,3.0,11.0,752.0,286.0,397.0,4.0,58.0,93.0,433.0,67.0,178.0,66.0,4.0,209.0,33.0,181.0,31.0
196,2025,41,2025-10-05,86.0,416.0,24.0,,204.0,260.0,196.0,0.0,8.0,786.0,233.0,338.0,6.0,31.0,95.0,400.0,53.0,172.0,41.0,1.0,194.0,9.0,142.0,54.0
197,2025,42,2025-10-12,107.0,466.0,15.0,,144.0,278.0,184.0,2.0,15.0,786.0,243.0,281.0,3.0,56.0,61.0,440.0,38.0,118.0,36.0,1.0,167.0,13.0,165.0,40.0
198,2025,43,2025-10-19,102.0,406.0,8.0,,113.0,237.0,177.0,0.0,7.0,724.0,250.0,279.0,7.0,48.0,92.0,387.0,48.0,96.0,33.0,,203.0,4.0,127.0,20.0
199,2025,44,2025-10-26,103.0,395.0,14.0,,127.0,290.0,213.0,1.0,7.0,748.0,388.0,312.0,6.0,65.0,55.0,453.0,36.0,106.0,29.0,,170.0,7.0,119.0,24.0
200,2025,45,2025-11-02,103.0,319.0,17.0,,107.0,224.0,136.0,,6.0,756.0,189.0,244.0,1.0,18.0,39.0,476.0,28.0,76.0,26.0,,169.0,8.0,128.0,50.0
201,2025,46,2025-11-09,88.0,443.0,11.0,,114.0,220.0,86.0,,6.0,748.0,335.0,288.0,4.0,27.0,53.0,322.0,34.0,69.0,34.0,,162.0,3.0,132.0,32.0
202,2025,47,2025-11-16,102.0,388.0,23.0,,86.0,152.0,160.0,,1.0,690.0,271.0,273.0,3.0,29.0,62.0,295.0,16.0,48.0,27.0,,184.0,2.0,92.0,22.0
203,2025,48,2025-11-23,85.0,332.0,14.0,,106.0,117.0,120.0,3.0,12.0,541.0,215.0,216.0,2.0,17.0,45.0,311.0,19.0,67.0,16.0,,184.0,3.0,70.0,30.0
204,2025,49,2025-11-30,83.0,419.0,2.0,,116.0,87.0,117.0,2.0,4.0,488.0,244.0,191.0,2.0,43.0,94.0,302.0,15.0,59.0,12.0,,178.0,4.0,70.0,10.0
205,2025,50,2025-12-07,59.0,435.0,12.0,,119.0,94.0,63.0,4.0,9.0,293.0,264.0,186.0,0.0,42.0,33.0,224.0,14.0,43.0,30.0,,166.0,3.0,46.0,4.0
206,2025,51,2025-12-14,74.0,353.0,8.0,,117.0,82.0,62.0,0.0,12.0,658.0,233.0,178.0,2.0,16.0,60.0,201.0,17.0,31.0,11.0,,170.0,4.0,44.0,35.0
207,2025,52,2025-12-21,40.0,235.0,7.0,,82.0,60.0,49.0,1.0,0.0,345.0,184.0,139.0,0.0,12.0,61.0,106.0,4.0,23.0,16.0,,139.0,2.0,24.0,8.0
208,2025,53,2025-12-28,44.0,193.0,6.0,,56.0,27.0,46.0,,0.0,0.0,118.0,156.0,0.0,10.0,28.0,119.0,8.0,15.0,25.0,4.0,132.0,3.0,20.0,
209,2026,1,2026-01-04,46.0,240.0,12.0,,44.0,68.0,59.0,,1.0,373.0,244.0,138.0,2.0,7.0,25.0,210.0,19.0,56.0,33.0,4.0,122.0,6.0,21.0,
210,2026,2,2026-01-11,32.0,296.0,13.0,,75.0,102.0,40.0,,1.0,373.0,128.0,121.0,,15.0,35.0,158.0,18.0,44.0,30.0,,126.0,3.0,17.0,
211,2026,3,2026-01-18,35.0,298.0,3.0,,61.0,83.0,65.0,,4.0,344.0,207.0,84.0,,10.0,69.0,153.0,16.0,30.0,45.0,,138.0,3.0,50.0,
212,2026,4,2026-01-25,40.0,269.0,2.0,,75.0,57.0,43.0,,1.0,556.0,224.0,151.0,,,22.0,156.0,22.0,49.0,,,160.0,4.0,43.0,
213,2026,5,2026-02-01,45.0,301.0,8.0,,41.0,93.0,44.0,,2.0,477.0,118.0,121.0,,,42.0,166.0,21.0,29.0,,,205.0,2.0,92.0,
214,2026,6,2026-02-08,44.0,289.0,3.0,,18.0,94.0,,,5.0,529.0,120.0,118.0,,,33.0,174.0,31.0,35.0,,,196.0,2.0,81.0,
215,2026,7,2026-02-15,41.0,81.0,5.0,,16.0,46.0,,,,610.0,84.0,145.0,,,100.0,147.0,39.0,49.0,,,153.0,2.0,57.0,
216,2026,8,2026-02-22,68.0,83.0,3.0,,0.0,6.0,,,,342.0,52.0,147.0,,,43.0,149.0,46.0,30.0,,,19.0,0.0,31.0,
217,2026,9,2026-03-01,0.0,0.0,0.0,,0.0,0.0,,,,500.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,
