model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
gnn_multiedge_season_level,post_covid,flu_season,pooled,ALL,12,352,29.136935162256407,86.89201856708124,17.4769291092049,0.6499067551604041,352.0,96.30681818181816,level,train,4865,8dd9348,,,,0.4154646197814794,0.7052709315179605,0.5704939916335651,1.0,8.0,1.0,1.0
gnn_multiedge_season,post_covid,flu_season,pooled,ALL,12,352,29.400598766246496,83.06762984695162,17.91605573113669,0.6396586765981358,352.0,98.57954545454544,delta,train,4865,8dd9348,,,,0.4048376847890736,0.7060662348639251,0.5918949602292868,2.0,4.0,3.0,2.0
gnn_multiedge_level,post_covid,flu_season,pooled,ALL,12,352,32.46025950266026,79.77877818834226,17.504713376814667,0.5858566156876706,352.0,98.86363636363636,level,train,4801,8dd9348,,,,0.2745173299323055,0.5804537618825033,0.4187494588077029,3.0,2.0,2.0,4.0
gnn_corrbinary,post_covid,flu_season,pooled,ALL,12,352,32.935211557468364,93.19949253329764,19.731128027662635,0.5325444211303172,352.0,93.75,delta,train,4801,8dd9348,,,,0.2531317649106626,0.5115332714909725,0.4641596849649046,4.0,9.0,6.0,5.0
arima,post_covid,flu_season,pooled,ALL,12,352,33.227337658031225,121.52322163137691,20.019471916386863,0.4952066117541127,352.0,99.43181818181816,level,none,,8dd9348,,,,,,,5.0,17.0,7.0,9.0
dualtopo,post_covid,flu_season,pooled,ALL,12,352,33.6849892253603,105.6861663184951,18.872443827715788,0.4985944109661567,352.0,81.5340909090909,level,train,479905,8dd9348,,,,0.2187394567214042,0.4642244292788289,0.3509031489199993,6.0,12.0,5.0,8.0
dualtopo_no_bg,post_covid,flu_season,pooled,ALL,12,352,33.71541312875209,105.0297782713776,18.84882208434018,0.4986475303073684,352.0,81.25,level,train,479905,8dd9348,,,,0.2173275679374692,0.5018677377298089,0.3493122699431648,7.0,10.0,4.0,7.0
gnn_multiedge_rt,post_covid,flu_season,pooled,ALL,12,352,34.42243846052014,121.61056559896276,22.71870231171223,0.5869558247628146,352.0,99.7159090909091,delta,train,5313,8dd9348,,,,0.1841574756491751,0.6876377560707081,0.5748380871499402,8.0,18.0,14.0,3.0
gnn_multiedge,post_covid,flu_season,pooled,ALL,12,352,35.61265604673914,84.4964419979749,20.342181679708037,0.4391404939079481,352.0,98.01136363636364,delta,train,4801,8dd9348,,,,0.1267636523885746,0.4826062966830738,0.3424345748826602,9.0,5.0,8.0,12.0
gnn_geo,post_covid,flu_season,pooled,ALL,12,352,35.722161990803066,86.54473141169956,20.600342532789167,0.426892549121374,352.0,97.72727272727272,delta,train,4801,8dd9348,,,,0.1213851381156732,0.5173049677637831,0.3526224852324021,10.0,7.0,10.0,13.0
