model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
dualtopo_no_bg,post_covid,flu_season,pooled,ALL,52,352,33.072472675097615,128.00069639692887,20.191354364156723,0.4988311517353092,352.0,84.94318181818183,level,train,479905,8dd9348,,,,0.2468934769286451,0.5158176620040482,0.3957896839941697,1.0,9.0,1.0,1.0
lstm,post_covid,flu_season,pooled,ALL,52,352,34.12744222575885,131.18429836120765,21.65519856160337,0.4623232475369808,352.0,82.95454545454545,level,train,21390,8dd9348,,,,,,,2.0,11.0,2.0,2.0
gnn_multiedge_level,post_covid,flu_season,pooled,ALL,52,352,35.66780795092085,120.0269639680404,22.547345680269327,0.4234460858232501,352.0,71.5909090909091,level,train,4801,8dd9348,,,,0.1240568819704804,0.5549120347760291,0.3884706381827249,3.0,7.0,3.0,3.0
lstm,exclude_covid,flu_season,pooled,ALL,52,352,38.118451570941694,109.27648268430012,24.20475519407879,0.3960258960492355,352.0,88.92045454545455,level,train,21390,8dd9348,,,,,,,4.0,3.0,6.0,4.0
gnn_geo,post_covid,flu_season,pooled,ALL,52,352,39.161775267663025,110.98602612818704,23.133263481569223,0.2661805737460551,352.0,71.30681818181817,delta,train,4801,8dd9348,,,,-0.0559608264634485,0.3747115320514561,0.2290788381241716,5.0,4.0,4.0,17.0
gnn_multiedge_leaknorm,post_covid,flu_season,pooled,ALL,52,352,39.39599210367518,128.82958636231143,25.086755424399268,0.3084284892852524,352.0,68.4659090909091,delta,all,4801,8dd9348,,,,-0.0686295074631841,0.4330522672039454,0.2915947361924406,6.0,10.0,8.0,14.0
gnn_multiedge_season_level,post_covid,flu_season,pooled,ALL,52,352,40.5600497045805,140.0759846596306,26.85315810550343,0.3935776151075745,352.0,76.13636363636364,level,train,4865,8dd9348,,,,-0.1327133597475955,0.5849060268384142,0.3826657109019224,7.0,15.0,14.0,5.0
gnn_multiedge_full,full,flu_season,pooled,ALL,52,352,40.80352963679178,138.49711927253855,26.226692726666275,0.3874208081397917,352.0,88.92045454545455,delta,train,4801,8dd9348,,,,-0.1463534535820272,0.5244161550313416,0.3812259592755104,8.0,14.0,11.0,6.0
gnn_multiedge_season,post_covid,flu_season,pooled,ALL,52,352,40.84630544555083,117.47826497812142,25.42296529796229,0.2721686688497584,352.0,68.18181818181817,delta,train,4865,8dd9348,,,,-0.1487582062181649,0.4271996948195287,0.2594112807099044,9.0,6.0,9.0,16.0
gnn_multiedge_rt,post_covid,flu_season,pooled,ALL,52,352,41.79368800108231,116.13020178083907,25.754597554660656,0.224645345960849,352.0,69.0340909090909,delta,train,5313,8dd9348,,,,-0.2026644068373457,0.373185080225104,0.2095458898507806,10.0,5.0,10.0,19.0
gnn_multiedge,post_covid,flu_season,pooled,ALL,52,352,41.815109588942434,147.20444580017212,27.436502306976102,0.3168762483689809,352.0,67.61363636363636,delta,train,4801,8dd9348,,,,-0.2038975874906776,0.4561189667020498,0.31001335253089,11.0,17.0,16.0,9.0
gnn_uniform,post_covid,flu_season,pooled,ALL,52,352,42.115212187017576,132.80002572807237,26.560733141361695,0.2355063432370503,352.0,76.42045454545455,delta,train,4801,8dd9348,,,,-0.2212400877199556,0.367643489054708,0.2270175233068732,12.0,12.0,12.0,18.0
gnn_multiedge_covid_rsv_full,full,flu_season,pooled,ALL,52,352,42.70045208912945,108.57748750830744,23.68190412993797,0.1553411709617568,352.0,76.13636363636364,delta,train,6337,8dd9348,,,,-0.2554170563587563,0.1822685998600341,0.1325423288838282,13.0,2.0,5.0,20.0
dualtopo_fullhistory,full,flu_season,pooled,ALL,52,352,43.34144143520329,105.12423850687247,24.743804788047616,0.2789363783412986,352.0,88.35227272727273,level,train,479905,8dd9348,,,,-0.293390842231213,0.5609252354021458,0.2769837223075237,14.0,1.0,7.0,15.0
gnn_corrbinary,post_covid,flu_season,pooled,ALL,52,352,43.768073198950155,136.3162862393611,26.778312637047335,0.1309662605859201,352.0,72.72727272727273,delta,train,4801,8dd9348,,,,-0.3189791235905166,0.269547297554266,0.1235870112848513,15.0,13.0,13.0,22.0
gnn_multiedge_covid_rsv,post_covid,flu_season,pooled,ALL,52,352,44.75759433751982,123.26424295368044,26.993024321876213,0.1382546539720741,352.0,69.0340909090909,delta,train,6337,8dd9348,,,,-0.3792930153172342,0.2407227001985586,0.1324154490977346,16.0,8.0,15.0,21.0
arima,exclude_covid,flu_season,pooled,ALL,52,352,51.575157139242116,154.7303642710264,30.83418439776587,0.3192181245040397,352.0,94.31818181818184,level,none,,8dd9348,,,,,,,17.0,18.0,18.0,8.0
persistence,exclude_covid,flu_season,pooled,ALL,52,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519452,352.0,95.45454545454544,level,none,0,8dd9348,,,,,,,18.0,19.0,19.0,10.0
persistence,post_covid,flu_season,pooled,ALL,52,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519452,352.0,61.93181818181818,level,none,0,8dd9348,,,,,,,18.0,19.0,19.0,10.0
seasonal_naive,exclude_covid,flu_season,pooled,ALL,52,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519452,352.0,95.45454545454544,level,none,0,8dd9348,,,,,,,18.0,19.0,19.0,10.0
seasonal_naive,post_covid,flu_season,pooled,ALL,52,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519452,352.0,61.93181818181818,level,none,0,8dd9348,,,,,,,18.0,19.0,19.0,10.0
arima,post_covid,flu_season,pooled,ALL,52,352,52.842981967323624,143.85791588247395,28.88526772685052,0.3309802646852914,352.0,66.19318181818183,level,none,,8dd9348,,,,,,,22.0,16.0,17.0,7.0
dualtopo,post_covid,flu_season,pooled,ALL,52,352,128.1662908518491,318.57493483736005,65.56367781487378,0.0506236906069593,352.0,49.43181818181818,level,train,479905,8dd9348,,,,-10.31021103954592,0.3221116256510446,0.0272366304876385,23.0,23.0,23.0,23.0
