# Columbus per-area static features. Generated by Code/scrapers/scrape_acs_columbus.py
# Sources: Census ACS 2023 5-year (detailed tables, per ZCTA);
# land area from columbus_area_geography.csv.
# DERIVED BY THIS PROJECT, not published by a health department -- unlike
# Boston's equivalents in Data/Neighborhood Data/. Ratios are raw; min-max
# normalisation happens in influenza/loaders/columbus.py.
area,population,land_sqmi,pop_density,poverty_rate,transit_share,pct_children,pct_elderly,owner_rate,no_vehicle_rate,nonwhite_share,n_zips
Agler/Cassidy,32537,15.958,2038.9146509587667,0.26417525773195877,0.023046532045654083,0.31711589882287855,0.11940252635461167,0.3989471086616764,0.11055359052397795,0.8344346436364753,1
Bexley,28431,6.121,4644.829276262049,0.08965237586168762,0.016241461034434686,0.2671379831873659,0.16292075551334811,0.5643952299829642,0.07674616695059626,0.3449052091027399,1
Clintonville/Near North,97351,17.523,5555.6126234092335,0.23944905339289513,0.037025693929527065,0.12182720259678893,0.09631128596521864,0.32859831238997145,0.10817701693680568,0.2475372620722951,4
Dublin,131220,63.227999999999994,2075.346365534257,0.04863538791781662,0.00200901890501243,0.27917238225880203,0.14263831732967536,0.6940534663845154,0.03521714651808422,0.2613321140070112,3
Eastside,43519,6.85,6353.138686131387,0.2286929192087262,0.04213857428381079,0.20147521772099541,0.11886762103908638,0.4161502436255263,0.15232508633331757,0.5355362025781842,3
Far East,167437,46.524,3598.93818244347,0.17473634759355067,0.02554085008908119,0.27980673327878547,0.13807581358958892,0.47658442046802235,0.09750947325793295,0.651421131530068,4
Far South,46810,23.122,2024.4788513104402,0.1868519554274405,0.01791218117657569,0.23753471480452895,0.1358470412305063,0.5934798458493907,0.0947817935631705,0.40863063447981196,1
Far Southeast,105799,144.204,733.6759035810379,0.0660747627938879,0.004977564626591821,0.2930273443038214,0.12617321524778116,0.7016699186579834,0.03836505080708512,0.38118507736368024,5
Far Southwest,95789,91.849,1042.8964931572473,0.07566824724098863,0.0030027672560987576,0.26231613233252254,0.14671830794767665,0.7378971155124285,0.03126412335504453,0.20043011201703742,2
Hilliard,64644,35.295,1831.5342116447089,0.07074105223810859,0.0019390581717451524,0.2850225852360621,0.099096590557515,0.6916225324987963,0.03314074787353555,0.23728420271022832,1
Linden,67099,12.976,5171.008014796547,0.2655520296970423,0.04710005256702295,0.30271688102654287,0.10703587236769549,0.4680916030534351,0.11713740458015268,0.6757030656194578,2
NE Suburban,118665,58.581,2025.6567829159624,0.05477172787313876,0.003935593696803111,0.2770572620401972,0.12813382210424304,0.6581864514758973,0.03119558292631132,0.3772300172755235,3
Northland,76959,13.196000000000002,5831.994543801151,0.20113916741036275,0.018939188087603934,0.2849569251159708,0.11552904793461453,0.4461141268370184,0.07980272739308884,0.657505944723814,2
UA/Grandview,87844,19.889,4416.712755794661,0.08887060275663444,0.01138759185925094,0.21925231091480352,0.14167159965393197,0.5105763822659135,0.04005575526373707,0.21270661627430443,3
West,133660,40.658,3287.421909587289,0.2275615171279971,0.0238765161269811,0.27521322759239863,0.11226245698039802,0.4704107419001999,0.09440651755742466,0.42140505760885827,4
Westerville,64314,25.115,2560.780410113478,0.06797624193522565,0.0037392566134613237,0.2531330658954504,0.15315483409522032,0.5943455112906187,0.03844317973196255,0.279876854184159,1
Worthington,71325,21.465,3322.8511530398323,0.08774444412908353,0.0061276142267217264,0.24304241149667016,0.16940764107956538,0.5940221305571924,0.04652000261900085,0.2577777777777778,2
