city,model,variant,horizon,origin_date,target_date,neighborhood,group,shap_rate_per_100k,base_rate_per_100k,predicted_rate_per_100k,actual_rate_per_100k,n_background,seed
boston,lstm,post_covid,4,2025-11-23,2025-12-21,Dorchester,Own flu history,4.918018571276555,69.21023080487262,58.96861047378208,256.15,20,0
boston,lstm,post_covid,4,2025-11-23,2025-12-21,Dorchester,Neighbours' flu history,-15.1596389023671,69.21023080487262,58.96861047378208,256.15,20,0
