,Agler/Cassidy,Bexley,Clintonville/Near North,Dublin,Eastside,Far East,Far South,Far Southeast,Far Southwest,Hilliard,Linden,NE Suburban,Northland,UA/Grandview,West,Westerville,Worthington
2022-07-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-07-10,1.3977855073685626,1.5636444905623008,1.9615783211674471,2.0991862608075222,1.6295055213692662,1.461179570966808,1.5525061821936652,2.913045104167321,1.8314089781557334,3.0,1.5882797319693318,1.7382407972672387,1.5301172333788444,2.2521874596489577,1.6726566567744383,1.5789358370771396,2.881188515482588
2022-07-17,1.162718103521612,1.2542523239585919,1.9467700835226447,2.082245033278673,1.3398766118626233,1.1126894184031533,1.2266286380636688,2.126265896916682,1.2299952178993732,3.0,1.3247756505509816,1.3442727849467049,1.1742067345391842,1.9607228114224502,1.2205804492064825,1.1960231931998986,1.9075487865036829
2022-07-24,1.2063629287914983,1.4194138343772402,2.0707277589237223,2.32288433164757,1.259647194458732,1.1160780536835484,1.295326783952833,1.7748800570764085,1.1452865407230248,3.083074668328529,1.3227089978591802,1.29616865088006,1.1843241165511602,1.8438172239746677,1.1424259314967307,1.1721801143559414,1.7430933995907565
2022-07-31,1.1111601038529424,1.4423503510701214,1.7685306207052232,2.1654689450440214,1.0673503882559823,1.1111237472395874,1.2252062667015111,1.6044887540542716,1.146144120148457,1.908127704907804,1.1742171202639806,1.2010307670293308,1.1260790198183643,1.7144745862537911,1.0766203123174538,1.3540819662230699,1.6168573262760395
2022-08-07,1.1033701467652735,1.201856303369221,1.5443308968181653,1.8364792222391673,1.25851903072977,1.110544243012015,1.060739879888605,1.7336190819153714,1.2332622414828571,1.403300503128052,1.0577257119372387,1.209807311842886,1.0882742072109188,1.7747577263656757,1.2159803092828247,1.624836394887214,1.6987796289682113
2022-08-14,1.1844945477903615,1.1232960876998546,1.5626282311605244,1.86597683944896,1.3763121648285703,1.1270098645851512,1.2677766117701896,1.7789146510527107,1.2714745065895519,1.4117996761973042,1.0918598461835256,1.2907333398615424,1.2042084326140607,2.0610799870030823,1.2305243513485626,1.5650585516260402,1.9250405256994163
2022-08-21,1.2004728879789293,1.2554985170264716,1.6931106428788323,2.4730188499134766,1.0930627614351975,1.1816580115666373,1.4476185162800739,2.0268626851411438,1.3105218001536427,1.9292435136154247,1.4280413837367296,1.2613828551040922,1.2450054090068094,2.270433403440511,1.1459953651067292,1.6119743794944275,1.6506201769879547
2022-08-28,1.332250430168734,1.475006330530981,1.8089669789848684,2.6544407893579454,1.038891451530137,1.216656105364598,1.1823718439957867,2.1959121958697434,1.241098778651486,2.015389543887621,1.3792512840391926,1.1795218638398066,1.1643711511385226,2.2745422333038645,1.1230322462306126,1.4786380717499028,1.4018476641384232
2022-09-04,1.1989952238854154,1.9266388662808716,1.7338545839626456,2.4709391336573496,1.3127837320878024,1.1531299152857581,1.188517929187583,1.9988699257759888,1.3153888105087372,1.6583591401561064,1.165356126991083,1.196235426209362,1.1313910279374393,2.304261333285258,1.1994338441526484,1.2674160346437746,1.4985479441512422
2022-09-11,1.0422812783851774,1.583235682329753,1.6981824177695557,2.348735451565382,1.297690822466623,1.1157559474079954,1.3877322022926335,1.725569556648113,1.347050822400132,1.5173900532918412,1.0453725808134404,1.2690043060630576,1.0924836303825975,2.0919004223802276,1.2295192093211076,1.194971483747876,1.6014030641567585
2022-09-18,1.007867795719289,1.3242019910072456,1.6148998424459045,1.8288884538219976,1.1316107515702185,1.122605560886826,1.2324014344424206,1.4374562895920415,1.1876409561816423,1.4479869350216577,1.0091005374281246,1.308113826466743,1.0416135479293531,1.9378602166493568,1.1043582570616053,1.1315807214506324,1.5015738571048256
2022-09-25,1.0696064452555947,1.1617712540958378,1.4469494958349127,1.6352966278966194,1.0402831001734432,1.0776103356394868,1.0448070639825937,1.5043559670206592,1.0997775399030598,1.4205719194877156,1.0930051419476756,1.3023392164773677,1.1011957976056452,1.9352867290620146,1.0265506521513597,1.160555712528645,1.6334673987047734
2022-10-02,1.229634810187122,1.024075844190694,1.4896155578470178,1.6873172618098469,1.0802987150997554,1.0595543979035524,1.0531032873034987,1.6483073004433713,1.1100886444781133,1.563207036933472,1.1789374824571597,1.3483123049337282,1.1674885003351934,1.9635099330402979,1.0786610940541779,1.3090481594526697,1.6479629598598353
2022-10-09,1.315558569760568,1.0598214267679682,1.58704895175446,1.671808745428017,1.1973035445805276,1.1104187325517287,1.1394324035811305,1.4044896699913367,1.157527575860261,1.4079457477810422,1.2819060588063933,1.2887625509323541,1.1553777142492536,1.8706805630608285,1.190766555720608,1.2265960266598968,1.372443881007521
2022-10-16,1.2412987327129312,1.4532569057628097,1.4513093598569449,1.773491934118979,1.304223463452449,1.1283279648161029,1.1193025594677781,1.353073625360038,1.307328256274067,1.2643063411504085,1.2736303233598094,1.1391817153667418,1.119726361640881,1.6910473218146105,1.1939321458608603,1.3998941962230484,1.2063275152994308
2022-10-23,1.0696829902964222,1.5442739327265371,1.338008787813738,1.6861494541440156,1.2618940596944856,1.0957888198375172,1.2542860394698676,1.5219642739588015,1.2743772414111578,1.4835291274938909,1.1614747484760217,1.1042978000078445,1.0668459368132865,1.6985245529576367,1.1082120340206183,1.503955409039552,1.2017834292239808
2022-10-30,0.978881595800514,1.2397962704228727,1.2646580971851709,1.5477708963803944,1.1682760626467443,1.0526379315085268,1.2511866349924115,1.5398464190367092,1.0985021584383878,1.671956221417832,1.1416764191466695,1.2123259580049723,1.1188418114173655,1.508201048148597,1.1280525274805273,1.2683141499106196,1.2517424392674787
2022-11-06,1.0642191401734158,1.0946130262223688,1.194684135710112,1.5453638685007625,1.0743674253186257,1.081484534976036,1.1272535267237893,1.2975816364369752,1.0289176625034386,1.4800075199148048,1.0793693568126324,1.3123428413223635,1.1318341016754245,1.297016706415956,1.163333752758556,1.1045438153506133,1.414755649487614
2022-11-13,1.09911534693569,1.1182679220191047,1.219206570868441,1.5731349436203335,1.0761049794105808,1.1199291462836451,1.0970874853959116,1.0958307438898278,1.107361423410009,1.2203759813833686,0.9834068306895682,1.210228416042065,1.0414252888468616,1.4955786709646839,1.1260931384061785,1.049316714803194,1.372491321655738
2022-11-20,1.2059215523899565,1.1360480809667306,1.2625643753205766,1.5809965087942943,1.1973355070340908,1.1023094909102418,1.095036286063967,1.2681600409866807,1.2208384385984918,1.092848468469408,1.0234165595037659,1.0786878308527441,1.0838816126455615,1.67158453166015,1.1078543420020197,1.164151355455175,1.1584403483569474
2022-11-27,1.2560700441065211,1.2260440062402316,1.2408270761185205,1.456058813090635,1.19440153509246,1.1311149030710748,1.1042475192416814,1.4783304643978337,1.2531641843277586,1.1948664410780414,1.169360872782535,1.090490345245623,1.1940150255081292,1.4610311697557132,1.0991553223315007,1.1883268206910127,1.1473408493867692
2022-12-04,1.1053773727802845,1.1721310272017804,1.206032126531151,1.3119751508333566,1.1481668737072752,1.0969717210561798,1.1189055144044657,1.2648662401254565,1.126232800345776,1.2104953915307683,1.1418702683936757,1.1572987417228948,1.1081598091468128,1.3544945195008773,1.0613689296304936,1.1099314482659406,1.2271517600505606
2022-12-11,0.9532773956717202,1.0602989472237998,1.1169121136461773,1.2576529487324242,1.0659010306605086,0.9964308384525496,1.0014322377467488,1.1358562735400661,1.0309353166659718,1.1269211255613556,0.9874111348616483,1.0957652296133085,1.0109561301583527,1.2491756185898713,0.9763109196165456,1.0770266815474034,1.1243683562258096
2022-12-18,0.8677520689234782,1.0246526701672787,1.060726399684425,1.287850051440053,0.9790489121758548,0.9365320181805662,0.9025143797000307,1.1871883074808693,1.0036093238300372,1.1266050686086169,0.9048982187629492,1.017296092475535,0.9909625749653879,1.1720738066932803,0.9306465569096576,1.0222020549605835,1.1309948337897422
2022-12-25,0.9488508801395342,0.9680070718918233,1.0640166067106476,1.2736354320751808,0.9360716537185905,0.9268800210858107,0.9945825871310969,1.3295539864757115,0.9855760824028166,1.0952895602318762,0.9592941655053091,1.0294652508366697,0.9687681238103302,1.232465126210133,0.9797809178147847,1.101078380942376,1.2605610362021555
2023-01-01,1.1145163342384012,1.0168121988972705,1.1004545043964054,1.2657749903590332,0.9046014098267916,0.9451366633503132,1.0225788519435428,1.2508772859053356,1.077442755922626,1.1078950322100916,0.9811955990779768,1.0641382613900356,0.9604304451593195,1.4375495668580291,0.9895424652287742,1.0947443859371762,1.292764259299685
2023-01-08,1.1001894707394757,1.162194484308179,1.124999252601884,1.344412013527991,0.945127504131193,0.9701748125920866,0.9716587087168137,1.1742743817344,1.083202347718593,1.2220337758612334,1.064026837464401,1.0287209822805692,0.9835907063646975,1.9489981076679117,0.9597377552198577,0.9492069260693518,1.2011030081950973
2023-01-15,1.0284851092667757,1.1333814078949866,1.0708975895970072,1.3078433974692116,1.0677146910075086,1.038660441285433,0.988162841180031,1.2329939929084257,0.9789619786630063,1.120767084214803,1.1201772835734425,1.0511843041120446,1.0098573913454214,2.0141046509169933,0.9893942813249235,1.0925916934060051,1.0876615558207703
2023-01-22,1.0271294599252663,1.1133299057669102,1.248317475550166,1.3229467544868319,1.0789086746969567,1.0758554281674977,0.9769298823413402,1.498483356026393,0.9867846824373103,1.0716460017100364,1.0683364636961323,1.1555453078659788,1.1187235075780453,1.6325655455618877,1.0734966617455293,1.2480553753629269,1.266649321036609
2023-01-29,1.189295919820284,1.1151127018414453,1.3638457909419972,1.500616849716087,1.0832916485994422,1.049594354606334,1.0697054040697973,1.6635318888581492,1.112294085501005,1.3035675788632157,1.085383407019768,1.1638686154660527,1.0870903374432002,1.519721147826701,1.0412929496770928,1.1614117353747402,1.4150732176695804
2023-02-05,1.1083686335859926,1.1494995078865091,1.225674614386975,1.4865047611529616,1.1245050664603826,1.0450044540898702,1.1941888957895042,1.461932462415693,1.2511678209014483,1.2831018190435561,1.1364076525290043,1.131692197210616,1.0663053954754675,1.6934579838941621,1.0464875615992295,1.2073780951088104,1.2549573507187857
2023-02-12,1.0047679031865868,1.0835616953765002,1.331489190660742,1.6244853150072263,1.0918485599228838,1.0250093579278308,1.1001504989422757,1.3049829568639608,1.1801747398636484,1.2215394759658216,1.0796487870308575,1.0951967091400776,1.1760074563224958,1.6497738737802123,1.117455489030916,1.210903235479745,1.292449396188115
2023-02-19,1.0634832775923948,1.0193604192928534,1.3713664063038984,1.9820436585412538,1.068621194449643,1.0487578460082094,1.011771557749473,1.2407723438279998,1.1190877606605114,1.287430925194665,1.0260999968059856,1.2045502666154169,1.1225883640566567,1.501718815243446,1.1253715918737541,1.3341324937345127,1.4625488793845995
2023-02-26,1.2070088221833422,1.253572287603064,1.207241864255615,1.7926011111302356,1.0401872396144722,1.0557367843647216,1.0680806967618672,1.3584392747931624,1.195337892468738,1.3549785994717827,1.0269218759498837,1.2548638228394458,1.0300315468940582,1.5398057318752687,1.117849739922499,1.3535010190452816,1.4341608693460703
2023-03-05,1.229263734479806,1.5425994816138118,1.1894804575877649,1.56286449589384,1.0231204072735842,1.038583346370021,1.2167127915444147,1.379407865436852,1.1738883491201082,1.476693434058476,1.1029840287142316,1.1337414646889445,0.9959305227950882,1.6533817383981753,1.0218964699092057,1.1262590773602328,1.3850953288070211
2023-03-12,1.1410445128763527,1.4059620290591417,1.3330985472869592,1.5954279936915343,1.142269346946783,1.0838171783487498,1.1521954055330024,1.2962715001728693,1.1106698119141127,1.3760431453662736,1.1594063678315718,1.1471517434221643,1.041562024481466,1.5593748690539784,0.9898381255819909,1.0576539394645152,1.4230140943243181
2023-03-19,1.0742429173828016,1.1957003909500938,1.2750495532754278,1.6270424806768276,1.1410438476999127,1.0988131471952929,0.9694125664096348,1.4432115968244708,1.1158278017445586,1.2203726358564495,1.0768857170324122,1.1142159961009912,1.1811000215305825,1.4548577559931988,1.102291499500226,1.1606342619573877,1.3774642368496475
2023-03-26,0.9954880882495131,1.0658704190051582,1.2316444698398679,1.6049329513960688,1.067821177913693,1.0450823514574215,0.9222772622427686,1.4588799512220765,1.1269586276117838,1.3491914972932266,1.0750455178291536,1.0278623866111791,1.211698475811458,1.4156574898736598,1.0682420508501602,1.2919373713431976,1.2877019287352485
2023-04-02,1.1009254549088976,1.0462329395387917,1.2992652590806006,2.028787783029258,1.1131172746379614,0.9854152451893691,1.089548471614696,1.272473100167185,1.091600187510026,1.433725078655002,1.1303307601562764,1.14562335964466,1.0805733513710791,1.4085919964005174,0.9751652602717361,1.2253972563846807,1.2642626323161166
2023-04-09,1.1375272266678789,1.0961850184501378,1.2647473385649517,2.1236840230700444,1.0758483072189713,0.9910977178316821,1.1153136655760518,1.1815123202416802,1.1136138234645945,1.2882795137769376,1.010785759036672,1.2473957314578044,0.9398535499296562,1.8126638067276972,0.9835651132613027,1.0803989009242576,1.3582896186737499
2023-04-16,0.9959288055489206,1.269749603235825,1.293497752982599,2.0378369419327407,0.9549225324274438,1.1039791610029868,1.0858782136460765,1.613369920685656,1.1308191268115881,1.537597825209093,0.8959347826648846,1.1875640845167548,0.9520843567229551,1.9618266409193215,1.092612088895977,1.2447351504578734,1.4321471307864355
2023-04-23,1.0713758884500828,1.3556619859191843,1.3893874125308832,2.0697270344822853,1.0094017413034138,1.11728384624858,1.0014711066584259,1.7257326699297695,1.0420056896057763,1.5871228935821724,1.0566893089216762,1.1962643886301991,1.2000493587654948,1.716303809539639,1.139817553625301,1.298122913373352,1.3027606887950334
2023-04-30,1.1735688947056715,1.3197339753406665,1.3766458261070638,1.8369746256488484,1.1557424508035383,1.031158072573412,1.0281718641624122,1.3329251018650636,1.174488986619977,1.3147432304569722,1.3480238433303575,1.2000840119837837,1.2450054065346035,1.7747577278906324,1.0636321298032152,1.304320056100673,1.408914774104196
2023-05-07,1.153939393853283,1.184837328775978,1.4108149236282834,1.63103002421433,1.1992218531926835,1.0078622981853587,1.2493649230211437,1.2258174127636072,1.3319286209908918,1.77424437990766,1.2487701848324668,1.1300420468502756,1.1986885928159803,2.092424296894507,1.013312257122052,1.4059155408970938,1.8550080670425886
2023-05-14,1.1735755113392687,1.028084102647462,1.471782865349271,1.6233400920288066,1.1988853203466958,1.0562229961540999,1.165734181211271,1.31982948832118,1.2175498307106942,2.009005695225921,1.1021664928288735,1.2962805478177346,1.145988415854251,2.088859233191438,1.1582308959347545,1.2171263297738226,1.8363513655904755
2023-05-21,1.0781709448316095,1.1242042149774605,1.32006198170209,1.963444031812815,1.116866019757237,1.061249195073818,1.0970740736213966,1.4121247813152806,1.1818166141196096,1.5717069866946272,1.0331511955651766,1.3594663699566625,1.0832605636193309,1.9378602148669535,1.1837084263168314,1.2042147119789637,1.5507372354335187
2023-05-28,1.0189458666713833,1.3772979337506421,1.222842143972463,1.9079722978541267,1.1876374623513781,1.0589683034332666,1.1745043825675547,1.517218662966368,1.113301737574542,1.4899399875633137,1.064951512590905,1.17420840543527,1.0798609009919438,1.9635099348105696,1.117689475741831,1.1952685518371569,1.3465735295561772
2023-06-04,1.1543186319861554,1.4021259698402826,1.6553816574100182,1.6478028948465306,1.2199687583262342,1.052659828214944,1.1243164158938705,1.5994701490777192,1.1677337607880929,1.434328034382865,1.2189814798589915,1.2249263917705508,1.0370085417421573,1.8452455925175737,1.117428414883674,1.0452383374280911,1.440803753085265
2023-06-11,1.169772809374536,2.000657364734532,1.7563727910983786,1.6798042721195754,1.1656867253556809,1.0741478073338884,0.9724704303719842,1.7557660821506542,1.3068115281461326,1.5387731215150797,1.224745658563765,1.3777038821452325,1.0295041303047139,1.740494526269405,1.1116632505629207,1.1452093950996105,1.466002072074976
2023-06-18,1.0501705437897602,2.973906476325295,1.4088684191839094,1.5874483973913238,1.2990217656629233,1.1498378942689549,0.9940084837964501,1.7693027131841976,1.2947957132787882,1.7430406763363564,1.1136927282009232,1.3883596890351608,1.1259678889523101,1.7126492583487287,1.0498643296820307,1.3087782624777593,1.3686127681601066
2023-06-25,0.9682875873881226,3.0511880118595918,1.412279802249242,1.4574646508543274,1.1913255812197765,1.1695021928420128,1.2051958750611398,1.6296897892633204,1.2821899085176003,1.9789222625108236,1.0911361771410404,1.3134985428748505,1.0648913061106753,1.8321846449252328,0.9819329691690692,1.2376237452090086,1.5260605108704102
2023-07-02,1.0329950215110435,2.1022687976087875,1.7507132232158922,1.7669216491488016,0.9989675759451039,1.1664049144698951,1.0619746007352995,1.917302645668437,1.3177445463242896,1.9522528534606098,1.1552385243033272,1.2470627925561486,1.0432263914321758,1.8431682943622978,1.0633873601793848,1.4382641300580263,1.4361249793327624
2023-07-09,1.301536245943874,1.8054576377321505,1.5267551810734117,1.967635384356922,1.1209495053445118,1.1624218683325975,1.1124072954370803,2.088684767395575,1.474587529220391,1.442219932047752,1.1532747400817815,1.4576232242864855,1.0743073910418142,1.7144745864482365,1.2544145401787776,1.9079687722951955,1.3620848542945247
2023-07-16,1.540952583569455,1.6098714396911127,1.3155852948246136,1.736465555816238,1.2788251828270583,1.1550386667069343,1.4465979193648644,1.6698099589229454,1.4264811045017847,1.2312362162099089,1.1474214425337885,1.4720065865025904,1.0471077479672835,1.832184646445974,1.2806610689896603,1.66911055761459,1.4321471335682596
2023-07-23,1.34323392055006,1.4455513403994438,1.3470282186316174,1.6870493662771673,1.1666033045372444,1.1059621035945637,1.4387714352452665,1.69816213596847,1.2997897074021707,1.5721023742425329,1.230220329195005,1.3126466183952106,1.2322475342055697,1.8169037792995122,1.2421220059579676,1.2905681829541686,1.3027606887950334
