metric,indicator,demographic_category,demographic_value,date_type,date_value_start,date_value_end,week,value,unit,description
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2017-12-31,2018-01-06,1,3.99,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-01-07,2018-01-13,2,4.15,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-01-14,2018-01-20,3,5.16,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-01-21,2018-01-27,4,6.64,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-01-28,2018-02-03,5,8.87,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-02-04,2018-02-10,6,10.52,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-02-11,2018-02-17,7,10.31,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-02-18,2018-02-24,8,8.04,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-02-25,2018-03-03,9,4.62,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-03-04,2018-03-10,10,3.99,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-03-11,2018-03-17,11,3.25,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-03-18,2018-03-24,12,2.82,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-03-25,2018-03-31,13,2.83,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-04-01,2018-04-07,14,2.94,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-04-08,2018-04-14,15,2.65,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-04-15,2018-04-21,16,2.32,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-04-22,2018-04-28,17,2.07,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-04-29,2018-05-05,18,1.78,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-05-06,2018-05-12,19,1.44,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-05-13,2018-05-19,20,1.29,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-05-20,2018-05-26,21,1.33,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-05-27,2018-06-02,22,1.36,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-06-03,2018-06-09,23,1.05,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-06-10,2018-06-16,24,1.25,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-06-17,2018-06-23,25,1.03,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-06-24,2018-06-30,26,0.87,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-07-01,2018-07-07,27,0.96,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-07-08,2018-07-14,28,0.91,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-07-15,2018-07-21,29,0.63,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-07-22,2018-07-28,30,0.71,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-07-29,2018-08-04,31,0.79,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-08-05,2018-08-11,32,0.7,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-08-12,2018-08-18,33,0.65,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-08-19,2018-08-25,34,0.99,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-08-26,2018-09-01,35,0.82,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-09-02,2018-09-08,36,0.97,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-09-09,2018-09-15,37,1.14,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-09-16,2018-09-22,38,1.24,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-09-23,2018-09-29,39,1.4,percentage,2017 - 2018
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-09-30,2018-10-06,40,1.51,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-10-07,2018-10-13,41,1.67,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-10-14,2018-10-20,42,1.7,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-10-21,2018-10-27,43,1.47,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-10-28,2018-11-03,44,1.57,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-11-04,2018-11-10,45,1.63,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-11-11,2018-11-17,46,1.94,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-11-18,2018-11-24,47,2.19,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-11-25,2018-12-01,48,2.26,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-12-02,2018-12-08,49,2.32,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-12-09,2018-12-15,50,2.92,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-12-16,2018-12-22,51,3.3,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-12-23,2018-12-29,52,4.52,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2018-12-30,2019-01-05,1,5.12,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-01-06,2019-01-12,2,4.56,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-01-13,2019-01-19,3,5.02,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-01-20,2019-01-26,4,5.07,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-01-27,2019-02-02,5,5.2,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-02-03,2019-02-09,6,5.53,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-02-10,2019-02-16,7,5.08,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-02-17,2019-02-23,8,4.77,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-02-24,2019-03-02,9,4.07,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-03-03,2019-03-09,10,3.6,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-03-10,2019-03-16,11,3.44,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-03-17,2019-03-23,12,3.99,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-03-24,2019-03-30,13,4.66,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-03-31,2019-04-06,14,4.83,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-04-07,2019-04-13,15,4.68,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-04-14,2019-04-20,16,3.61,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-04-21,2019-04-27,17,2.37,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-04-28,2019-05-04,18,2.08,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-05-05,2019-05-11,19,1.85,percentage,2018 - 2019
