metric,indicator,demographic_category,demographic_value,date_type,date_value_start,date_value_end,week,value,unit,description
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2017-12-31,2018-01-06,1,418,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-01-07,2018-01-13,2,564,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-01-14,2018-01-20,3,700,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-01-21,2018-01-27,4,928,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-01-28,2018-02-03,5,1297,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-02-04,2018-02-10,6,1527,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-02-11,2018-02-17,7,1540,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-02-18,2018-02-24,8,1144,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-02-25,2018-03-03,9,623,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-03-04,2018-03-10,10,491,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-03-11,2018-03-17,11,395,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-03-18,2018-03-24,12,358,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-03-25,2018-03-31,13,371,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-04-01,2018-04-07,14,375,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-04-08,2018-04-14,15,351,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-04-15,2018-04-21,16,294,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-04-22,2018-04-28,17,275,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-04-29,2018-05-05,18,239,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-05-06,2018-05-12,19,203,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-05-13,2018-05-19,20,183,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-05-20,2018-05-26,21,191,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-05-27,2018-06-02,22,194,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-06-03,2018-06-09,23,148,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-06-17,2018-06-23,25,147,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-07-22,2018-07-28,30,102,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-09-02,2018-09-08,36,140,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-09-23,2018-09-29,39,203,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-10-07,2018-10-13,41,243,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-10-21,2018-10-27,43,197,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-10-28,2018-11-03,44,211,count,NA
Influenza,Flu ILI ED Visit,ILI Count, ,Weekly,2018-11-04,2018-11-10,45,214,count,NA
