neighborhood,order
Allston/Brighton,"(2, 1, 3)"
Back Bay/Beacon Hill/Downtown/North End/West End,"(0, 1, 3)"
Charlestown,"(0, 0, 0)"
Dorchester,"(3, 1, 3)"
East Boston,"(3, 1, 1)"
Fenway,"(1, 1, 0)"
Hyde Park,"(3, 1, 1)"
Jamaica Plain,"(2, 1, 1)"
Mattapan,"(2, 1, 3)"
Roslindale,"(0, 1, 0)"
Roxbury,"(0, 1, 2)"
South Boston,"(1, 1, 3)"
South End,"(3, 1, 3)"
West Roxbury,"(0, 1, 2)"
