model,neighborhood,peak_week_actual,peak_week_pred,peak_weeks_late,peak_actual,peak_pred
gnn_st,Allston/Brighton,2025-12-21,2025-12-28,1.0,80.59999084472656,76.7874526977539
gnn_st,Back Bay/Beacon Hill/Downtown/North End/West End,2025-12-21,2025-12-28,1.0,58.09999084472656,52.1836051940918
gnn_st,Charlestown,2025-12-14,2025-12-21,1.0,92.8000030517578,79.74569702148438
gnn_st,Dorchester,2025-12-21,2025-12-28,1.0,256.1499938964844,269.206787109375
gnn_st,East Boston,2025-12-28,2025-12-28,0.0,59.29999542236328,54.42545318603515
gnn_st,Fenway,2026-01-04,2025-12-21,-2.0,21.100000381469727,23.29559326171875
gnn_st,Hyde Park,2025-12-21,2025-12-28,1.0,94.59999084472656,96.88768768310548
gnn_st,Jamaica Plain,2025-12-21,2025-12-28,1.0,61.099998474121094,55.6435432434082
gnn_st,Mattapan,2025-12-28,2026-01-04,1.0,110.3000030517578,101.60455322265624
gnn_st,Roslindale,2025-12-28,2025-12-28,0.0,170.10000610351562,143.4608612060547
gnn_st,Roxbury,2025-12-21,2025-12-28,1.0,254.6999969482422,246.3275451660156
gnn_st,South Boston,2025-12-28,2025-12-21,-1.0,57.0,49.23141098022461
gnn_st,South End,2025-12-14,2025-12-28,2.0,132.3000030517578,130.97628784179688
gnn_st,West Roxbury,2025-12-21,2025-12-28,1.0,88.0,74.22859191894531
lstm,Allston/Brighton,2025-12-21,2025-12-28,1.0,80.6,68.00050354003906
lstm,Back Bay/Beacon Hill/Downtown/North End/West End,2025-12-21,2025-12-28,1.0,58.1,39.2164421081543
lstm,Charlestown,2025-12-14,2025-12-28,2.0,92.8,69.04561614990234
lstm,Dorchester,2025-12-21,2025-12-28,1.0,256.15,258.9506530761719
lstm,East Boston,2025-12-28,2025-12-28,0.0,59.3,56.124019622802734
lstm,Fenway,2026-01-04,2025-12-28,-1.0,21.1,18.90586853027344
lstm,Hyde Park,2025-12-21,2025-12-28,1.0,94.6,88.48611450195312
lstm,Jamaica Plain,2025-12-21,2025-12-28,1.0,61.1,45.356109619140625
lstm,Mattapan,2025-12-28,2025-12-28,0.0,110.3,94.2262725830078
lstm,Roslindale,2025-12-28,2025-12-28,0.0,170.1,110.18538665771484
lstm,Roxbury,2025-12-21,2025-12-28,1.0,254.7,202.459716796875
lstm,South Boston,2025-12-28,2025-12-28,0.0,57.0,50.7957649230957
lstm,South End,2025-12-14,2025-12-28,2.0,132.3,116.56719207763672
lstm,West Roxbury,2025-12-21,2025-12-28,1.0,88.0,51.610939025878906
persistence,Allston/Brighton,2025-12-21,2025-12-28,1.0,80.6,80.6
persistence,Back Bay/Beacon Hill/Downtown/North End/West End,2025-12-21,2025-12-28,1.0,58.1,58.1
persistence,Charlestown,2025-12-14,2025-12-21,1.0,92.8,92.8
persistence,Dorchester,2025-12-21,2025-12-28,1.0,256.15,256.15
persistence,East Boston,2025-12-28,2026-01-04,1.0,59.3,59.3
persistence,Fenway,2026-01-04,2026-01-11,1.0,21.1,21.1
persistence,Hyde Park,2025-12-21,2025-12-28,1.0,94.6,94.6
persistence,Jamaica Plain,2025-12-21,2025-12-28,1.0,61.1,61.1
persistence,Mattapan,2025-12-28,2026-01-04,1.0,110.3,110.3
persistence,Roslindale,2025-12-28,2026-01-04,1.0,170.1,170.1
persistence,Roxbury,2025-12-21,2025-12-28,1.0,254.7,254.7
persistence,South Boston,2025-12-28,2026-01-04,1.0,57.0,57.0
persistence,South End,2025-12-14,2025-12-21,1.0,132.3,132.3
persistence,West Roxbury,2025-12-21,2025-12-28,1.0,88.0,88.0
