model,variant,horizon,indicator,season,level,label,threshold,n_weeks,onset_actual,onset_pred,onset_error_weeks,lead_time_weeks,first_alert_week,peak_week_actual,peak_week_pred,peak_week_error_weeks,peak_actual,peak_pred,peak_error,series
arima,post_covid,1,Fenway,2024-25,0.98,IT98,42.89052071415166,7,,,,,,2025-06-01,2025-06-01,0.0,5.3,6.480917619824314,1.1809176198243145,arima
arima,post_covid,1,Fenway,2025-26,0.5,IT50,19.789042860168028,36,2025-12-14,,,,,2026-01-04,2026-01-11,1.0,21.1,17.608539622905493,-3.4914603770945085,arima
arima,post_covid,1,Fenway,2025-26,0.9,IT90,31.717921949528318,36,,,,,,2026-01-04,2026-01-11,1.0,21.1,17.608539622905493,-3.4914603770945085,arima
arima,post_covid,1,Fenway,2025-26,0.98,IT98,42.89052071415166,36,,,,,,2026-01-04,2026-01-11,1.0,21.1,17.608539622905493,-3.4914603770945085,arima
arima,post_covid,1,Hyde Park,2024-25,0.5,IT50,59.73762940735334,7,,,,,,2025-06-22,2025-07-27,5.0,6.9,10.49477507177832,3.5947750717783205,arima
arima,post_covid,1,Hyde Park,2024-25,0.9,IT90,98.70163927662223,7,,,,,,2025-06-22,2025-07-27,5.0,6.9,10.49477507177832,3.5947750717783205,arima
arima,post_covid,1,Hyde Park,2024-25,0.98,IT98,136.08880333365826,7,,,,,,2025-06-22,2025-07-27,5.0,6.9,10.49477507177832,3.5947750717783205,arima
arima,post_covid,1,Hyde Park,2025-26,0.5,IT50,59.73762940735334,39,2025-12-14,2025-12-21,1.0,-1.0,2025-12-21,2025-12-21,2025-12-28,1.0,94.6,87.80620021689943,-6.793799783100567,arima
arima,post_covid,1,Hyde Park,2025-26,0.9,IT90,98.70163927662223,39,,,,,,2025-12-21,2025-12-28,1.0,94.6,87.80620021689943,-6.793799783100567,arima
arima,post_covid,1,Hyde Park,2025-26,0.98,IT98,136.08880333365826,39,,,,,,2025-12-21,2025-12-28,1.0,94.6,87.80620021689943,-6.793799783100567,arima
arima,post_covid,1,Jamaica Plain,2024-25,0.5,IT50,30.1329000930458,8,,,,,,2025-06-08,2025-06-22,2.0,6.8,6.8,0.0,arima
arima,post_covid,1,Jamaica Plain,2024-25,0.9,IT90,48.93353508945714,8,,,,,,2025-06-08,2025-06-22,2.0,6.8,6.8,0.0,arima
arima,post_covid,1,Jamaica Plain,2024-25,0.98,IT98,66.72678487426273,8,,,,,,2025-06-08,2025-06-22,2.0,6.8,6.8,0.0,arima
arima,post_covid,1,Jamaica Plain,2025-26,0.5,IT50,30.1329000930458,38,2025-12-14,2025-12-21,1.0,-1.0,2025-12-21,2025-12-21,2025-12-28,1.0,61.1,61.099999999999994,-7.105427357601002e-15,arima
arima,post_covid,1,Jamaica Plain,2025-26,0.9,IT90,48.93353508945714,38,2025-12-21,2025-12-28,1.0,-1.0,2025-12-28,2025-12-21,2025-12-28,1.0,61.1,61.099999999999994,-7.105427357601002e-15,arima
arima,post_covid,1,Jamaica Plain,2025-26,0.98,IT98,66.72678487426273,38,,,,,,2025-12-21,2025-12-28,1.0,61.1,61.099999999999994,-7.105427357601002e-15,arima
arima,post_covid,1,Mattapan,2024-25,0.5,IT50,75.36060630157071,8,,,,,,2025-06-22,2025-07-06,2.0,11.3,17.529963251820433,6.229963251820433,arima
arima,post_covid,1,Mattapan,2024-25,0.9,IT90,114.4266389550119,8,,,,,,2025-06-22,2025-07-06,2.0,11.3,17.529963251820433,6.229963251820433,arima
arima,post_covid,1,Mattapan,2024-25,0.98,IT98,149.46970387636378,8,,,,,,2025-06-22,2025-07-06,2.0,11.3,17.529963251820433,6.229963251820433,arima
arima,post_covid,1,Mattapan,2025-26,0.5,IT50,75.36060630157071,39,2025-12-21,2026-01-04,2.0,-2.0,2026-01-04,2025-12-28,2026-01-04,1.0,110.3,97.21708898418252,-13.082911015817473,arima
arima,post_covid,1,Mattapan,2025-26,0.9,IT90,114.4266389550119,39,,,,,,2025-12-28,2026-01-04,1.0,110.3,97.21708898418252,-13.082911015817473,arima
arima,post_covid,1,Mattapan,2025-26,0.98,IT98,149.46970387636378,39,,,,,,2025-12-28,2026-01-04,1.0,110.3,97.21708898418252,-13.082911015817473,arima
arima,post_covid,1,Roslindale,2024-25,0.5,IT50,83.12526323754497,7,,,,,,2025-06-22,2025-06-29,1.0,26.2,24.621518292405835,-1.5784817075941646,arima
arima,post_covid,1,Roslindale,2024-25,0.9,IT90,133.65502394030972,7,,,,,,2025-06-22,2025-06-29,1.0,26.2,24.621518292405835,-1.5784817075941646,arima
arima,post_covid,1,Roslindale,2024-25,0.98,IT98,181.10052866383202,7,,,,,,2025-06-22,2025-06-29,1.0,26.2,24.621518292405835,-1.5784817075941646,arima
arima,post_covid,1,Roslindale,2025-26,0.5,IT50,83.12526323754497,35,2025-12-14,2025-12-21,1.0,-1.0,2025-12-21,2025-12-28,2026-01-04,1.0,170.1,172.86203509583908,2.7620350958390816,arima
arima,post_covid,1,Roslindale,2025-26,0.9,IT90,133.65502394030972,35,2025-12-21,2025-12-28,1.0,-1.0,2025-12-28,2025-12-28,2026-01-04,1.0,170.1,172.86203509583908,2.7620350958390816,arima
arima,post_covid,1,Roslindale,2025-26,0.98,IT98,181.10052866383202,35,,,,,,2025-12-28,2026-01-04,1.0,170.1,172.86203509583908,2.7620350958390816,arima
arima,post_covid,1,Roxbury,2024-25,0.5,IT50,138.88545502174753,9,,,,,,2025-06-22,2025-06-29,1.0,29.4,29.4,0.0,arima
arima,post_covid,1,Roxbury,2024-25,0.9,IT90,231.9483227351807,9,,,,,,2025-06-22,2025-06-29,1.0,29.4,29.4,0.0,arima
arima,post_covid,1,Roxbury,2024-25,0.98,IT98,322.0096816211373,9,,,,,,2025-06-22,2025-06-29,1.0,29.4,29.4,0.0,arima
arima,post_covid,1,Roxbury,2025-26,0.5,IT50,138.88545502174753,40,2025-12-14,2025-12-21,1.0,-1.0,2025-12-21,2025-12-21,2025-12-28,1.0,254.7,254.7,0.0,arima
arima,post_covid,1,Roxbury,2025-26,0.9,IT90,231.9483227351807,40,2025-12-21,2025-12-28,1.0,-1.0,2025-12-28,2025-12-21,2025-12-28,1.0,254.7,254.7,0.0,arima
