model,weeks_late,RMSE,RMSE_if_shifted,RMSE_common_window,Corr_macro,Corr_macro_if_shifted,phase_share_of_mse,lag_fingerprint,n_obs,n_obs_common_window,bias_rising,n_rising,bias_flat,n_flat,bias_falling,n_falling,coverage_all,mean_width,coverage_rising,coverage_flat,coverage_falling,median_peak_weeks_late
gnn_st,1,11.76995377733706,7.486251191248833,12.13224726054297,0.8917222340407561,0.9578158645696698,0.6192444129474437,-0.9040429608932627,627,575,-10.231222509537767,149,1.0173625062173763,263,9.732720341220979,155,96.81020733652312,33.018344660387505,89.93288590604027,100.0,96.7741935483871,1.0
lstm,1,14.65650586441446,10.293804474992925,15.174377231071134,0.8667292986815595,0.9343626951920115,0.539817523437246,-0.790748508654889,627,575,-12.871137844956161,149,0.8468305779953871,263,6.616087215177474,155,94.57735247208932,31.47756996174406,81.87919463087249,99.61977186311786,96.7741935483871,1.0
persistence,1,15.806117463890258,0.0,16.327769623238968,0.7982264092600658,1.0,1.0,-0.9999999999999998,627,575,-16.303020134228188,149,-0.024144486692015295,263,15.229354838709678,155,95.05582137161085,40.08964042198046,82.5503355704698,100.0,97.41935483870968,1.0
