model,variant,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
gnn_st,post_covid,95.45454545454544,98.54545454545456,96.81020733652312,0.9216958741060992,0.7886237768324891,0.9265552073025052,8.720946901223876,4.1924221337925305,6.734751827789076,53.156559388142696,70.8197560993837,60.90357548956419,14.883994031344582,5.682423331902918,11.76995377733706,blend,train,15702,83df4e7,,,,1.0
lstm,post_covid,91.19318181818184,98.9090909090909,94.57735247208932,0.8742666021370011,0.795636886097808,0.8825059599776328,10.516900537501682,4.427335556723855,7.846038703827197,49.63213783705368,86.85731025610369,65.95896784540895,18.86810142140628,5.838432381401433,14.65650586441446,level,train,21390,814d672,,,,2.3333333333333335
arima,exclude_covid,92.32954545454544,98.54545454545456,95.05582137161085,0.8707461798414557,0.6993327215716971,0.8766607902313506,11.368464626876555,5.638228116263981,8.8552029994149,65.15710556909039,112.9729294179784,86.12895813439215,19.043228452997067,7.732448362384219,15.159615406835664,level,none,,8dd9348,,,,5.0
lstm,exclude_covid,91.76136363636364,98.9090909090909,94.896331738437,0.8747163797451463,0.7929725681616815,0.8845804122142087,10.742776119167154,4.234540607799183,7.888286859795238,51.53680745843655,76.13618907790784,62.32600992311694,19.957787168696235,5.793759980086656,15.438170947216635,level,train,21390,8dd9348,,,,3.6666666666666665
arima,post_covid,93.75,98.54545454545456,95.85326953748007,0.8650468071233339,0.6696090250502142,0.8712236712887145,11.67589629466042,5.78530311781303,9.092302796043144,64.99151649470876,105.77931978782588,82.88090390397065,19.475380644303073,7.920588158799711,15.506471404709275,level,none,,814d672,0.0011004327439652383,0.0029783847370856284,221.07669291715138,6.333333333333333
xgboost,post_covid,96.30681818181816,100.0,97.92663476874004,0.852970104720765,0.7875908141188467,0.8661657223894175,12.20003411397255,4.636251066928999,8.882585409128886,67.75003165435814,80.11301268618843,73.1723917560381,20.068941043941624,6.374956641954713,15.618476705759804,climatology,,,80d59ba,,,,5.333333333333333
persistence,exclude_covid,93.18181818181816,97.45454545454544,95.05582137161085,0.8607806389258764,0.6875090297390586,0.8708879041331536,12.051278409090909,4.950363636363637,8.936842105263157,60.87732802347335,73.77117813251192,66.53252543971833,20.131564252719254,7.131745291938777,15.806117463890258,level,none,0,8dd9348,,,,7.0
persistence,post_covid,93.18181818181816,97.45454545454544,95.05582137161085,0.8607806389258764,0.6875090297390586,0.8708879041331536,12.051278409090909,4.950363636363637,8.936842105263157,60.87732802347335,73.77117813251192,66.53252543971833,20.131564252719254,7.131745291938777,15.806117463890258,level,none,0,814d672,1.6640182089991998e-07,4.5037613276185265e-07,0.0335214170627296,7.0
gat,post_covid,80.9659090909091,93.81818181818184,86.60287081339713,0.6783476137481925,0.6987496621256933,0.6976273232860485,16.73516537926414,8.70656776601618,13.213850636611523,80.20880254756644,170.21677502210218,119.68598345745052,28.125438095822485,11.687488057177084,22.45003145615293,level,,8129,89c2d8b,,,,9.666666666666666
dualtopo,post_covid,83.52272727272727,91.27272727272728,86.92185007974481,0.5052581107522092,0.598798931934519,0.4168523709236908,18.961216736923564,17.22991453344172,18.201873665221,108.23412526087736,331.7612398626327,206.272333419542,33.35923135606023,21.9500018548701,28.914844930452,level,train,479905,814d672,,,,10.666666666666666
seasonal_naive,exclude_covid,91.19318181818184,99.27272727272728,94.73684210526316,0.3145352591519452,0.6936719831604418,0.4169008462052502,31.357954545454547,5.029090909090909,19.810207336523128,160.26512910631672,92.6766830684413,130.6210738265468,52.81327635255087,6.9144933423800605,39.83540797917882,level,none,0,8dd9348,,,,9.0
seasonal_naive,post_covid,95.45454545454544,100.0,97.4481658692185,0.3145352591519452,0.6936719831604418,0.4169008462052502,31.357954545454547,5.029090909090909,19.810207336523128,160.26512910631672,92.6766830684413,130.6210738265468,52.81327635255087,6.9144933423800605,39.83540797917882,level,none,0,814d672,2.0111159561252568e-07,5.443201414244767e-07,0.04050358384847641,9.0
