model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
lstm,post_covid,off_season,pooled,ALL,1,275,5.838432381401433,86.85731025610369,4.427335556723855,0.795636886097808,275.0,98.9090909090909,level,train,21390,8dd9348,,,,,,,2.0,5.0,2.0,1.0
seasonal_naive,exclude_covid,off_season,pooled,ALL,1,275,6.9144933423800605,92.6766830684413,5.029090909090909,0.6936719831604418,275.0,99.27272727272728,level,none,0,8dd9348,,,,,,,3.0,6.0,5.0,11.0
seasonal_naive,post_covid,off_season,pooled,ALL,1,275,6.9144933423800605,92.6766830684413,5.029090909090909,0.6936719831604418,275.0,100.0,level,none,0,8dd9348,,,,,,,3.0,6.0,5.0,11.0
persistence,exclude_covid,off_season,pooled,ALL,1,275,7.131745291938777,73.77117813251192,4.950363636363637,0.6875090297390586,275.0,97.45454545454544,level,none,0,8dd9348,,,,,,,5.0,1.0,3.0,15.0
persistence,post_covid,off_season,pooled,ALL,1,275,7.131745291938777,73.77117813251192,4.950363636363637,0.6875090297390586,275.0,97.45454545454544,level,none,0,8dd9348,,,,,,,5.0,1.0,3.0,15.0
arima,exclude_covid,off_season,pooled,ALL,1,275,7.732448362384219,112.9729294179784,5.638228116263981,0.6993327215716971,275.0,98.54545454545456,level,none,,8dd9348,,,,,,,7.0,9.0,8.0,7.0
arima,post_covid,off_season,pooled,ALL,1,275,7.920588158799711,105.77931978782588,5.78530311781303,0.6696090250502142,275.0,98.54545454545456,level,none,,8dd9348,,,,,,,8.0,8.0,9.0,21.0
dualtopo_fullhistory,full,off_season,pooled,ALL,1,275,8.59040516353067,123.99005652070588,6.252267409237948,0.7395159480042609,275.0,97.45454545454544,level,train,479905,8dd9348,,,,-0.0163993265885438,0.6958094602531076,0.6349173297450651,9.0,11.0,10.0,3.0
gnn_multiedge_covid_rsv_full,full,off_season,pooled,ALL,1,275,8.77246372910045,79.74051931001286,5.505512738282031,0.6867679799807656,275.0,97.0909090909091,delta,train,6337,8dd9348,,,,-0.0599374439105919,0.5828138950959344,0.6441426384625785,10.0,4.0,7.0,17.0
gnn_multiedge_covid_rsv,post_covid,off_season,pooled,ALL,1,275,14.629049435880734,123.81522707330926,8.979223268248818,0.721467461279444,275.0,92.72727272727272,delta,train,6337,8dd9348,,,,-1.947605045214273,0.5921669710307107,0.5084163395680431,11.0,10.0,11.0,4.0
dualtopo,post_covid,off_season,pooled,ALL,1,275,21.9500018548701,331.7612398626327,17.22991453344172,0.598798931934519,275.0,91.27272727272728,level,train,479905,8dd9348,,,,-5.63599714491851,0.6357474269998584,0.2636478461765403,12.0,22.0,19.0,22.0
dualtopo_no_bg,post_covid,off_season,pooled,ALL,1,275,22.294193874199703,337.42980003578964,17.508259873823686,0.5925676259900176,275.0,91.27272727272728,level,train,479905,8dd9348,,,,-5.845743377620012,0.6319231744466196,0.2573899445044992,13.0,23.0,20.0,23.0
gnn_multiedge,post_covid,off_season,pooled,ALL,1,275,22.97963358332978,139.3040095741658,12.37521818334406,0.6996048199780177,275.0,86.54545454545455,delta,train,4801,8dd9348,,,,-6.273162235635049,0.5650594114359948,0.3727870367862529,14.0,12.0,12.0,6.0
gnn_multiedge_season,post_covid,off_season,pooled,ALL,1,275,23.302567470237488,142.79093022933012,12.54678428476507,0.7071601430207651,275.0,88.36363636363636,delta,train,4865,8dd9348,,,,-6.4790187906625265,0.5801489861592926,0.3710950198371227,15.0,13.0,13.0,5.0
gnn_uniform,post_covid,off_season,pooled,ALL,1,275,25.984175346374187,149.85319734320234,13.645223319747233,0.6981847714222272,275.0,84.72727272727273,delta,train,4801,8dd9348,,,,-8.299400515203775,0.5608098593729754,0.3392460550632621,16.0,14.0,14.0,8.0
gnn_multiedge_full,full,off_season,pooled,ALL,1,275,27.467235353164583,158.82824004321904,14.287322929989209,0.6972942438182094,275.0,83.27272727272728,delta,train,4801,8dd9348,,,,-9.391230286901584,0.584772487676028,0.3234147484615889,17.0,17.0,15.0,10.0
gnn_corrbinary,post_covid,off_season,pooled,ALL,1,275,27.753092242966417,156.0448869547677,14.388605102192273,0.6979721832048138,275.0,85.45454545454545,delta,train,4801,8dd9348,,,,-9.608642989807542,0.5729418312785436,0.3221192158890958,18.0,15.0,16.0,9.0
gnn_multiedge_rt,post_covid,off_season,pooled,ALL,1,275,28.39424373194117,157.7216353403437,14.655221068208869,0.690078524367628,275.0,82.9090909090909,delta,train,5313,8dd9348,,,,-10.104466238348923,0.5597328983313357,0.3139218002030617,19.0,16.0,17.0,14.0
gnn_geo,post_covid,off_season,pooled,ALL,1,275,32.29807172821352,170.5266721908641,16.238538345640357,0.6901874908280738,275.0,78.54545454545455,delta,train,4801,8dd9348,,,,-13.367799720801347,0.5662327564508146,0.2829684834916147,20.0,18.0,18.0,13.0
gnn_multiedge_leaknorm,post_covid,off_season,pooled,ALL,1,275,35.103036760005914,183.5321584122103,17.707908695827832,0.6850677421792231,275.0,79.63636363636364,delta,all,4801,8dd9348,,,,-15.971743302576773,0.5408662088982857,0.2624535334951382,21.0,19.0,21.0,18.0
gnn_multiedge_season_level,post_covid,off_season,pooled,ALL,1,275,44.497688725670066,202.8023900634468,20.595420208410783,0.6810201979626751,275.0,72.0,level,train,4865,8dd9348,,,,-26.271685751977877,0.6705569380560046,0.2125928033536334,22.0,20.0,22.0,20.0
gnn_multiedge_level,post_covid,off_season,pooled,ALL,1,275,48.48130455511496,222.87041444032587,22.38466863892295,0.6819422013782285,275.0,73.81818181818181,level,train,4801,8dd9348,,,,-31.373203073695443,0.6704951819322179,0.196576840332091,23.0,21.0,23.0,19.0
lstm,post_covid,overall,pooled,ALL,1,627,14.65650586441446,65.95896784540895,7.846038703827197,0.8825059599776328,627.0,94.57735247208932,level,train,21390,8dd9348,,,,,,,1.0,2.0,1.0,2.0
arima,exclude_covid,overall,pooled,ALL,1,627,15.159615406835664,86.12895813439215,8.8552029994149,0.8766607902313506,627.0,95.05582137161085,level,none,,8dd9348,,,,,,,2.0,7.0,3.0,3.0
lstm,exclude_covid,overall,pooled,ALL,1,627,15.438170947216635,62.32600992311694,7.888286859795238,0.8845804122142087,627.0,94.896331738437,level,train,21390,8dd9348,,,,,,,3.0,1.0,2.0,1.0
arima,post_covid,overall,pooled,ALL,1,627,15.506471404709275,82.88090390397065,9.092302796043144,0.8712236712887145,627.0,95.85326953748007,level,none,,8dd9348,,,,,,,4.0,6.0,6.0,5.0
