model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
dualtopo,post_covid,Dorchester,73.07692307692307,39.130434782608695,57.14285714285714,0.3454945476354474,0.7965834322699941,0.583557034709535,41.32648174579327,46.96320508873981,43.97229066187022,83.19126914297983,460.7610523033491,260.41790205498995,63.47365782306342,48.47555337437488,56.92794577489427,level,train,479905,8dd9348,,,,9.333333333333334
arima,exclude_covid,Dorchester,84.61538461538461,100.0,91.83673469387756,0.1896963179017167,0.5237378547556554,0.3183486247421957,50.40015589690373,23.017326787280982,37.5469912127951,72.87490988847914,195.76324589665617,130.55719005558262,75.74739785413779,27.50867748484928,58.30673711794296,level,none,,8dd9348,,,,8.0
dualtopo_fullhistory,full,Dorchester,53.84615384615385,100.0,75.51020408163265,-0.0990783536958515,0.7039523592000063,0.1757056479544388,50.977247091440056,7.069525760153065,30.367500344101263,54.154473229352185,50.25632244426221,52.324728983289546,81.11907687987953,8.782142126527972,59.39522054356908,level,train,479905,8dd9348,,,,7.666666666666667
gnn_multiedge_season_level,post_covid,Dorchester,69.23076923076923,86.95652173913044,77.55102040816327,0.3348614038265307,0.7767974898820836,0.5153729917307674,54.40632607386662,19.24061039219732,37.89996973349123,80.97681965827323,98.71253161062803,89.30174567672547,76.43535735599191,31.525087091926693,59.720364673340974,level,train,4865,8dd9348,,,,10.333333333333334
lstm,exclude_covid,Dorchester,65.38461538461539,86.95652173913044,75.51020408163265,0.1688059697226658,0.6466532352690304,0.3235282557219663,55.06855853154108,21.708689084260364,39.409844301184826,74.61872888048234,154.5033556789967,112.11559452060132,81.08095181497666,31.390917603419833,62.855698475520946,level,train,21390,8dd9348,,,,11.333333333333334
persistence,exclude_covid,Dorchester,84.61538461538461,100.0,91.83673469387756,0.0891135461333155,0.7270802040847687,0.3025575707609166,57.734615384615374,11.98695652173913,36.261224489795914,76.76485774195795,78.82396663200745,77.73137824136896,87.42025267020838,16.77384739771228,64.70831571327582,level,none,0,8dd9348,,,,10.666666666666666
persistence,post_covid,Dorchester,84.61538461538461,100.0,91.83673469387756,0.0891135461333155,0.7270802040847687,0.3025575707609166,57.734615384615374,11.98695652173913,36.261224489795914,76.76485774195795,78.82396663200745,77.73137824136896,87.42025267020838,16.77384739771228,64.70831571327582,level,none,0,8dd9348,,,,10.666666666666666
gnn_multiedge_full,full,Dorchester,65.38461538461539,78.26086956521739,71.42857142857143,0.3748104132534713,0.7496598676950914,0.5106657753244053,58.670229801764854,26.153041103611823,43.40705959650935,87.48671324128125,118.29150819923132,101.94610679297212,80.95632836800736,45.655570821293225,66.75328029163127,delta,train,4801,8dd9348,,,,13.0
gnn_multiedge_rt,post_covid,Dorchester,65.38461538461539,82.6086956521739,73.46938775510205,0.1882263982458246,0.3935634630792877,0.3721094577120942,66.02587043322049,25.57002409644749,47.03639154044949,105.08246742602498,135.52325801174928,119.37100178258945,93.95357224178628,45.924657475633566,75.32485062193909,delta,train,5313,8dd9348,,,,16.333333333333332
seasonal_naive,exclude_covid,Dorchester,73.07692307692307,100.0,85.71428571428571,0.0764592166143762,0.7769960324618469,0.3343259309906929,72.6,7.830434782608696,42.197959183673476,107.20791438287398,75.50633971718045,92.32758341734436,106.11332113866251,9.265832513806464,77.55651527257069,level,none,0,8dd9348,,,,13.0
