model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
xgboost,post_covid,flu_season,pooled,ALL,4,352,29.994797621518693,94.8404620770722,18.23809127057516,0.622394951110548,352.0,96.5909090909091,climatology,,,,,,,0.3805376155651283,0.6964148572715787,0.5859906709601149,1.0,4.0,3.0,1.0
gnn_st,post_covid,flu_season,pooled,ALL,4,352,30.261624604513766,89.08711837899556,18.053827552632853,0.6186521435802996,352.0,94.60227272727272,blend,train,15702,,,,,0.3694673980317636,0.6975090075056213,0.5893122267376723,2.0,2.0,2.0,2.0
lstm,post_covid,flu_season,pooled,ALL,4,352,32.85344932601947,65.36375888233984,17.422779912298378,0.5557960198867684,352.0,87.5,level,train,21390,,,,,,,,3.0,1.0,1.0,3.0
dualtopo,post_covid,flu_season,pooled,ALL,4,352,33.441282554676725,109.86141543021304,19.05817829749801,0.5006765047187578,352.0,83.80681818181817,level,train,479905,,,,,0.2300031876455969,0.5207767955601246,0.3643678592830257,4.0,9.0,4.0,4.0
arima,post_covid,flu_season,pooled,ALL,4,352,35.9251690141277,108.40788085048597,21.251858872542133,0.4335147071585339,352.0,94.88636363636364,level,none,,,0.0010870658247190378,0.0029422063986246296,218.3913556248881,,,,5.0,8.0,5.0,5.0
arima,exclude_covid,flu_season,pooled,ALL,4,352,38.52909005448131,101.50106224820895,22.414057601021707,0.3772081785958751,352.0,90.625,level,none,,8dd9348,,,,,,,6.0,5.0,6.0,7.0
lstm,exclude_covid,flu_season,pooled,ALL,4,352,39.79432690185436,89.30689601003034,23.097790090875193,0.411748279931703,352.0,83.23863636363636,level,train,21390,,,,,,,,7.0,3.0,7.0,6.0
gat,post_covid,flu_season,pooled,ALL,4,352,41.93378191382822,117.82668479404894,25.662053143436257,0.2607130233470111,352.0,78.97727272727273,level,,8129,,,,,-0.2107406978397596,0.4687049354878584,0.2535188498580559,8.0,10.0,8.0,12.0
persistence,exclude_covid,flu_season,pooled,ALL,4,352,45.89101389433448,104.2668535233013,26.73267045454546,0.2836765805469534,352.0,90.05681818181817,level,none,0,,,,,,,,9.0,6.0,9.0,10.0
persistence,post_covid,flu_season,pooled,ALL,4,352,45.89101389433448,104.2668535233013,26.73267045454546,0.2836765805469534,352.0,90.625,level,none,0,,1.623798167218842e-07,4.394903463091598e-07,0.03271458297967911,,,,9.0,6.0,9.0,10.0
seasonal_naive,exclude_covid,flu_season,pooled,ALL,4,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519451,352.0,91.19318181818184,level,none,0,,,,,,,,11.0,11.0,11.0,8.0
seasonal_naive,post_covid,flu_season,pooled,ALL,4,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519451,352.0,95.45454545454544,level,none,0,,2.0376800966921316e-07,5.515098793936584e-07,0.041019625030457973,,,,11.0,11.0,11.0,8.0
gnn_st,post_covid,off_season,pooled,ALL,4,275,6.425135035899212,73.73981103033024,4.40908241185275,0.7766367956198365,275.0,100.0,blend,train,15702,,,,,0.4314068931882083,0.7307924517641801,0.754025904499297,1.0,1.0,1.0,1.0
xgboost,post_covid,off_season,pooled,ALL,4,275,6.645355328611069,77.63917013675555,4.7882021202207845,0.7583227750846183,275.0,94.54545454545456,climatology,,,,,,,0.3917620880100939,0.6772530901058357,0.7409297337382206,2.0,2.0,2.0,2.0
seasonal_naive,exclude_covid,off_season,pooled,ALL,4,275,6.9144933423800605,92.6766830684413,5.029090909090909,0.6936719831604417,275.0,99.27272727272728,level,none,0,,,,,,,,3.0,5.0,3.0,4.0
seasonal_naive,post_covid,off_season,pooled,ALL,4,275,6.9144933423800605,92.6766830684413,5.029090909090909,0.6936719831604415,275.0,100.0,level,none,0,,2.0376800966921316e-07,5.515098793936584e-07,0.041019625030457973,,,,3.0,5.0,3.0,5.0
gat,post_covid,off_season,pooled,ALL,4,275,9.096849284330576,132.954921977391,6.700589636889371,0.7425788014348385,275.0,100.0,level,,8129,,,,,-0.1397748423563789,0.7044702641432774,0.612487887722658,5.0,9.0,7.0,3.0
persistence,exclude_covid,off_season,pooled,ALL,4,275,9.11114701889943,78.54086873761824,5.6,0.6735872189884351,275.0,100.0,level,none,0,,,,,,,,6.0,3.0,5.0,9.0
persistence,post_covid,off_season,pooled,ALL,4,275,9.11114701889943,78.54086873761824,5.6,0.6735872189884351,275.0,100.0,level,none,0,,1.623798167218842e-07,4.394903463091598e-07,0.03271458297967911,,,,6.0,3.0,5.0,9.0
arima,exclude_covid,off_season,pooled,ALL,4,275,15.445398881411126,199.87296638579028,10.978801304139486,0.6070509262377957,275.0,100.0,level,none,,8dd9348,,,,,,,8.0,10.0,10.0,11.0
lstm,post_covid,off_season,pooled,ALL,4,275,15.498333474984344,126.06125041488052,8.734806397871537,0.6752095726049407,275.0,99.27272727272728,level,train,21390,,,,,,,,9.0,8.0,9.0,8.0
lstm,exclude_covid,off_season,pooled,ALL,4,275,15.613972065985967,111.9873879652821,8.53813214180686,0.6917151301139193,275.0,97.0909090909091,level,train,21390,,,,,,,,10.0,7.0,8.0,6.0
arima,post_covid,off_season,pooled,ALL,4,275,15.961761469144584,233.15645005253452,12.16434365770718,0.6902822751140425,275.0,100.0,level,none,,,0.0010870658247190378,0.0029422063986246296,218.3913556248881,,,,11.0,11.0,11.0,7.0
dualtopo,post_covid,off_season,pooled,ALL,4,275,22.636975123312443,342.09019069196273,17.754812760786578,0.5846517362502485,275.0,91.27272727272728,level,train,479905,,,,,-6.057873256008788,0.6356940358050545,0.2511932989953299,12.0,12.0,12.0,12.0
xgboost,post_covid,overall,pooled,ALL,4,627,22.90101927765888,87.29603578745963,12.33901708182324,0.6812040799729484,627.0,95.69377990430624,climatology,,,,,,,0.4574361619091628,0.7731857328284809,0.6553005714201359,1.0,2.0,2.0,1.0
gnn_st,post_covid,overall,pooled,ALL,4,627,23.069904662303447,82.35584322607217,12.06929021018544,0.6763604164317504,627.0,96.96969696969695,blend,train,15702,,,,,0.4494042946988142,0.7894821817295858,0.6528548058741129,2.0,1.0,1.0,2.0
lstm,post_covid,overall,pooled,ALL,4,627,26.67021821403438,91.98546569485768,13.612265212988357,0.5398373809968148,627.0,92.6634768740032,level,train,21390,,,,,,,,3.0,3.0,3.0,3.0
arima,post_covid,overall,pooled,ALL,4,627,28.91888666178037,163.12216558822658,17.26610658533382,0.4671393845892341,627.0,97.1291866028708,level,none,,,0.0010870658247190378,0.0029422063986246296,218.3913556248881,,,,4.0,11.0,5.0,4.0
dualtopo,post_covid,overall,pooled,ALL,4,627,29.198965432643323,211.7161414222085,18.486526746308783,0.4047292216861419,627.0,87.08133971291866,level,train,479905,,,,,0.1179846235297735,0.5039237128303407,0.3341729133997852,5.0,12.0,10.0,9.0
arima,exclude_covid,overall,pooled,ALL,4,627,30.627276467854937,144.64663423837624,17.398594312915467,0.4213927008431701,627.0,94.73684210526316,level,none,,8dd9348,,,,,,,6.0,10.0,7.0,6.0
lstm,exclude_covid,overall,pooled,ALL,4,627,31.55883772742187,99.25448020093025,16.71197520093294,0.4604225991474561,627.0,89.31419457735247,level,train,21390,,,,,,,,7.0,6.0,4.0,5.0
gat,post_covid,overall,pooled,ALL,4,627,31.99203924323901,124.4618765411288,17.345621780915693,0.3660289823287884,627.0,88.19776714513556,level,,8129,,,,,-0.0588271681291083,0.6471680848536207,0.3556459673807312,8.0,7.0,6.0,12.0
persistence,exclude_covid,overall,pooled,ALL,4,627,34.91012269624194,92.983526862914,17.46395534290271,0.3717877766009544,627.0,94.41786283891548,level,none,0,,,,,,,,9.0,4.0,8.0,10.0
persistence,post_covid,overall,pooled,ALL,4,627,34.91012269624194,92.983526862914,17.46395534290271,0.3717877766009544,627.0,94.73684210526316,level,none,0,,1.623798167218842e-07,4.394903463091598e-07,0.03271458297967911,,,,9.0,4.0,8.0,10.0
seasonal_naive,exclude_covid,overall,pooled,ALL,4,627,39.83540797917882,130.6210738265468,19.810207336523128,0.4169008462052502,627.0,94.73684210526316,level,none,0,,,,,,,,11.0,8.0,11.0,7.0
seasonal_naive,post_covid,overall,pooled,ALL,4,627,39.83540797917882,130.6210738265468,19.810207336523128,0.4169008462052502,627.0,97.4481658692185,level,none,0,,2.0376800966921316e-07,5.515098793936584e-07,0.041019625030457973,,,,11.0,8.0,11.0,7.0
