scope,neighborhood,horizon,RMSE,MAE,MAPE,Corr,MAPE_n
neighborhood,Allston/Brighton,1,11.467762442071363,7.91457554959092,52.023232477346184,0.774932226369603,30
neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,8.598942268492314,5.738181604448541,51.07794861679975,0.6580147692958519,30
neighborhood,Charlestown,1,12.235544793036832,7.639210687594235,73.9563490629003,0.5841570212775691,24
neighborhood,Dorchester,1,20.864981627917462,13.346666666666666,24.060710923368045,0.8798431095722024,30
neighborhood,East Boston,1,8.13179971879944,6.783333333333333,114.45838913913788,0.760039366358735,29
neighborhood,Fenway,1,3.8666074397612182,2.5985710604286187,54.96791244421038,0.6637869704353138,29
neighborhood,Hyde Park,1,9.78037347630955,6.841244710133931,63.15507838295314,0.8128929631363112,29
neighborhood,Jamaica Plain,1,8.168739277812596,5.162260813484773,65.72014862354891,0.7766385466458429,28
neighborhood,Mattapan,1,10.695637941102403,7.455376327715483,52.478971712224286,0.8103766446094166,30
neighborhood,Roslindale,1,17.903575990605024,12.280687521841669,90.94260244504721,0.7654226376673691,29
neighborhood,Roxbury,1,24.44349199851273,14.586966005353206,46.77451475525075,0.788954949975053,30
neighborhood,South Boston,1,7.2381929944069245,4.745331421547479,52.87943378193402,0.7685654545348805,28
neighborhood,South End,1,14.779366162713282,8.55304637415154,46.59794141896888,0.8348951005108416,30
neighborhood,West Roxbury,1,10.51364416341575,6.32507516951644,78.36483986127104,0.6598773674699037,29
macro,AVERAGE,1,12.04919002106835,7.855037660414773,61.96129097464005,0.752742651989921,405
pooled,ALL,1,13.222667349387693,7.855037660414774,61.58250895774774,0.8514726616464754,405
neighborhood,Allston/Brighton,2,17.265274379456308,11.045912869460023,75.65011802801345,0.49401819915582385,30
neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,9.985102539828134,6.098440975941983,60.68675117128367,0.5501140540624192,30
neighborhood,Charlestown,2,15.418563714322447,9.599739090224453,92.10496882399391,0.31558831367903933,25
neighborhood,Dorchester,2,37.56365624953637,23.47083333333334,44.09792613431523,0.6076173308363328,30
neighborhood,East Boston,2,11.236350979447613,8.315,114.10678540275494,0.539344487185,29
neighborhood,Fenway,2,4.508252420916429,3.046912789814812,63.865288878906476,0.5501331189490147,29
neighborhood,Hyde Park,2,14.133377374590436,9.635597168568182,98.26895071017877,0.5576322787456248,30
neighborhood,Jamaica Plain,2,11.794094021101408,7.643857509970661,91.59104922425648,0.5304752217895007,28
neighborhood,Mattapan,2,16.030192004059415,9.841142556759104,57.553410380192204,0.5785592456595151,30
neighborhood,Roslindale,2,26.9841826146947,18.123605197541952,99.81926599990321,0.46079893016079104,29
neighborhood,Roxbury,2,35.06349716843215,21.20421237420203,59.702095517595986,0.5893682356786405,30
neighborhood,South Boston,2,9.124394565090912,6.007968889344133,63.68259857538926,0.6374821780694695,28
neighborhood,South End,2,20.655345468100965,13.686067456893168,68.82759134982686,0.6871037876627637,30
neighborhood,West Roxbury,2,13.265782490502005,7.769268692608237,89.87341110652119,0.426686241598359,28
macro,AVERAGE,2,17.359147570719948,11.106325636047291,77.13072937879512,0.5374944016594496,406
pooled,ALL,2,19.698488233168995,11.106325636047291,76.76427595290659,0.6724846157772127,406
