added_route_id,trip_id
40,73863204
50,73863204
40,73863205
50,73863205
40,73863211
50,73863211
40,73863212
50,73863212
40,73860238
50,73860238
40,73860240
50,73860240
40,73860241
50,73860241
40,73860242
50,73860242
40,73860243
50,73860243
40,73860244
50,73860244
40,73860247
50,73860247
40,73860248
50,73860248
40,74218131
50,74218131
40,74218210
50,74218210
40,74213553
50,74213553
40,74213632
50,74213632
40,73863203
50,73863203
40,73863207
50,73863207
40,73863209
50,73863209
40,73863210
50,73863210
40,73860239
50,73860239
40,73860245
50,73860245
40,73860246
50,73860246
40,73860249
50,73860249
40,73860250
50,73860250
40,73860251
50,73860251
40,73860252
50,73860252
40,73860253
50,73860253
40,74218038
50,74218038
40,74218209
50,74218209
40,74213460
50,74213460
40,74213631
50,74213631
441,74068392
442,74068392
441,74068604
442,74068604
441,74069057
442,74069057
441,74071392
442,74071392
441,74068389
442,74068389
441,74068390
442,74068390
441,74068391
442,74068391
441,74069104
442,74069104
441,74069208
442,74069208
441,74071439
442,74071439
441,74071543
442,74071543
741,73778946
742,73778946
743,73778946
741,73779053
742,73779053
743,73779053
741,73779147
742,73779147
743,73779147
741,73779271
742,73779271
743,73779271
741,73779541
742,73779541
743,73779541
741,73779543
742,73779543
743,73779543
741,73779546
742,73779546
743,73779546
741,73779549
742,73779549
743,73779549
741,73779550
742,73779550
743,73779550
741,73779552
742,73779552
743,73779552
741,73779553
742,73779553
743,73779553
741,73779555
742,73779555
743,73779555
741,73779557
742,73779557
743,73779557
741,73779558
742,73779558
743,73779558
741,73779562
742,73779562
743,73779562
741,73779564
742,73779564
743,73779564
741,73779565
742,73779565
743,73779565
741,73779567
742,73779567
743,73779567
741,73779568
742,73779568
743,73779568
741,73779570
742,73779570
743,73779570
741,73779573
742,73779573
743,73779573
741,73779575
742,73779575
743,73779575
741,73779577
742,73779577
743,73779577
741,73779579
742,73779579
743,73779579
741,73779581
742,73779581
743,73779581
741,73779583
742,73779583
743,73779583
741,73779585
742,73779585
743,73779585
741,73779587
742,73779587
743,73779587
741,73779589
742,73779589
743,73779589
741,73779590
742,73779590
743,73779590
741,73779593
742,73779593
743,73779593
741,73818464
742,73818464
743,73818464
741,73818468
742,73818468
743,73818468
741,73818473
742,73818473
743,73818473
741,73818475
742,73818475
743,73818475
741,73818481
742,73818481
743,73818481
741,73818482
742,73818482
743,73818482
741,73818484
742,73818484
743,73818484
741,73818485
742,73818485
743,73818485
741,73818486
742,73818486
743,73818486
741,73818493
742,73818493
743,73818493
741,73818497
742,73818497
743,73818497
741,73783237
742,73783237
743,73783237
741,73783238
742,73783238
743,73783238
741,73783239
742,73783239
743,73783239
741,73783240
742,73783240
743,73783240
741,73783242
742,73783242
743,73783242
741,73783244
742,73783244
743,73783244
741,73783245
742,73783245
743,73783245
741,73783247
742,73783247
743,73783247
741,73783250
742,73783250
743,73783250
741,73783251
742,73783251
743,73783251
741,73783253
742,73783253
743,73783253
741,73783255
742,73783255
743,73783255
741,73783257
742,73783257
743,73783257
741,73783259
742,73783259
743,73783259
741,73783261
742,73783261
743,73783261
741,73783264
742,73783264
743,73783264
741,73783265
742,73783265
743,73783265
741,73783268
742,73783268
743,73783268
741,73783270
742,73783270
743,73783270
741,73783272
742,73783272
743,73783272
741,73783273
742,73783273
743,73783273
741,73783276
742,73783276
743,73783276
741,73783277
742,73783277
743,73783277
741,73783281
742,73783281
743,73783281
741,73783284
742,73783284
743,73783284
741,73783285
742,73783285
743,73783285
741,73783288
742,73783288
743,73783288
741,73783289
742,73783289
743,73783289
741,73783291
742,73783291
743,73783291
741,73783294
742,73783294
743,73783294
741,73783295
742,73783295
743,73783295
741,73783296
742,73783296
743,73783296
741,73783297
742,73783297
743,73783297
741,73783476
742,73783476
743,73783476
741,73783972
742,73783972
743,73783972
741,73783996
742,73783996
743,73783996
741,73784068
742,73784068
743,73784068
741,73784096
742,73784096
743,73784096
741,73784097
742,73784097
743,73784097
741,73822758
742,73822758
743,73822758
741,73822759
742,73822759
743,73822759
741,73822760
742,73822760
743,73822760
741,73822763
742,73822763
743,73822763
741,73822770
742,73822770
743,73822770
741,73822772
742,73822772
743,73822772
741,73822774
742,73822774
743,73822774
741,73822775
742,73822775
743,73822775
741,73822778
742,73822778
743,73822778
741,73822779
742,73822779
743,73822779
741,73822780
742,73822780
743,73822780
741,73822783
742,73822783
743,73822783
741,73822784
742,73822784
743,73822784
741,73822793
742,73822793
743,73822793
741,74012812
742,74012812
743,74012812
741,74012856
742,74012856
743,74012856
741,74012961
742,74012961
743,74012961
741,74012969
742,74012969
743,74012969
741,74013022
742,74013022
743,74013022
741,74013045
742,74013045
743,74013045
741,74013053
742,74013053
743,74013053
741,74013083
742,74013083
743,74013083
741,74013084
742,74013084
743,74013084
741,74013086
742,74013086
743,74013086
741,74013107
742,74013107
743,74013107
741,74013109
742,74013109
743,74013109
741,74013161
742,74013161
743,74013161
741,74013170
742,74013170
