city,model,variant,horizon,origin_date,target_date,neighborhood,group,shap_rate_per_100k,base_rate_per_100k,predicted_rate_per_100k,actual_rate_per_100k,n_background,seed
boston,dualtopo,post_covid,2,2025-12-07,2025-12-21,Dorchester,Own flu history,-0.005626927204911425,63.757713128910744,63.74762499610188,256.1499938964844,20,0
boston,dualtopo,post_covid,2,2025-12-07,2025-12-21,Dorchester,Neighbours' flu history,-0.004461205603956131,63.757713128910744,63.74762499610188,256.1499938964844,20,0
