model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
lstm,exclude_covid,overall,neighborhood,Allston/Brighton,52,49,16.837513763466948,71.70600746870667,9.553440662306182,0.413320106819525,49,91.83673469387756
lstm,exclude_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,52,46,12.23434112253654,111.61794178876579,8.197395662639451,0.40221431822599113,46,95.65217391304348
lstm,exclude_covid,overall,neighborhood,Charlestown,52,35,24.93758031550366,113.79805430407457,16.440959679739816,0.08507540598078482,35,91.42857142857143
lstm,exclude_covid,overall,neighborhood,Dorchester,52,49,55.449449502347335,98.64189392941228,37.28859427315848,0.40543011042966026,49,93.87755102040816
lstm,exclude_covid,overall,neighborhood,East Boston,52,44,12.569845038187864,121.7697506642301,8.265469303998081,0.3622329418066863,44,93.18181818181817
lstm,exclude_covid,overall,neighborhood,Fenway,52,43,5.71998580484283,104.14194215298176,4.233395853707957,0.5004449950782245,43,100.0
lstm,exclude_covid,overall,neighborhood,Hyde Park,52,46,23.73337222066896,146.48574490316494,16.546504849972933,0.23384962522910632,46,93.47826086956522
lstm,exclude_covid,overall,neighborhood,Jamaica Plain,52,46,13.729761060484183,128.43079890582888,9.077370560687521,0.29056732551875275,46,95.65217391304348
lstm,exclude_covid,overall,neighborhood,Mattapan,52,47,25.0587062999685,137.55278503240277,17.450265571918898,0.37505393916926805,47,95.74468085106383
lstm,exclude_covid,overall,neighborhood,Roslindale,52,42,39.19664576983387,112.94279795582281,23.913726270766485,0.26308154584437743,42,90.47619047619048
lstm,exclude_covid,overall,neighborhood,Roxbury,52,49,54.46225863247017,112.79514717794707,36.435476731280886,0.3239314147655958,49,91.83673469387756
lstm,exclude_covid,overall,neighborhood,South Boston,52,42,13.828270879291543,112.62627258547909,9.630515257517496,0.3451443944603251,42,95.23809523809523
lstm,exclude_covid,overall,neighborhood,South End,52,49,34.49270552796183,116.2021967673439,22.962629294882014,0.3299720529612251,49,91.83673469387756
lstm,exclude_covid,overall,neighborhood,West Roxbury,52,40,20.136211208091215,97.17078895985999,12.703124208450316,0.18401821063277987,40,92.5
lstm,exclude_covid,overall,macro,AVERAGE,52,627,25.170474796118246,113.27729447114429,16.62134772721618,0.3224525990658787,627,93.76712285524515
lstm,exclude_covid,overall,pooled,ALL,52,627,29.8339421989465,113.22666861151993,16.93754582260594,0.48271046687911756,627,93.77990430622009
lstm,exclude_covid,flu_season,neighborhood,Allston/Brighton,52,26,22.708438273602304,58.29213692399377,14.676783018845775,0.16389035520034922,26,84.61538461538461
