scope,neighborhood,horizon,RMSE,MAE,MAPE,Corr,MAPE_n
neighborhood,Allston/Brighton,1,8.851999759308054,5.920154444376629,32.81598096633356,0.8932551095024475,30
neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,6.03190558081831,4.65877726872762,42.71584233576735,0.8668838528430495,30
neighborhood,Charlestown,1,9.609022905084132,5.820209306081137,53.236894586379556,0.7542892227588944,24
neighborhood,Dorchester,1,24.64002462028005,15.208461888631183,29.485596289426496,0.8526947877694522,30
neighborhood,East Boston,1,6.31186513436551,5.105592953364053,79.18305150319445,0.8513942527015359,29
neighborhood,Fenway,1,3.9124609163438158,2.746092247962951,46.41376432619188,0.6931146084342599,29
neighborhood,Hyde Park,1,8.968365680115067,6.339798030853271,53.25543063263619,0.8464095615707459,29
neighborhood,Jamaica Plain,1,5.983822233074513,4.4896291224161775,64.94790616791494,0.8973579396296351,28
neighborhood,Mattapan,1,6.68355073905908,4.999513861338298,50.057427073606696,0.9288820180712686,30
neighborhood,Roslindale,1,12.686119516923718,8.588368218739827,49.57783877690268,0.9138771321877457,29
neighborhood,Roxbury,1,20.97245321917402,13.392789802551269,36.37429350260725,0.8375267942490471,30
neighborhood,South Boston,1,6.4616444340318235,4.032381814320883,40.69637187789675,0.8418105164640717,28
neighborhood,South End,1,12.982500968533227,8.19483102162679,53.23168832460161,0.8671496881225349,30
neighborhood,West Roxbury,1,8.505974085754985,5.326298554738362,48.071733402559786,0.8342541867292225,29
macro,AVERAGE,1,10.185836413776167,6.77306418112346,48.57598712614423,0.8484928336452794,405
pooled,ALL,1,11.691546612787695,6.773064181123461,48.38198234747948,0.8829540998862346,405
neighborhood,Allston/Brighton,2,12.844681347487521,8.286881523132326,47.19735223090419,0.7119939402304145,30
neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,8.168540673602461,5.970488271713257,51.25077418744469,0.7237761918583996,30
neighborhood,Charlestown,2,12.563565917254147,7.885817114512126,71.66223405382596,0.5234191118067918,25
neighborhood,Dorchester,2,37.24772184930062,22.56957911173503,42.026189559653645,0.6564673008640218,30
neighborhood,East Boston,2,8.505474346096635,6.268944899241129,75.38703091585481,0.7177424539546128,29
neighborhood,Fenway,2,4.821270780150814,3.260237706502278,59.704415809317354,0.5775068503509353,29
neighborhood,Hyde Park,2,13.893747610692657,8.900977300008138,64.79943454503044,0.6064557032564581,30
neighborhood,Jamaica Plain,2,8.436400532952833,5.573498522440593,65.08290786103944,0.7410382474593605,28
neighborhood,Mattapan,2,11.029071491067226,8.334460417429606,73.81709886770071,0.7870301933313969,30
neighborhood,Roslindale,2,18.249040806437645,11.791667658487956,57.27956842816763,0.7376305638486831,29
neighborhood,Roxbury,2,32.29203490640422,19.51166160583496,47.920955302753505,0.616268768043468,30
neighborhood,South Boston,2,8.406502033014332,5.259029064178467,50.0108175965986,0.7054801462556469,28
neighborhood,South End,2,18.67741566419308,11.630784664154051,55.214988966511726,0.7221088285756679,30
neighborhood,West Roxbury,2,11.485855085318653,6.891473382314046,59.82527659759693,0.5899585418560557,28
macro,AVERAGE,2,14.758665931712345,9.438250088691712,58.6556460658857,0.6726340601208508,406
pooled,ALL,2,17.290846289410133,9.43825008869171,58.460224527436075,0.7422575700383112,406
