scope,neighborhood,horizon,RMSE,MAE,MAPE,Corr,MAPE_n
neighborhood,Allston/Brighton,1,12.873433963805585,8.130214494069417,44.01959296546366,0.7285419593710106,30
neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,7.966896782181356,5.849789215723674,53.98748347821406,0.7018937027834183,30
neighborhood,Charlestown,1,12.287857939226992,7.972192430496216,73.04665296781018,0.5539109923560612,24
neighborhood,Dorchester,1,32.89023347387194,20.3061924235026,45.094939899189725,0.6430895418256021,30
neighborhood,East Boston,1,8.04864606214802,5.7088736979166645,75.09171925008395,0.7401122212611067,29
neighborhood,Fenway,1,4.409682873871695,2.894347082773844,57.956949622892026,0.552047461458782,29
neighborhood,Hyde Park,1,13.009966886513595,8.73325226465861,71.16745101290907,0.6181805980395564,29
neighborhood,Jamaica Plain,1,9.212186533500518,6.193680779139202,88.73143688218423,0.7128166715076286,28
neighborhood,Mattapan,1,10.23204514394453,7.974963003794352,76.08314199979364,0.8272731339107648,30
neighborhood,Roslindale,1,19.66581291315631,11.962259076436363,64.18949797412554,0.7456753197674315,29
neighborhood,Roxbury,1,29.49583493992123,20.0455340830485,53.412184257205844,0.6106127351149905,30
neighborhood,South Boston,1,7.621265695376043,4.967046175003052,40.52279073347232,0.7333643180735058,28
neighborhood,South End,1,17.764410118527305,11.696360994974775,66.75209722938501,0.7245490761136201,30
neighborhood,West Roxbury,1,11.034089750564787,6.619092028935751,53.86987495434843,0.6636590312063078,29
macro,AVERAGE,1,14.036597362614994,9.218128410748074,61.70898665907698,0.6825519116278419,405
pooled,ALL,1,16.162473292664252,9.218128410748072,61.47829760730814,0.7512084668584025,405
neighborhood,Allston/Brighton,2,15.71705198084753,9.581840203603111,58.925623486937084,0.48241032448925397,30
neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,9.73384901613026,6.534421380360921,64.69534266766256,0.45797351852259327,30
neighborhood,Charlestown,2,13.906323785355019,8.765519959131876,75.33837817593044,0.28861887750468895,25
neighborhood,Dorchester,2,40.84304680595656,25.756106224060055,53.81078966200391,0.34543379536753,30
neighborhood,East Boston,2,9.87405397557102,6.535957215627035,79.94404896925276,0.5515015536695832,29
neighborhood,Fenway,2,4.943990949800991,3.5397557481129955,77.64340823119105,0.44399855203866384,29
neighborhood,Hyde Park,2,16.63077772253168,10.69086510340373,93.82218499884733,0.28776531674119554,30
neighborhood,Jamaica Plain,2,11.210906718708076,7.467525173823039,88.33062582180368,0.45365916826068364,28
neighborhood,Mattapan,2,14.347473372255198,10.972781728108727,97.32611275209231,0.5723352118178531,30
neighborhood,Roslindale,2,24.258276175757313,14.809884986877442,81.03197563158979,0.42990761099244096,29
neighborhood,Roxbury,2,35.6264965327934,22.83193021138509,61.79491538837365,0.34410194159273716,30
neighborhood,South Boston,2,10.055810583425572,6.560993941624959,69.32828847458858,0.4338929200510616,28
neighborhood,South End,2,22.763438213231176,14.84815731048584,84.44820308442598,0.4629979129727337,30
neighborhood,West Roxbury,2,13.199806387548096,7.568163290023803,61.63480794520119,0.34666807087451573,28
macro,AVERAGE,2,17.365093015707995,11.175993034044902,74.8624789492786,0.42151891249253814,406
pooled,ALL,2,19.972499993069608,11.175993034044902,74.84813396675403,0.5809517229323449,406
