seed,best_epoch,best_val_mse,epochs_run
42,85,0.7994832992553711,120
43,79,0.8531158566474915,120
44,71,0.73497474193573,120
45,87,0.7770645618438721,120
46,57,0.7199872732162476,120
47,78,0.7433733344078064,120
48,78,0.8813627362251282,120
49,89,0.8764557838439941,120
50,78,0.7627878785133362,120
51,86,0.7154754400253296,120
