model,variant,horizon,segment,scope,n_obs,RMSE,MAPE,MAE,Corr,CI_coverage,fallback_forecasts,fallback_share,target_kind,lookback,n_train,n_params
arima,post_covid,1,flu_season,pooled,494,32.7443787036919,55.398229513523624,17.689516216216035,0.936104558897104,87.24696356275304,0.0,0.0,level,8.0,97,
arima,post_covid,1,off_season,pooled,498,16.091358092976847,67.62069280628562,9.936678659527118,0.9338650456085168,94.17670682730925,0.0,0.0,level,8.0,97,
arima,post_covid,1,overall,pooled,992,25.766711640858816,61.5593487651812,13.797466716991154,0.9368564198231784,90.7258064516129,0.0,0.0,level,8.0,97,
arima,post_covid,2,flu_season,pooled,494,39.15365948618834,70.47662316148435,22.017798891857968,0.9087651015720428,79.35222672064778,0.0,0.0,level,8.0,96,
arima,post_covid,2,off_season,pooled,498,20.014407558854995,87.57449537651054,12.735023636672445,0.8973814257277967,91.16465863453816,0.0,0.0,level,8.0,96,
arima,post_covid,2,overall,pooled,992,31.056555675456423,79.09534650252817,17.3576959915733,0.9072388725402863,85.28225806451613,0.0,0.0,level,8.0,96,
arima,post_covid,4,flu_season,pooled,494,49.26754859746094,102.81494285392516,24.826738879070376,0.847684858224501,86.23481781376519,0.0,0.0,level,8.0,94,
arima,post_covid,4,off_season,pooled,498,24.480342607574045,103.24728467123693,15.7742568223841,0.8750251810187807,94.97991967871486,0.0,0.0,level,8.0,94,
arima,post_covid,4,overall,pooled,992,38.85361974403693,103.03287842305986,20.28224687883876,0.8536885275010113,90.625,0.0,0.0,level,8.0,94,
dualtopo,post_covid,1,flu_season,pooled,494,53.59982554609102,163.2674608192972,24.86942702652472,0.8263185390702785,81.57894736842105,,,level,52.0,59,479905.0
dualtopo,post_covid,1,off_season,pooled,498,34.183729231995805,154.23868055272476,16.68501269290725,0.5976809384564068,82.93172690763052,,,level,52.0,59,479905.0
dualtopo,post_covid,1,overall,pooled,992,44.91434072690499,158.7162185216576,20.760719024365947,0.8045927461214384,82.25806451612904,,,level,52.0,59,479905.0
dualtopo,post_covid,2,flu_season,pooled,494,74.3554898820593,213.60509435541655,31.85229197735729,0.5957627247366137,83.40080971659918,,,level,52.0,58,479905.0
dualtopo,post_covid,2,off_season,pooled,498,40.75973537078917,160.80262265572424,19.261567341275963,0.4019473116998954,82.1285140562249,,,level,52.0,58,479905.0
dualtopo,post_covid,2,overall,pooled,992,59.89365833466823,186.9883382129186,25.531545133840652,0.5912629579926615,82.76209677419355,,,level,52.0,58,479905.0
dualtopo,post_covid,4,flu_season,pooled,494,83.77347462910203,210.58333580611452,35.99762605317691,0.4651272536763737,89.87854251012146,,,level,52.0,57,479905.0
dualtopo,post_covid,4,off_season,pooled,498,41.79666635366644,857477.7947816092,18.6500492368836,0.3497402005500237,90.36144578313254,,,level,52.0,57,479905.0
