model,variant,series,horizon,scope,indicator,segment,level,label,threshold,n_obs,n_events,base_rate,hits,false_alarms,misses,correct_neg,POD,FAR,precision,FPR,CSI,F1,PSS,HSS,MCC,accuracy,frequency_bias,brier,brier_ref,BSS,exact_band,within_one_band,kappa_quadratic,mean_band_error,underpowered
arima,post_covid,arima,4,citywide,CITYWIDE,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.8679245283018868,0.9433962264150944,0.1117318435754191,-0.16981132075471697,False
arima,post_covid,arima,4,citywide,CITYWIDE,overall,0.5,IT50,77.06642887231719,53,8.0,0.1509433962264151,2.0,1.0,6.0,44.0,0.25,0.3333333333333333,0.6666666666666666,0.022222222222222223,0.2222222222222222,0.36363636363636365,0.22777777777777777,0.30654205607476637,0.3528718159877869,0.8679245283018868,0.375,0.09434503739627072,0.12815948736205057,0.26384663876076553,,,,,False
arima,post_covid,arima,4,citywide,CITYWIDE,overall,0.9,IT90,97.46007981062509,53,3.0,0.05660377358490566,0.0,0.0,3.0,50.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9433962264150944,0.0,0.0664764209668978,0.05339978640085441,-0.2448817766401059,,,,,True
arima,post_covid,arima,4,citywide,CITYWIDE,overall,0.98,IT98,113.25281678189309,53,1.0,0.018867924528301886,0.0,0.0,1.0,52.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9811320754716981,0.0,0.021578947003285193,0.018511925952296185,-0.165678117927464,,,,,True
arima,post_covid,arima,4,citywide,CITYWIDE,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.7307692307692307,0.8846153846153846,0.05536332179930814,-0.34615384615384615,False
arima,post_covid,arima,4,citywide,CITYWIDE,flu_season,0.5,IT50,77.06642887231719,26,8.0,0.3076923076923077,2.0,1.0,6.0,17.0,0.25,0.3333333333333333,0.6666666666666666,0.05555555555555555,0.2222222222222222,0.36363636363636365,0.19444444444444445,0.23529411764705882,0.2809003238667948,0.7307692307692307,0.375,0.18908717979731204,0.21301775147928986,0.11234073928484034,,,,,False
arima,post_covid,arima,4,citywide,CITYWIDE,flu_season,0.9,IT90,97.46007981062509,26,3.0,0.11538461538461539,0.0,0.0,3.0,23.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.8846153846153846,0.0,0.13546433837930058,0.10207100591715977,-0.32715786586097373,,,,,True
arima,post_covid,arima,4,citywide,CITYWIDE,flu_season,0.98,IT98,113.25281678189309,26,1.0,0.038461538461538464,0.0,0.0,1.0,25.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9615384615384616,0.0,0.043987354461140056,0.036982248520710054,-0.1894180646292274,,,,,True
arima,post_covid,arima,4,pooled,ALL,overall,,bands,,992,,,,,,,,,,,,,,,,,,,,,0.876008064516129,0.9727822580645161,0.5384615384615383,-0.06854838709677419,False
arima,post_covid,arima,4,pooled,ALL,overall,0.5,IT50,,992,143.0,0.14415322580645162,74.0,27.0,69.0,822.0,0.5174825174825175,0.26732673267326734,0.7326732673267327,0.03180212014134275,0.43529411764705883,0.6065573770491803,0.48568039734117474,0.5532411968362091,0.5641218222462175,0.9032258064516129,0.7062937062937062,0.0800877171740117,0.12337307329604581,0.35084929770831474,,,,,False
arima,post_covid,arima,4,pooled,ALL,overall,0.9,IT90,,992,37.0,0.037298387096774195,9.0,11.0,28.0,944.0,0.24324324324324326,0.55,0.45,0.011518324607329843,0.1875,0.3157894736842105,0.2317249186359134,0.29739938980095887,0.31241160344754415,0.9606854838709677,0.5405405405405406,0.029569822293017804,0.03590721741675338,0.17649362940551083,,,,,False
arima,post_covid,arima,4,pooled,ALL,overall,0.98,IT98,,992,12.0,0.012096774193548387,0.0,3.0,12.0,977.0,0.0,1.0,0.0,0.003061224489795918,0.0,0.0,-0.003061224489795918,-0.004862236628849271,-0.006094527860782607,0.9848790322580645,0.25,0.012026039634187857,0.011950442247658686,-0.006325907021891286,,,,,False
arima,post_covid,arima,4,pooled,ALL,flu_season,,bands,,494,,,,,,,,,,,,,,,,,,,,,0.7753036437246964,0.9493927125506073,0.5107296137339055,-0.1214574898785425,False
arima,post_covid,arima,4,pooled,ALL,flu_season,0.5,IT50,,494,130.0,0.2631578947368421,70.0,24.0,60.0,340.0,0.5384615384615384,0.2553191489361702,0.7446808510638298,0.06593406593406594,0.45454545454545453,0.625,0.4725274725274725,0.5186972255729795,0.5300971981756533,0.8299595141700404,0.7230769230769231,0.1369770523984466,0.19390581717451527,0.2935897726308684,,,,,False
arima,post_covid,arima,4,pooled,ALL,flu_season,0.9,IT90,,494,35.0,0.0708502024291498,9.0,11.0,26.0,448.0,0.2571428571428571,0.55,0.45,0.023965141612200435,0.1956521739130435,0.32727272727272727,0.2331777155306567,0.2907256499805976,0.30354510894135556,0.9251012145748988,0.5714285714285714,0.05611601276523548,0.06583045124489831,0.1475675511249921,,,,,False
arima,post_covid,arima,4,pooled,ALL,flu_season,0.98,IT98,,494,12.0,0.024291497975708502,0.0,3.0,12.0,479.0,0.0,1.0,0.0,0.006224066390041493,0.0,0.0,-0.006224066390041493,-0.009811937857726901,-0.012333518375563493,0.9696356275303644,0.25,0.024126088571455772,0.02370142110180466,-0.017917384271054493,,,,,False
arima,post_covid,arima,4,neighborhood,ALMIRANTE BROWN,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.0,False
arima,post_covid,arima,4,neighborhood,ALMIRANTE BROWN,overall,0.5,IT50,45.51198712694632,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,0.009522053868998848,0.0,,,,,,True
arima,post_covid,arima,4,neighborhood,ALMIRANTE BROWN,overall,0.9,IT90,59.3327355509796,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,0.0004885621337574177,0.0,,,,,,True
arima,post_covid,arima,4,neighborhood,ALMIRANTE BROWN,overall,0.98,IT98,70.30154029606965,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,2.597823952699005e-05,0.0,,,,,,True
arima,post_covid,arima,4,neighborhood,ALMIRANTE BROWN,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.0,False
arima,post_covid,arima,4,neighborhood,ALMIRANTE BROWN,flu_season,0.5,IT50,45.51198712694632,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.01491217807353071,0.0,,,,,,True
arima,post_covid,arima,4,neighborhood,ALMIRANTE BROWN,flu_season,0.9,IT90,59.3327355509796,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.0007839294058519438,0.0,,,,,,True
arima,post_covid,arima,4,neighborhood,ALMIRANTE BROWN,flu_season,0.98,IT98,70.30154029606965,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,4.179166682581361e-05,0.0,,,,,,True
arima,post_covid,arima,4,neighborhood,AVELLANEDA,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.9433962264150944,1.0,0.0,-0.05660377358490566,False
arima,post_covid,arima,4,neighborhood,AVELLANEDA,overall,0.5,IT50,245.84106655843968,53,3.0,0.05660377358490566,0.0,0.0,3.0,50.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9433962264150944,0.0,0.06081622180520322,0.05339978640085441,-0.13888511367210543,,,,,True
arima,post_covid,arima,4,neighborhood,AVELLANEDA,overall,0.9,IT90,374.7741671132419,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,7.511068157841447e-08,0.0,,,,,,True
arima,post_covid,arima,4,neighborhood,AVELLANEDA,overall,0.98,IT98,490.7992503428019,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,2.813320676292171e-17,0.0,,,,,,True
arima,post_covid,arima,4,neighborhood,AVELLANEDA,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.8846153846153846,1.0,0.0,-0.11538461538461539,False
arima,post_covid,arima,4,neighborhood,AVELLANEDA,flu_season,0.5,IT50,245.84106655843968,26,3.0,0.11538461538461539,0.0,0.0,3.0,23.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.8846153846153846,0.0,0.12387931300048,0.10207100591715977,-0.21365819693223864,,,,,True
arima,post_covid,arima,4,neighborhood,AVELLANEDA,flu_season,0.9,IT90,374.7741671132419,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,1.5311023408454088e-07,0.0,,,,,,True
