model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
arima,post_covid,flu_season,pooled,ALL,4,494,49.26754859746094,102.81494285392516,24.826738879070376,0.847684858224501,486.0,86.23481781376519,level,none,,,,,,1.0,2.0,3.0,2.0
persistence,post_covid,flu_season,pooled,ALL,4,494,50.073533477342394,99.87969974458096,24.59088826549254,0.8459582217317391,486.0,87.85425101214574,level,none,0,,,,,2.0,1.0,2.0,3.0
gnn_st,post_covid,flu_season,pooled,ALL,4,494,50.5940757321951,141.43047676622743,22.792548135707253,0.8516707242684716,486.0,92.71255060728744,blend,train,15726,,0.6868317805231375,0.8765519326689778,0.7876815115897077,3.0,4.0,1.0,1.0
gat,post_covid,flu_season,pooled,ALL,4,494,51.85052808591202,287.9894280413013,28.696463328141434,0.8200766692657657,486.0,90.68825910931174,level,,8129,,0.6710842237467902,0.7795015708969123,0.7994190348558448,4.0,9.0,4.0,4.0
xgboost,post_covid,flu_season,pooled,ALL,4,494,67.4296683078849,167.85714178331747,30.887827725795425,0.6842797774191299,486.0,91.29554655870446,climatology,,,,0.4437367141638836,0.8179116256364415,0.5978349596997419,5.0,6.0,5.0,5.0
xgboost_nodemo,post_covid,flu_season,pooled,ALL,4,494,67.80946624070928,153.7913915531056,31.049796658304825,0.6786847058673132,486.0,92.10526315789474,climatology,,,,0.4374527553545848,0.8198930323102778,0.590602329401988,6.0,5.0,6.0,6.0
seasonal_naive,post_covid,flu_season,pooled,ALL,4,494,73.42066266775345,119.4146504208274,33.90016265618543,0.6153873277170464,486.0,92.10526315789474,level,none,0,,,,,7.0,3.0,7.0,7.0
dualtopo,post_covid,flu_season,pooled,ALL,4,494,83.77347462910203,210.58333580611452,35.99762605317691,0.4651272536763737,486.0,89.87854251012146,level,train,479905,,0.1413989911562551,0.6797271766305503,0.3348807792845414,8.0,8.0,8.0,8.0
lstm,post_covid,flu_season,pooled,ALL,4,494,84.31961124662759,209.88039270009384,38.15083352387343,0.4388763114680652,486.0,89.47368421052632,level,train,22995,,,,,9.0,7.0,9.0,9.0
persistence,post_covid,off_season,pooled,ALL,4,498,22.619066584893385,73.18107206218308,12.655820073625096,0.8753527434683023,494.0,94.37751004016064,level,none,0,,,,,1.0,1.0,2.0,1.0
gnn_st,post_covid,off_season,pooled,ALL,4,498,24.034505328323952,84.36268452404622,11.263698863097463,0.8448793141363418,494.0,96.98795180722892,blend,train,15726,,0.679243246893391,0.8868857168625125,0.7821093410969715,2.0,2.0,1.0,3.0
arima,post_covid,off_season,pooled,ALL,4,498,24.480342607574045,103.24728467123693,15.7742568223841,0.8750251810187807,494.0,94.97991967871486,level,none,,,,,,3.0,3.0,5.0,2.0
seasonal_naive,post_covid,off_season,pooled,ALL,4,498,34.943313108179055,117.73169504614864,17.13269813870297,0.6146392555089172,494.0,96.78714859437753,level,none,0,,,,,4.0,5.0,6.0,4.0
xgboost,post_covid,off_season,pooled,ALL,4,498,35.31849941891418,125.83596293886616,15.47698986646938,0.5771353201716085,494.0,94.97991967871486,climatology,,,,0.3073562506701847,0.7680242924390253,0.4750518765687591,5.0,6.0,3.0,5.0
lstm,post_covid,off_season,pooled,ALL,4,498,36.21938863639437,132.7226655870234,18.028176054228815,0.5470736563215111,494.0,94.77911646586344,level,train,22995,,,,,6.0,7.0,8.0,6.0
xgboost_nodemo,post_covid,off_season,pooled,ALL,4,498,36.801636467677014,111.4377757754295,15.763829745543442,0.5228095627247562,494.0,94.77911646586344,climatology,,,,0.247962157947303,0.7460821195097408,0.4314203087540256,7.0,4.0,4.0,7.0
gat,post_covid,off_season,pooled,ALL,4,498,38.19384050111427,872833.7573220594,17.66369299361684,0.4796610212667959,495.0,91.76706827309236,level,,8129,,0.1899867878794121,0.6684874618852621,0.4271013339220459,8.0,9.0,7.0,8.0
dualtopo,post_covid,off_season,pooled,ALL,4,498,41.79666635366644,857477.7947816092,18.6500492368836,0.3497402005500237,495.0,90.36144578313254,level,train,479905,,0.0299620363503898,0.5396085000755573,0.3049117663052354,9.0,8.0,9.0,9.0
