city,model,variant,horizon,group,mean_abs_shap_rate_per_100k,mean_signed_shap_rate_per_100k,n_node_weeks,n_weeks
boston,gat,post_covid,4,Neighbours' flu history,8.811127112701136,-0.656085489747656,154,11
boston,gat,post_covid,4,Own flu history,2.22875591187638,-0.21156383634227685,154,11
