model,variant,scope,name,group,segment,horizon,permutation_axis,n_columns,baseline_RMSE,permuted_RMSE_mean,permuted_RMSE_std,delta_RMSE,delta_RMSE_pct,n_repeats,rank
gnn_multiedge,post_covid,feature,flu_lag2,flu_lags,flu_season,24,origins,1,33.98388860438351,35.41804835565271,0.6708238046118378,1.434159751269199,4.220116679302585,20,1
gnn_multiedge,post_covid,feature,relative_humidity_mean,weather,flu_season,24,origins,1,33.98388860438351,35.31259040987372,1.595644464926549,1.328701805490212,3.909799202080793,20,2
gnn_multiedge,post_covid,feature,flu_lag7,flu_lags,flu_season,24,origins,1,33.98388860438351,34.93941502034086,4.090867274720905,0.9555264159573511,2.8117041786504084,20,3
gnn_multiedge,post_covid,feature,flu_lag3,flu_lags,flu_season,24,origins,1,33.98388860438351,34.90579990494936,0.8061583869520141,0.9219113005658528,2.712789319957156,20,4
gnn_multiedge,post_covid,feature,precipitation_sum_mm,weather,flu_season,24,origins,1,33.98388860438351,34.419199415320065,0.8359603224401359,0.43531081093655644,1.2809329032475896,20,5
gnn_multiedge,post_covid,feature,temp_min_c,weather,flu_season,24,origins,1,33.98388860438351,34.382544372430985,3.19369060191135,0.39865576804747604,1.1730728425117727,20,6
gnn_multiedge,post_covid,feature,pct_children,demographics,flu_season,24,nodes,1,33.98388860438351,34.22538945604698,0.09338997002627843,0.24150085166347424,0.7106333665192263,20,7
gnn_multiedge,post_covid,feature,nonwhite_share,demographics,flu_season,24,nodes,1,33.98388860438351,34.079260956174295,0.0840042803168591,0.09537235179078607,0.2806399023403231,20,8
gnn_multiedge,post_covid,feature,pct_elderly,demographics,flu_season,24,nodes,1,33.98388860438351,34.04373972537822,0.11377494322437169,0.059851120994707685,0.17611616401952193,20,9
gnn_multiedge,post_covid,feature,owner_rate,demographics,flu_season,24,nodes,1,33.98388860438351,34.01503861144839,0.10619058106323999,0.03115000706488047,0.09166110278757945,20,10
gnn_multiedge,post_covid,feature,no_vehicle_rate,demographics,flu_season,24,nodes,1,33.98388860438351,33.89206058484284,0.03821333510201341,-0.09182801954067088,-0.2702104535760107,20,11
gnn_multiedge,post_covid,feature,poverty_rate,demographics,flu_season,24,nodes,1,33.98388860438351,33.87147769186456,0.04640001176926642,-0.1124109125189463,-0.3307770744765408,20,12
gnn_multiedge,post_covid,feature,transit_share,demographics,flu_season,24,nodes,1,33.98388860438351,33.82802970953579,0.07439120382048962,-0.15585889484771798,-0.4586258407980247,20,13
gnn_multiedge,post_covid,feature,pop_density,demographics,flu_season,24,nodes,1,33.98388860438351,33.51838111648852,0.06992170809823402,-0.46550748789498897,-1.36978876465286,20,14
gnn_multiedge,post_covid,feature,flu_lag0,flu_lags,flu_season,24,origins,1,33.98388860438351,33.19818998393411,3.974305509595453,-0.7856986204494021,-2.3119738579535496,20,15
gnn_multiedge,post_covid,feature,flu_lag4,flu_lags,flu_season,24,origins,1,33.98388860438351,32.79355850971519,0.9401135456506388,-1.1903300946683188,-3.50263063925763,20,16
gnn_multiedge,post_covid,feature,flu_lag1,flu_lags,flu_season,24,origins,1,33.98388860438351,32.00691415594548,1.3349204135430863,-1.9769744484380283,-5.817387384512032,20,17
gnn_multiedge,post_covid,feature,flu_lag5,flu_lags,flu_season,24,origins,1,33.98388860438351,31.893890780914717,3.219727092265654,-2.089997823468792,-6.149966673322981,20,18
gnn_multiedge,post_covid,feature,temp_mean_c,weather,flu_season,24,origins,1,33.98388860438351,31.383882700474892,1.852388420022334,-2.6000059039086167,-7.650701584436242,20,19
gnn_multiedge,post_covid,feature,temp_max_c,weather,flu_season,24,origins,1,33.98388860438351,31.098050346840488,1.0875244841142453,-2.8858382575430213,-8.49178353642197,20,20
gnn_multiedge,post_covid,feature,flu_lag6,flu_lags,flu_season,24,origins,1,33.98388860438351,30.68346573818451,2.651271791638667,-3.300422866199,-9.711728120993444,20,21
gnn_multiedge,post_covid,feature,wind_speed_max_kmh,weather,flu_season,24,origins,1,33.98388860438351,29.87939129647201,2.535930922473754,-4.1044973079114975,-12.077774134953076,20,22
gnn_multiedge,post_covid,feature,flu_lag0,flu_lags,off_season,24,origins,1,13.236001799975018,24.14673366329438,1.426538395725047,10.910731863319363,82.4322331486836,20,1
gnn_multiedge,post_covid,feature,temp_mean_c,weather,off_season,24,origins,1,13.236001799975018,14.265533306675575,0.40823598742819456,1.0295315067005575,7.778266596356165,20,2
gnn_multiedge,post_covid,feature,temp_min_c,weather,off_season,24,origins,1,13.236001799975018,13.991351089360734,0.8797397382781699,0.7553492893857161,5.706778382178384,20,3
gnn_multiedge,post_covid,feature,flu_lag7,flu_lags,off_season,24,origins,1,13.236001799975018,13.951118302046282,0.7513074264711359,0.7151165020712646,5.4028135752642035,20,4
gnn_multiedge,post_covid,feature,flu_lag6,flu_lags,off_season,24,origins,1,13.236001799975018,13.730358264612502,0.5590686336118169,0.49435646463748384,3.7349380281771865,20,5
gnn_multiedge,post_covid,feature,nonwhite_share,demographics,off_season,24,nodes,1,13.236001799975018,13.255940815887158,0.02047029456196827,0.01993901591213998,0.1506422877048688,20,6
gnn_multiedge,post_covid,feature,owner_rate,demographics,off_season,24,nodes,1,13.236001799975018,13.231997412749758,0.028051731195675573,-0.0040043872252599755,-0.03025375249848888,20,7
gnn_multiedge,post_covid,feature,pct_children,demographics,off_season,24,nodes,1,13.236001799975018,13.229922247280825,0.05869523006330065,-0.006079552694192358,-0.04593194218365725,20,8
gnn_multiedge,post_covid,feature,flu_lag2,flu_lags,off_season,24,origins,1,13.236001799975018,13.229138087964566,0.4765069844870137,-0.00686371201045155,-0.05185638468608024,20,9
