neighborhood,order
Agler/Cassidy,"(0, 0, 3)"
Bexley,"(0, 0, 3)"
Clintonville/Near North,"(2, 0, 0)"
Dublin,"(1, 0, 0)"
Eastside,"(0, 0, 3)"
Far East,"(0, 0, 3)"
Far South,"(0, 0, 3)"
Far Southeast,"(2, 0, 0)"
Far Southwest,"(1, 0, 0)"
Hilliard,"(0, 0, 2)"
Linden,"(1, 0, 0)"
NE Suburban,"(0, 0, 3)"
Northland,"(0, 0, 2)"
UA/Grandview,"(0, 0, 2)"
West,"(0, 0, 2)"
Westerville,"(3, 0, 0)"
Worthington,"(1, 0, 0)"
