neighborhood,order
Allston/Brighton,"(2, 1, 1)"
Back Bay/Beacon Hill/Downtown/North End/West End,"(0, 1, 2)"
Charlestown,"(0, 1, 1)"
Dorchester,"(0, 1, 0)"
East Boston,"(0, 1, 0)"
Fenway,"(0, 1, 1)"
Hyde Park,"(3, 0, 2)"
Jamaica Plain,"(1, 1, 2)"
Mattapan,"(0, 1, 2)"
Roslindale,"(0, 1, 1)"
Roxbury,"(0, 1, 2)"
South Boston,"(1, 1, 1)"
South End,"(3, 1, 1)"
West Roxbury,"(3, 0, 3)"
