model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_nograph,post_covid,overall,neighborhood,Allston/Brighton,2,49,11.935243743144644,61.463895240848,6.87050521617033,0.7536371034701974,49.0,0.567645704406802,0.8075547497133253,0.7274923513472555,97.95918367346938
gnn_st_nograph,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,46,7.6754937214155134,55.204017576706185,4.590070050695668,0.7893385122769117,46.0,0.6196282243087998,0.8425312371253579,0.7769425274153766,97.82608695652173
gnn_st_nograph,post_covid,overall,neighborhood,Charlestown,2,35,17.976193251625126,70.57820784618387,9.768354647500175,0.5920196957834384,35.0,0.32847068539384194,0.5434358822149848,0.5644961887490321,94.28571428571428
gnn_st_nograph,post_covid,overall,neighborhood,Dorchester,2,49,37.050937579781404,61.98269762084948,22.752219492075394,0.7567099588726621,49.0,0.5399547674007179,0.8834409043921697,0.7497137933388596,95.91836734693877
gnn_st_nograph,post_covid,overall,neighborhood,East Boston,2,44,9.27952243475797,96.97418847711887,6.3526390357451,0.7001457965313811,44.0,0.484846254723435,0.6367932787926421,0.677597672135311,95.45454545454545
gnn_st_nograph,post_covid,overall,neighborhood,Fenway,2,43,4.52467885228061,71.50531341526882,3.067468576653059,0.7100230017790902,43.0,0.30810758666886295,0.7806530482395415,0.6862131163564561,100.0
gnn_st_nograph,post_covid,overall,neighborhood,Hyde Park,2,46,16.356038972025086,87.54761363093138,9.972879508267278,0.6411942407036074,46.0,0.34727849470850247,0.6886643266335282,0.632030818290227,97.82608695652173
gnn_st_nograph,post_covid,overall,neighborhood,Jamaica Plain,2,46,8.839340171276655,84.68029665124459,5.5235065118126245,0.7669715856541643,46.0,0.5876712750060019,0.6857441782431853,0.7391768277734408,97.82608695652173
gnn_st_nograph,post_covid,overall,neighborhood,Mattapan,2,47,18.040098126433755,87.99567268011941,11.138619321457883,0.6905933801581241,47.0,0.3651261646106472,0.8037925129608199,0.6766341234969336,97.87234042553192
gnn_st_nograph,post_covid,overall,neighborhood,Roslindale,2,42,27.823910359816278,77.19380962194238,17.225165230887278,0.7018582487750614,42.0,0.4857221212925992,0.5394505609813434,0.6582659904493952,92.85714285714286
gnn_st_nograph,post_covid,overall,neighborhood,Roxbury,2,49,35.931658355619426,66.4869160667306,21.610225716415716,0.7130670847779751,49.0,0.48614475798413315,0.8303307903702565,0.70468646393736,93.87755102040816
gnn_st_nograph,post_covid,overall,neighborhood,South Boston,2,42,8.363345022740106,64.11590949594812,5.405792259034657,0.7743620907619836,42.0,0.5976190287311303,0.7476839232507263,0.7546923004007777,97.61904761904762
gnn_st_nograph,post_covid,overall,neighborhood,South End,2,49,19.36329287526557,74.72676131593947,11.79732525105379,0.7961014358846072,49.0,0.6334140154537107,0.7435031628292398,0.7785745046180709,95.91836734693877
gnn_st_nograph,post_covid,overall,neighborhood,West Roxbury,2,40,16.88450667146658,74.81678707483354,8.876113033294677,0.5212337051922503,40.0,0.2332165875960317,0.4948901094098652,0.4882989252379237,95.0
gnn_st_nograph,post_covid,overall,macro,AVERAGE,2,627,17.14601858126062,73.94800619390462,10.353634560790258,0.7076611314729611,627.0,0.4703461191632297,0.7163191903683562,0.6867725431104587,96.44575149280732
gnn_st_nograph,post_covid,overall,pooled,ALL,2,627,20.07253243143513,73.85251717680889,10.518070192048043,0.7724155039715169,627.0,0.5831828559718804,0.7957680285187749,0.7666405961387738,96.49122807017544
gnn_st_nograph,post_covid,overall,cross_week,ALL,2,49,,,,,,,0.6829559132475945,0.6326940839539364,
gnn_st_nograph,post_covid,flu_season,neighborhood,Allston/Brighton,2,26,16.022423760943155,56.10937653702247,10.51606167279757,0.6704025419060444,26.0,0.43870062340150107,0.6214021366960856,0.6361537173708088,96.15384615384616
gnn_st_nograph,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,26,9.924488721009965,55.276309676065225,6.556882784916804,0.7075462966311328,26.0,0.48867013743680987,0.6915375672200255,0.6887428439840165,96.15384615384616
