model,variant,series,horizon,scope,indicator,segment,level,label,threshold,n_obs,n_events,base_rate,hits,false_alarms,misses,correct_neg,POD,FAR,precision,FPR,CSI,F1,PSS,HSS,MCC,accuracy,frequency_bias,brier,brier_ref,BSS,exact_band,within_one_band,kappa_quadratic,mean_band_error,underpowered
arima,post_covid,arima,2,neighborhood,Agler/Cassidy,overall,0.98,IT98,124.72586226376617,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,5.338296252632329e-11,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Agler/Cassidy,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.8076923076923077,1.0,0.3434343434343434,-0.11538461538461539,False
arima,post_covid,arima,2,neighborhood,Agler/Cassidy,flu_season,0.5,IT50,51.74083078339265,26,6.0,0.23076923076923078,2.0,1.0,4.0,19.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.05,0.2857142857142857,0.4444444444444444,0.2833333333333333,0.3434343434343434,0.3736489349242793,0.8076923076923077,0.5,0.1776386563065525,0.17751479289940827,-0.0006977638602458924,,,,,False
arima,post_covid,arima,2,neighborhood,Agler/Cassidy,flu_season,0.9,IT90,88.48740693700204,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.0002770836924420412,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Agler/Cassidy,flu_season,0.98,IT98,124.72586226376617,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,1.0881911591904364e-10,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Bexley,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.8490566037735849,0.9622641509433962,0.05799812909260982,-0.16981132075471697,False
arima,post_covid,arima,2,neighborhood,Bexley,overall,0.5,IT50,24.605454693531783,53,8.0,0.1509433962264151,1.0,1.0,7.0,44.0,0.125,0.5,0.5,0.022222222222222223,0.1111111111111111,0.2,0.10277777777777777,0.14859437751004015,0.19308582308458774,0.8490566037735849,0.25,0.10840838802769087,0.12815948736205057,0.15411343897282326,,,,,False
arima,post_covid,arima,2,neighborhood,Bexley,overall,0.9,IT90,37.5430295506582,53,2.0,0.03773584905660377,0.0,0.0,2.0,51.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9622641509433962,0.0,0.038636213532357765,0.03631185475258099,-0.06401101776855844,,,,,True
arima,post_covid,arima,2,neighborhood,Bexley,overall,0.98,IT98,49.19357270883574,53,1.0,0.018867924528301886,0.0,0.0,1.0,52.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9811320754716981,0.0,0.018886196593577795,0.018511925952296185,-0.020217812141539282,,,,,True
arima,post_covid,arima,2,neighborhood,Bexley,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.7307692307692307,0.9230769230769231,0.02499999999999991,-0.3076923076923077,False
arima,post_covid,arima,2,neighborhood,Bexley,flu_season,0.5,IT50,24.605454693531783,26,7.0,0.2692307692307692,1.0,1.0,6.0,18.0,0.14285714285714285,0.5,0.5,0.05263157894736842,0.125,0.2222222222222222,0.09022556390977443,0.11650485436893204,0.15018785229652767,0.7307692307692307,0.2857142857142857,0.181722366939067,0.19674556213017758,0.07635849585857712,,,,,False
arima,post_covid,arima,2,neighborhood,Bexley,flu_season,0.9,IT90,37.5430295506582,26,2.0,0.07692307692307693,0.0,0.0,2.0,24.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9230769230769231,0.0,0.07875840622858163,0.07100591715976333,-0.1091808877191911,,,,,True
arima,post_covid,arima,2,neighborhood,Bexley,flu_season,0.98,IT98,49.19357270883574,26,1.0,0.038461538461538464,0.0,0.0,1.0,25.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9615384615384616,0.0,0.03849878536380881,0.036982248520710054,-0.041007156237390374,,,,,True
arima,post_covid,arima,2,neighborhood,Clintonville/Near North,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.8113207547169812,0.9433962264150944,0.20993788819875803,-0.18867924528301888,False
arima,post_covid,arima,2,neighborhood,Clintonville/Near North,overall,0.5,IT50,15.728895715230147,53,11.0,0.20754716981132076,4.0,2.0,7.0,40.0,0.36363636363636365,0.3333333333333333,0.6666666666666666,0.047619047619047616,0.3076923076923077,0.47058823529411764,0.31601731601731603,0.37971391417425226,0.4044895572319194,0.8301886792452831,0.5454545454545454,0.09468657147921014,0.1644713421146316,0.4242974474348459,,,,,False
arima,post_covid,arima,2,neighborhood,Clintonville/Near North,overall,0.9,IT90,22.099499115677975,53,4.0,0.07547169811320754,0.0,0.0,4.0,49.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9245283018867925,0.0,0.06073708073968657,0.06977572089711641,0.12953847041949196,,,,,True
arima,post_covid,arima,2,neighborhood,Clintonville/Near North,overall,0.98,IT98,27.469599865392972,53,1.0,0.018867924528301886,0.0,0.0,1.0,52.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9811320754716981,0.0,0.020071388154776226,0.018511925952296185,-0.0842409485916622,,,,,True
arima,post_covid,arima,2,neighborhood,Clintonville/Near North,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.6153846153846154,0.8846153846153846,0.09826589595375712,-0.38461538461538464,False
arima,post_covid,arima,2,neighborhood,Clintonville/Near North,flu_season,0.5,IT50,15.728895715230147,26,11.0,0.4230769230769231,4.0,2.0,7.0,13.0,0.36363636363636365,0.3333333333333333,0.6666666666666666,0.13333333333333333,0.3076923076923077,0.47058823529411764,0.23030303030303031,0.24516129032258063,0.2700542407171066,0.6538461538461539,0.5454545454545454,0.18287178973635704,0.24408284023668633,0.25077981901953095,,,,,False
arima,post_covid,arima,2,neighborhood,Clintonville/Near North,flu_season,0.9,IT90,22.099499115677975,26,4.0,0.15384615384615385,0.0,0.0,4.0,22.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.8461538461538461,0.0,0.1235277728154312,0.13017751479289943,0.051082108826914996,,,,,True
arima,post_covid,arima,2,neighborhood,Clintonville/Near North,flu_season,0.98,IT98,27.469599865392972,26,1.0,0.038461538461538464,0.0,0.0,1.0,25.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9615384615384616,0.0,0.04091045766526092,0.036982248520710054,-0.10621877526865542,,,,,True
arima,post_covid,arima,2,neighborhood,Dublin,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.8490566037735849,0.9811320754716981,0.3275663206459054,-0.05660377358490566,False
arima,post_covid,arima,2,neighborhood,Dublin,overall,0.5,IT50,8.038849454818003,53,9.0,0.16981132075471697,4.0,3.0,5.0,41.0,0.4444444444444444,0.42857142857142855,0.5714285714285714,0.06818181818181818,0.3333333333333333,0.5,0.37626262626262624,0.41274238227146814,0.4172638295574271,0.8490566037735849,0.7777777777777778,0.1158244689900256,0.14097543609825564,0.1784067338561064,,,,,False
arima,post_covid,arima,2,neighborhood,Dublin,overall,0.9,IT90,14.1626396504559,53,1.0,0.018867924528301886,0.0,0.0,1.0,52.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9811320754716981,0.0,0.023957610570495426,0.018511925952296185,-0.2941716940869552,,,,,True
arima,post_covid,arima,2,neighborhood,Dublin,overall,0.98,IT98,20.345693253667104,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,0.000183402465617271,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Dublin,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.7307692307692307,0.9615384615384616,0.23976608187134507,-0.07692307692307693,False
arima,post_covid,arima,2,neighborhood,Dublin,flu_season,0.5,IT50,8.038849454818003,26,8.0,0.3076923076923077,4.0,3.0,4.0,15.0,0.5,0.42857142857142855,0.5714285714285714,0.16666666666666666,0.36363636363636365,0.5333333333333333,0.33333333333333337,0.34532374100719426,0.34684398780964804,0.7307692307692307,0.875,0.19775400699113263,0.21301775147928986,0.0716548005138492,,,,,False
arima,post_covid,arima,2,neighborhood,Dublin,flu_season,0.9,IT90,14.1626396504559,26,1.0,0.038461538461538464,0.0,0.0,1.0,25.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9615384615384616,0.0,0.048802694390037045,0.036982248520710054,-0.319624856306602,,,,,True
arima,post_covid,arima,2,neighborhood,Dublin,flu_season,0.98,IT98,20.345693253667104,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.00037385476902562217,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Eastside,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.8867924528301887,0.9811320754716981,0.14054054054054066,-0.09433962264150944,False
arima,post_covid,arima,2,neighborhood,Eastside,overall,0.5,IT50,53.89825474693718,53,6.0,0.11320754716981132,1.0,1.0,5.0,46.0,0.16666666666666666,0.5,0.5,0.02127659574468085,0.14285714285714285,0.25,0.1453900709219858,0.205,0.24174595537305188,0.8867924528301887,0.3333333333333333,0.0877730685324824,0.10039159843360627,0.125693086851975,,,,,False
arima,post_covid,arima,2,neighborhood,Eastside,overall,0.9,IT90,89.53274062296502,53,1.0,0.018867924528301886,0.0,0.0,1.0,52.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9811320754716981,0.0,0.01890353555241521,0.018511925952296185,-0.021154449360275773,,,,,True
arima,post_covid,arima,2,neighborhood,Eastside,overall,0.98,IT98,123.87134674281285,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,6.48711717848119e-12,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Eastside,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.7692307692307693,0.9615384615384616,0.09302325581395332,-0.19230769230769232,False
arima,post_covid,arima,2,neighborhood,Eastside,flu_season,0.5,IT50,53.89825474693718,26,6.0,0.23076923076923078,1.0,1.0,5.0,19.0,0.16666666666666666,0.5,0.5,0.05,0.14285714285714285,0.25,0.11666666666666665,0.15217391304347827,0.18446619684315546,0.7692307692307693,0.3333333333333333,0.17852341383637815,0.17751479289940827,-0.0056818979449302365,,,,,False
arima,post_covid,arima,2,neighborhood,Eastside,flu_season,0.9,IT90,89.53274062296502,26,1.0,0.038461538461538464,0.0,0.0,1.0,25.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9615384615384616,0.0,0.03853413016433633,0.036982248520710054,-0.041962879643654416,,,,,True
arima,post_covid,arima,2,neighborhood,Eastside,flu_season,0.98,IT98,123.87134674281285,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,1.3223738863827045e-11,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Far East,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.9245283018867925,0.9811320754716981,0.20215053763440882,-0.09433962264150944,False
arima,post_covid,arima,2,neighborhood,Far East,overall,0.5,IT50,76.01095931639992,53,5.0,0.09433962264150944,1.0,0.0,4.0,48.0,0.2,0.0,1.0,0.0,0.2,0.3333333333333333,0.2,0.3116883116883117,0.4296689244236597,0.9245283018867925,0.2,0.06492871662894019,0.08543965824136704,0.24006347912211257,,,,,False
arima,post_covid,arima,2,neighborhood,Far East,overall,0.9,IT90,119.58175049878095,53,1.0,0.018867924528301886,0.0,0.0,1.0,52.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9811320754716981,0.0,0.01891142289641419,0.018511925952296185,-0.021580517615912953,,,,,True
arima,post_covid,arima,2,neighborhood,Far East,overall,0.98,IT98,159.7885780471188,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,2.24853002692637e-11,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Far East,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.8461538461538461,0.9615384615384616,0.18018018018018012,-0.19230769230769232,False
arima,post_covid,arima,2,neighborhood,Far East,flu_season,0.5,IT50,76.01095931639992,26,5.0,0.19230769230769232,1.0,0.0,4.0,21.0,0.2,0.0,1.0,0.0,0.2,0.3333333333333333,0.2,0.2876712328767123,0.4098780306383839,0.8461538461538461,0.2,0.13212863020999147,0.15532544378698226,0.14934329502900745,,,,,False
arima,post_covid,arima,2,neighborhood,Far East,flu_season,0.9,IT90,119.58175049878095,26,1.0,0.038461538461538464,0.0,0.0,1.0,25.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9615384615384616,0.0,0.0385502082118567,0.036982248520710054,-0.042397630048605306,,,,,True
arima,post_covid,arima,2,neighborhood,Far East,flu_season,0.98,IT98,159.7885780471188,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,4.5835419779652927e-11,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Far South,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.8867924528301887,1.0,0.3483606557377049,-0.07547169811320754,False
arima,post_covid,arima,2,neighborhood,Far South,overall,0.5,IT50,69.7066330370401,53,7.0,0.1320754716981132,2.0,1.0,5.0,45.0,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.021739130434782608,0.25,0.4,0.2639751552795031,0.3483606557377049,0.3867633919142966,0.8867924528301887,0.42857142857142855,0.09758914358617762,0.11463154147383411,0.14867110455412136,,,,,False
arima,post_covid,arima,2,neighborhood,Far South,overall,0.9,IT90,121.95949130896,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,2.346073738095628e-06,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Far South,overall,0.98,IT98,174.42921640712913,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,1.4457289631897496e-17,0.0,,,,,,True
