model,variant,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
gnn_st,post_covid,94.79638009049772,94.77124183006536,94.78357380688124,0.8933969910863739,0.8467911731561955,0.9019679165809156,7.158014915917255,4.513933277078184,5.811029930093577,2714980.4029676733,2965335.1748162066,2841561.122814858,10.320475430642784,6.30845275173469,8.51616121359022,blend,train,15734,,,,,1.6666666666666667
gnn_st_v2,post_covid,94.57013574660633,94.98910675381264,94.78357380688124,0.8922331754815719,0.8468146051814528,0.901181811855372,7.2248432763022,4.509913516590019,5.841765851543164,2659188.276784236,2969803.87882541,2816237.196650346,10.428047840992242,6.305509691935715,8.57910355407547,blend,train,15734,69b537f,,,,2.0
gat,post_covid,85.29411764705883,94.77124183006536,90.12208657047724,0.8531360312570542,0.8523520070210272,0.8738178586996733,9.139098917197318,4.305074278565534,6.6764825918565975,48.03517395529248,50.09683695865043,49.07644132144288,12.874806692470417,6.050119577837223,9.998191721455488,level,,8129,,,,,2.6666666666666665
xgboost,post_covid,93.66515837104072,95.64270152505446,94.6725860155383,0.8275568076536169,0.8585767300228159,0.8553536517888869,8.859130485871532,4.967480987341546,6.876592062092106,2989536.401724065,3607732.954868467,3302099.9056120976,12.8955128153541,7.206025719675384,10.393824636288674,climatology,,,,,,,4.666666666666667
lstm,post_covid,93.21266968325791,95.4248366013072,94.33962264150944,0.8408110308283886,0.7796338022064667,0.8466312087951379,8.538235528539895,5.99226330702362,7.241230811918396,40.657213984755614,68.85329598064982,54.89797980720387,12.372686407489896,8.219893576154673,10.465096663437272,level,train,22353,,,,,5.333333333333333
arima,post_covid,85.97285067873304,95.86056644880176,91.00998890122086,0.8077951051032694,0.7983392286974915,0.8087753396967435,9.2143169534618,5.828278200887159,7.489353815357737,38.17114107502069,72.23952879625816,55.377784592271105,14.167717831596152,7.953547731625743,11.432179692354222,level,none,,,0.00014088415528574583,0.00038131109793069,28.303558083018288,6.333333333333333
persistence,post_covid,93.43891402714932,93.24618736383442,93.34073251942286,0.8009970144204301,0.7744464129328321,0.823907811226416,9.821164417645493,5.600596736677197,7.671063900925795,45.99657945968813,64.8777871201536,55.532757456931094,14.305668556343466,7.903583938289198,11.498609619658902,level,none,0,,7.84148068840472e-08,2.122342008321236e-07,0.01578966691158712,6.666666666666667
dualtopo,post_covid,63.57466063348416,81.91721132897604,72.91897891231964,0.7856045516489616,0.776280103587123,0.6869073961632401,11.515629391325003,7.512405111898784,9.476250984824857,41.65306442976397,100.85227049053168,71.55232598351503,17.436878325870378,10.066128889255328,14.169453286705684,level,train,479905,,,,,8.333333333333334
seasonal_naive,post_covid,98.19004524886876,97.60348583877996,97.89123196448392,0.7116874707576226,0.817746280809188,0.7653424034062706,13.38437062499566,4.961137992829593,9.093289850118609,62.61985296594534,59.100175010699985,60.84219784569205,22.31927261219715,6.788880246363578,16.36626670086433,level,none,0,,7.727352984933185e-08,2.0914526866464357e-07,0.015560207888484001,7.333333333333333
