neighborhood,order
Allston/Brighton,"(2, 1, 3)"
Back Bay/Beacon Hill/Downtown/North End/West End,"(0, 0, 0)"
Charlestown,"(1, 0, 0)"
Dorchester,"(2, 1, 0)"
East Boston,"(0, 1, 3)"
Fenway,"(3, 0, 2)"
Hyde Park,"(0, 1, 2)"
Jamaica Plain,"(3, 1, 3)"
Mattapan,"(0, 1, 3)"
Roslindale,"(1, 1, 3)"
Roxbury,"(1, 1, 0)"
South Boston,"(0, 0, 2)"
South End,"(1, 1, 0)"
West Roxbury,"(3, 1, 1)"
