neighborhood,order
Allston/Brighton,"(0, 0, 0)"
Back Bay/Beacon Hill/Downtown/North End/West End,"(3, 0, 3)"
Charlestown,"(0, 0, 0)"
Dorchester,"(0, 0, 0)"
East Boston,"(0, 0, 0)"
Fenway,"(0, 0, 0)"
Hyde Park,"(0, 0, 0)"
Jamaica Plain,"(3, 0, 3)"
Mattapan,"(0, 0, 2)"
Roslindale,"(0, 0, 0)"
Roxbury,"(0, 0, 0)"
South Boston,"(3, 0, 3)"
South End,"(0, 0, 3)"
West Roxbury,"(0, 0, 0)"
