date,site,eff,smooth,site_latest_val,site_latest_lab
2022-10-02,Boston,236.9287398547488,260.58824978761595,NA,NA
2022-10-05,Boston,436.14382671016494,360.29118522648974,NA,NA
2022-10-09,Boston,261.0656585375385,348.39699543598636,NA,NA
2022-10-12,Boston,296.4760946124825,295.8280778813894,NA,NA
2022-10-16,Boston,281.7442471593741,241.23628176371855,NA,NA
2022-10-19,Boston,252.58620270795126,215.13226295638626,NA,NA
2022-10-23,Boston,136.78915357867282,191.46374348464883,NA,NA
2022-10-26,Boston,179.26693299181517,176.1675293776553,NA,NA
2022-10-30,Boston,105.34422901818786,155.51356894070864,NA,NA
2022-11-02,Boston,232.44703814833642,148.56287674504983,NA,NA
2022-11-06,Boston,202.81966862898372,166.65773311618815,NA,NA
2022-11-09,Boston,134.59920506652642,208.4135149955989,NA,NA
2022-11-13,Boston,253.25802807221285,288.4540964915031,NA,NA
2022-11-16,Boston,451.03984056051877,352.5299502824923,NA,NA
2022-11-20,Boston,334.78310431800367,422.4887652548236,NA,NA
2022-11-27,Boston,358.87393902982416,467.0365061370117,NA,NA
2022-11-30,Boston,760.6646691619335,468.717430051067,NA,NA
2022-12-04,Boston,330.23697126488935,471.25722647186615,NA,NA
2022-12-07,Boston,563.5881122127028,481.1414497119331,NA,NA
2022-12-11,Boston,405.71530046424823,507.93132164777523,NA,NA
2022-12-14,Boston,533.8696101826099,538.4641930367441,NA,NA
2022-12-18,Boston,470.5501727903035,593.4359986685512,NA,NA
2022-12-21,Boston,675.990627723145,644.0486316393161,NA,NA
2022-12-28,Boston,1035.4864386501267,747.6012844133904,NA,NA
2023-01-04,Boston,578.7357161790576,737.3350545400085,NA,NA
2023-01-08,Boston,608.0228545460528,646.4266369506212,NA,NA
2023-01-11,Boston,492.7638455183724,554.0182759437118,NA,NA
2023-01-15,Boston,365.60660909314936,431.70652273126467,NA,NA
2023-01-18,Boston,553.4519897091011,363.2850665671777,NA,NA
2023-01-22,Boston,347.7108159483265,324.76852592477763,NA,NA
2023-01-25,Boston,266.3022067440383,324.9608574917126,NA,NA
2023-01-29,Boston,250.04784621290491,341.4963698536881,NA,NA
2023-02-01,Boston,520.6332187481061,350.7705483350001,NA,NA
2023-02-05,Boston,241.67006585547944,343.1112264653279,NA,NA
2023-02-08,Boston,301.49745941339336,325.99458389093445,NA,NA
2023-02-12,Boston,228.73397946914795,297.4656097125533,NA,NA
2023-02-13,Boston,383.58355166927123,290.486522040421,NA,NA
2023-02-15,Boston,344.4340062380368,276.72848381876145,NA,NA
2023-02-19,Boston,208.2554875529273,245.7899656173933,NA,NA
2023-02-22,Boston,166.993089638138,214.84057639854433,NA,NA
2023-02-26,Boston,147.30851858023343,162.21723894715885,NA,NA
2023-03-01,Boston,235.15844067715932,128.14500265812944,NA,NA
2023-03-05,Boston,68.1488434033023,114.46838357599863,NA,NA
2023-03-08,Boston,79.59896312476822,139.22677120863966,NA,NA
2023-03-12,Boston,96.09925541462054,193.38444433889302,NA,NA
2023-03-13,Boston,496.0990673594545,205.6763243506958,NA,NA
2023-03-15,Boston,78.80673077344703,223.4881564613283,NA,NA
2023-03-19,Boston,109.52846022960593,222.88171083884566,NA,NA
2023-03-22,Boston,397.1984662360497,199.68383825099548,NA,NA
2023-03-26,Boston,63.988861895635054,157.29050936530393,NA,NA
2023-03-29,Boston,97.78658011972189,128.09344749889195,NA,NA
2023-04-02,Boston,114.38548086241339,96.44373329453154,NA,NA
2023-04-05,Boston,125.05693376128524,78.07720984939324,NA,NA
2023-04-09,Boston,40.629007235592134,60.618974326035975,NA,NA
2023-04-12,Boston,57.09042448908847,52.540041554605125,NA,NA
2023-04-16,Boston,21.565508737129537,46.795839588585736,NA,NA
2023-04-19,Boston,45.11886446552579,44.85431931079415,NA,NA
2023-04-23,Boston,37.06575519878831,43.36171372241922,NA,NA
2023-04-26,Boston,52.51693498250508,42.05977384906478,NA,NA
2023-04-30,Boston,73.76594901256685,41.632304550905864,NA,NA
2023-05-03,Boston,41.69369068909785,43.99687740045948,NA,NA
2023-05-07,Boston,36.243279540634404,51.975381411796576,NA,NA
2023-05-10,Boston,44.29454315996309,59.69830731016788,NA,NA
2023-05-14,Boston,51.37248712575919,68.78098721883167,NA,NA
2023-05-17,Boston,94.70972571274868,72.27302313187248,NA,NA
2023-05-21,Boston,71.7238646710428,70.6704710843022,NA,NA
2023-05-24,Boston,79.95249561506567,67.23025301802898,NA,NA
2023-05-31,Boston,74.52609880364417,66.5512133529913,NA,NA
2023-06-04,Boston,44.60655859112261,77.65513088924604,NA,NA
2023-06-07,Boston,76.68715986337347,88.28238048188929,NA,NA
2023-06-11,Boston,148.94024507023505,98.45127409677161,NA,NA
2023-06-14,Boston,87.7968487366783,98.25928236105774,NA,NA
2023-06-18,Boston,59.063579907489206,84.29676053929671,NA,NA
2023-06-21,Boston,69.073692299634,69.54925206637202,NA,NA
2023-06-25,Boston,59.48516373514472,55.33325450122108,NA,NA
2023-06-28,Boston,93.61465191344845,54.85625658765367,NA,NA
2023-07-05,Boston,43.47507289162373,77.56253927654583,NA,NA
2023-07-06,Boston,46.751873674286436,81.8197968198222,NA,NA
2023-07-10,Boston,69.22860358395675,96.7224924327223,NA,NA
2023-07-12,Boston,190.6102097368655,101.64388209246677,NA,NA
2023-07-16,Boston,107.71786524545607,110.05789676912897,NA,NA
2023-07-19,Boston,113.00266795914568,120.35208124737673,NA,NA
2023-07-23,Boston,133.1522804827886,144.4278762659535,NA,NA
2023-07-26,Boston,177.83447282758178,166.08190549904972,NA,NA
2023-07-30,Boston,139.52849108692575,191.48102697665001,NA,NA
2023-08-02,Boston,229.2141151296538,202.28761532899105,NA,NA
2023-08-06,Boston,200.86743263223167,201.18445880600916,NA,NA
2023-08-09,Boston,214.5560628220127,193.8007431898454,NA,NA
2023-08-13,Boston,180.23464315557163,184.97995028691693,NA,NA
2023-08-16,Boston,234.55985532117856,185.79108487859247,NA,NA
2023-08-20,Boston,148.58430980779343,202.49156337544372,NA,NA
2023-08-23,Boston,188.41671925659026,221.81129090900953,NA,NA
