model,variant,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,mean_rank
persistence,post_covid,91.49797570850204,94.77911646586344,93.14516129032258,0.9243317844255652,0.9317520654700308,0.930980912093767,17.8127374493761,8.193814355514865,12.983882912336892,48.22170737907385,48.01356820976147,48.11678824678782,35.19713263805375,15.668456767005482,27.206003839388863,level,none,0,,1.3333333333333333
gnn_st,post_covid,91.29554655870446,95.58232931726909,93.44758064516128,0.928721278153382,0.9283816474735872,0.9339287242956424,16.521602381820138,7.855188538211896,12.170922851460356,77.16122330325318,53.375600280284175,65.1713276161647,34.80433755704645,16.561420963002476,27.219883397275225,blend,train,15726,,1.6666666666666667
arima,post_covid,79.35222672064778,91.16465863453816,85.28225806451613,0.9087651015720428,0.8973814257277967,0.9072388725402863,22.017798891857968,12.735023636672445,17.3576959915733,70.47662316148435,87.57449537651054,79.09534650252817,39.15365948618834,20.014407558854995,31.056555675456423,level,none,,,3.0
gat,post_covid,90.2834008097166,92.1686746987952,91.22983870967742,0.7665663923543741,0.734560990575619,0.7806019658358261,28.661578525174484,14.34644198067576,21.47514909053702,151.11133128525364,91.21630451996622,120.9193484056088,61.53000392524214,30.563315410073784,48.52091475333117,level,,8129,,4.0
xgboost,post_covid,91.09311740890688,95.58232931726909,93.34677419354838,0.6905953565477225,0.6121531932579822,0.7053772262162119,29.67559285814255,14.101878175287752,21.85733689840295,106.42656563563776,115.0922788568966,110.79479250431316,66.92433792926545,34.041364103041786,53.02968116370461,climatology,,,,5.0
xgboost_nodemo,post_covid,91.09311740890688,94.97991967871486,93.04435483870968,0.6845969236446293,0.5648754397675956,0.693765324392485,29.922154934814397,15.038168353575516,22.450153606732783,146.47075616041846,125.10501789294588,135.7006799317129,67.2758436158258,35.35960356221652,53.680220188928594,climatology,,,,6.333333333333333
seasonal_naive,post_covid,92.10526315789474,96.78714859437753,94.45564516129032,0.6153873277170464,0.615149630084012,0.645027520348896,33.90016265618543,17.119802204032155,25.476151058229455,119.4146504208274,117.71682173728,118.55880616605964,73.42066266775345,34.92006500039078,57.41596189585695,level,none,0,,6.666666666666667
dualtopo,post_covid,83.40080971659918,82.1285140562249,82.76209677419355,0.5957627247366137,0.4019473116998954,0.5912629579926615,31.85229197735729,19.261567341275963,25.531545133840652,213.60509435541655,160.80262265572424,186.9883382129186,74.3554898820593,40.75973537078917,59.89365833466823,level,train,479905,,8.333333333333334
lstm,post_covid,91.09311740890688,95.38152610441767,93.24596774193547,0.4511077302319224,0.5407251556584247,0.5122422155060153,35.52051222857076,16.56058088431156,26.002320888408377,170.35328942191575,119.77130849343489,144.8558418926611,82.90044394725614,36.281675270406794,63.90007763179739,level,train,22995,,8.666666666666666
