model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
gnn_st,post_covid,flu_season,pooled,ALL,2,494,34.80433755704645,77.16122330325318,16.521602381820138,0.928721278153382,486.0,91.29554655870446,blend,train,15726,,0.8518010610274634,0.9309468261912393,0.913000637852188,1.0,3.0,1.0,1.0
persistence,post_covid,flu_season,pooled,ALL,2,494,35.19713263805375,48.22170737907385,17.8127374493761,0.9243317844255652,486.0,91.49797570850204,level,none,0,,,,,2.0,1.0,2.0,2.0
arima,post_covid,flu_season,pooled,ALL,2,494,39.15365948618834,70.47662316148435,22.017798891857968,0.9087651015720428,486.0,79.35222672064778,level,none,,,,,,3.0,2.0,3.0,3.0
gat,post_covid,flu_season,pooled,ALL,2,494,61.53000392524214,151.11133128525364,28.661578525174484,0.7665663923543741,486.0,90.2834008097166,level,,8129,,0.5368174231230564,0.8147438222332006,0.6673923208156483,4.0,7.0,4.0,4.0
xgboost,post_covid,flu_season,pooled,ALL,2,494,66.92433792926545,106.42656563563776,29.67559285814255,0.6905953565477225,486.0,91.09311740890688,climatology,,,,0.452042952306817,0.8486687486530416,0.6031947336740365,5.0,4.0,5.0,5.0
xgboost_nodemo,post_covid,flu_season,pooled,ALL,2,494,67.2758436158258,146.47075616041846,29.922154934814397,0.6845969236446293,486.0,91.09311740890688,climatology,,,,0.4462717830858371,0.8485291539088281,0.5970731189013052,6.0,6.0,6.0,6.0
seasonal_naive,post_covid,flu_season,pooled,ALL,2,494,73.42066266775345,119.4146504208274,33.90016265618543,0.6153873277170464,486.0,92.10526315789474,level,none,0,,,,,7.0,5.0,8.0,7.0
dualtopo,post_covid,flu_season,pooled,ALL,2,494,74.3554898820593,213.60509435541655,31.85229197735729,0.5957627247366137,486.0,83.40080971659918,level,train,479905,,0.3235987406587509,0.709980158784824,0.5037966470025609,8.0,9.0,7.0,8.0
lstm,post_covid,flu_season,pooled,ALL,2,494,82.90044394725614,170.35328942191575,35.52051222857076,0.4511077302319224,486.0,91.09311740890688,level,train,22995,,,,,9.0,8.0,9.0,9.0
persistence,post_covid,off_season,pooled,ALL,2,498,15.668456767005482,48.01356820976147,8.193814355514865,0.9317520654700308,494.0,94.77911646586344,level,none,0,,,,,1.0,1.0,2.0,1.0
gnn_st,post_covid,off_season,pooled,ALL,2,498,16.561420963002476,53.375600280284175,7.855188538211896,0.9283816474735872,494.0,95.58232931726909,blend,train,15726,,0.8476997468361924,0.9208215248189368,0.9090816646501174,2.0,2.0,1.0,2.0
arima,post_covid,off_season,pooled,ALL,2,498,20.014407558854995,87.57449537651054,12.735023636672445,0.8973814257277967,494.0,91.16465863453816,level,none,,,,,,3.0,3.0,3.0,3.0
gat,post_covid,off_season,pooled,ALL,2,498,30.563315410073784,91.21630451996622,14.34644198067576,0.734560990575619,494.0,92.1686746987952,level,,8129,,0.4813118077127042,0.8412388812544624,0.6111376797976892,4.0,4.0,5.0,4.0
