model,variant,horizon,indicator,season,level,label,threshold,n_weeks,onset_actual,onset_pred,onset_error_weeks,lead_time_weeks,first_alert_week,peak_week_actual,peak_week_pred,peak_week_error_weeks,peak_actual,peak_pred,peak_error,series
arima,post_covid,2,ALMIRANTE BROWN,2024-25,0.5,IT50,45.51198712694632,13,,,,,,2024-12-01,2024-12-01,0.0,20.860869966673903,26.896606665180048,6.035736698506145,arima
arima,post_covid,2,ALMIRANTE BROWN,2024-25,0.9,IT90,59.3327355509796,13,,,,,,2024-12-01,2024-12-01,0.0,20.860869966673903,26.896606665180048,6.035736698506145,arima
arima,post_covid,2,ALMIRANTE BROWN,2024-25,0.98,IT98,70.30154029606965,13,,,,,,2024-12-01,2024-12-01,0.0,20.860869966673903,26.896606665180048,6.035736698506145,arima
arima,post_covid,2,ALMIRANTE BROWN,2025-26,0.5,IT50,45.51198712694632,40,,,,,,2025-06-08,2025-06-08,0.0,41.550749195916055,29.385859259247884,-12.164889936668171,arima
arima,post_covid,2,ALMIRANTE BROWN,2025-26,0.9,IT90,59.3327355509796,40,,,,,,2025-06-08,2025-06-08,0.0,41.550749195916055,29.385859259247884,-12.164889936668171,arima
arima,post_covid,2,ALMIRANTE BROWN,2025-26,0.98,IT98,70.30154029606965,40,,,,,,2025-06-08,2025-06-08,0.0,41.550749195916055,29.385859259247884,-12.164889936668171,arima
arima,post_covid,2,AVELLANEDA,2024-25,0.5,IT50,245.84106655843968,13,,,,,,2024-11-24,2024-11-03,-3.0,130.04891798211963,164.03104359089994,33.98212560878031,arima
arima,post_covid,2,AVELLANEDA,2024-25,0.9,IT90,374.7741671132419,13,,,,,,2024-11-24,2024-11-03,-3.0,130.04891798211963,164.03104359089994,33.98212560878031,arima
arima,post_covid,2,AVELLANEDA,2024-25,0.98,IT98,490.7992503428019,13,,,,,,2024-11-24,2024-11-03,-3.0,130.04891798211963,164.03104359089994,33.98212560878031,arima
arima,post_covid,2,AVELLANEDA,2025-26,0.5,IT50,245.84106655843968,40,2025-05-25,2025-06-15,3.0,-3.0,2025-06-15,2025-06-01,2025-06-15,2.0,323.7619506249422,270.05383287217114,-53.708117752771045,arima
arima,post_covid,2,AVELLANEDA,2025-26,0.9,IT90,374.7741671132419,40,,,,,,2025-06-01,2025-06-15,2.0,323.7619506249422,270.05383287217114,-53.708117752771045,arima
arima,post_covid,2,AVELLANEDA,2025-26,0.98,IT98,490.7992503428019,40,,,,,,2025-06-01,2025-06-15,2.0,323.7619506249422,270.05383287217114,-53.708117752771045,arima
arima,post_covid,2,EZEIZA,2024-25,0.5,IT50,139.80229436412165,13,,,,,,2024-11-03,2024-11-03,0.0,44.6625742515297,83.98917805939274,39.326603807863044,arima
arima,post_covid,2,EZEIZA,2024-25,0.9,IT90,180.23131160603506,13,,,,,,2024-11-03,2024-11-03,0.0,44.6625742515297,83.98917805939274,39.326603807863044,arima
arima,post_covid,2,EZEIZA,2024-25,0.98,IT98,212.02965427114694,13,,,,,,2024-11-03,2024-11-03,0.0,44.6625742515297,83.98917805939274,39.326603807863044,arima
arima,post_covid,2,EZEIZA,2025-26,0.5,IT50,139.80229436412165,40,2025-05-25,,,,,2025-06-08,2025-02-02,-18.0,186.09405938137377,83.98917805939274,-102.10488132198103,arima
arima,post_covid,2,EZEIZA,2025-26,0.9,IT90,180.23131160603506,40,2025-06-08,,,,,2025-06-08,2025-02-02,-18.0,186.09405938137377,83.98917805939274,-102.10488132198103,arima
arima,post_covid,2,EZEIZA,2025-26,0.98,IT98,212.02965427114694,40,,,,,,2025-06-08,2025-02-02,-18.0,186.09405938137377,83.98917805939274,-102.10488132198103,arima
arima,post_covid,2,FLORENCIO VARELA,2024-25,0.5,IT50,92.52865090835965,13,,,,,,2024-11-10,2024-11-03,-1.0,47.539144255116,46.57225839780524,-0.966885857310757,arima
arima,post_covid,2,FLORENCIO VARELA,2024-25,0.9,IT90,129.20404508235538,13,,,,,,2024-11-10,2024-11-03,-1.0,47.539144255116,46.57225839780524,-0.966885857310757,arima
arima,post_covid,2,FLORENCIO VARELA,2024-25,0.98,IT98,159.96645580277627,13,,,,,,2024-11-10,2024-11-03,-1.0,47.539144255116,46.57225839780524,-0.966885857310757,arima
arima,post_covid,2,FLORENCIO VARELA,2025-26,0.5,IT50,92.52865090835965,40,2025-05-25,,,,,2025-06-08,2025-02-02,-18.0,146.4447367519887,46.57225839780524,-99.87247835418346,arima
arima,post_covid,2,FLORENCIO VARELA,2025-26,0.9,IT90,129.20404508235538,40,2025-06-08,,,,,2025-06-08,2025-02-02,-18.0,146.4447367519887,46.57225839780524,-99.87247835418346,arima
arima,post_covid,2,FLORENCIO VARELA,2025-26,0.98,IT98,159.96645580277627,40,,,,,,2025-06-08,2025-02-02,-18.0,146.4447367519887,46.57225839780524,-99.87247835418346,arima
arima,post_covid,2,GENERAL SAN MARTÍN,2024-25,0.5,IT50,77.94711365203958,13,,,,,,2024-11-17,2024-11-03,-2.0,38.622208213656286,45.065540861337475,6.4433326476811885,arima
arima,post_covid,2,GENERAL SAN MARTÍN,2024-25,0.9,IT90,119.50868958439348,13,,,,,,2024-11-17,2024-11-03,-2.0,38.622208213656286,45.065540861337475,6.4433326476811885,arima
arima,post_covid,2,GENERAL SAN MARTÍN,2024-25,0.98,IT98,157.08069982681235,13,,,,,,2024-11-17,2024-11-03,-2.0,38.622208213656286,45.065540861337475,6.4433326476811885,arima
arima,post_covid,2,GENERAL SAN MARTÍN,2025-26,0.5,IT50,77.94711365203958,40,2025-05-18,2025-06-15,4.0,-4.0,2025-06-15,2025-06-01,2025-06-15,2.0,98.99715438672816,82.81260850625426,-16.18454588047389,arima
arima,post_covid,2,GENERAL SAN MARTÍN,2025-26,0.9,IT90,119.50868958439348,40,,,,,,2025-06-01,2025-06-15,2.0,98.99715438672816,82.81260850625426,-16.18454588047389,arima
arima,post_covid,2,GENERAL SAN MARTÍN,2025-26,0.98,IT98,157.08069982681235,40,,,,,,2025-06-01,2025-06-15,2.0,98.99715438672816,82.81260850625426,-16.18454588047389,arima
arima,post_covid,2,JOSÉ C. PAZ,2024-25,0.5,IT50,222.17859568980776,13,,,,,,2024-11-03,2024-11-03,0.0,178.59764153251456,183.1918487620528,4.594207229538256,arima
arima,post_covid,2,JOSÉ C. PAZ,2024-25,0.9,IT90,355.8888420506266,13,,,,,,2024-11-03,2024-11-03,0.0,178.59764153251456,183.1918487620528,4.594207229538256,arima
arima,post_covid,2,JOSÉ C. PAZ,2024-25,0.98,IT98,481.06046989083103,13,,,,,,2024-11-03,2024-11-03,0.0,178.59764153251456,183.1918487620528,4.594207229538256,arima
arima,post_covid,2,JOSÉ C. PAZ,2025-26,0.5,IT50,222.17859568980776,40,2025-03-16,2025-03-30,2.0,-2.0,2025-03-30,2025-05-25,2025-06-22,4.0,740.690903752997,583.7160124920063,-156.97489126099072,arima
arima,post_covid,2,JOSÉ C. PAZ,2025-26,0.9,IT90,355.8888420506266,40,2025-05-04,2025-06-08,5.0,-5.0,2025-06-08,2025-05-25,2025-06-22,4.0,740.690903752997,583.7160124920063,-156.97489126099072,arima
arima,post_covid,2,JOSÉ C. PAZ,2025-26,0.98,IT98,481.06046989083103,40,2025-05-25,2025-06-08,2.0,-2.0,2025-06-08,2025-05-25,2025-06-22,4.0,740.690903752997,583.7160124920063,-156.97489126099072,arima
arima,post_covid,2,LA MATANZA,2024-25,0.5,IT50,24.512107570850826,13,,,,,,2024-11-10,2024-11-03,-1.0,16.401927606670913,16.582036188847084,0.18010858217617098,arima
arima,post_covid,2,LA MATANZA,2024-25,0.9,IT90,49.0533041651205,13,,,,,,2024-11-10,2024-11-03,-1.0,16.401927606670913,16.582036188847084,0.18010858217617098,arima
arima,post_covid,2,LA MATANZA,2024-25,0.98,IT98,76.45298521130762,13,,,,,,2024-11-10,2024-11-03,-1.0,16.401927606670913,16.582036188847084,0.18010858217617098,arima
arima,post_covid,2,LA MATANZA,2025-26,0.5,IT50,24.512107570850826,40,2025-03-16,2025-03-30,2.0,-2.0,2025-03-30,2025-06-01,2025-06-15,2.0,53.170487175267624,50.81447795466223,-2.3560092206053938,arima
arima,post_covid,2,LA MATANZA,2025-26,0.9,IT90,49.0533041651205,40,2025-06-01,2025-06-15,2.0,-2.0,2025-06-15,2025-06-01,2025-06-15,2.0,53.170487175267624,50.81447795466223,-2.3560092206053938,arima
arima,post_covid,2,LA MATANZA,2025-26,0.98,IT98,76.45298521130762,40,,,,,,2025-06-01,2025-06-15,2.0,53.170487175267624,50.81447795466223,-2.3560092206053938,arima
