model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,mean_rank
gnn_st,post_covid,ALMIRANTE BROWN,100.0,85.18518518518519,92.45283018867924,0.4995795221103304,0.3885981775213208,0.7143608142537131,5.4688543906578655,5.424144700721458,5.4460777561619595,24.82737959457215,53.73215281317967,39.5524527436741,6.9609675190644875,7.278512848067743,7.1245046426737035,blend,train,15726,,2.3333333333333335
gat,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.6449562546180589,0.1468808391697152,0.7186783587525991,6.004299750694861,6.1746585810626,6.091086324655785,26.17240725487426,85.91541716185729,56.60752550937504,7.490135840521845,7.485075421694942,7.487558318662458,level,,8129,,3.3333333333333335
persistence,post_covid,ALMIRANTE BROWN,100.0,88.88888888888889,94.33962264150944,0.3370667731338991,0.3048913798836738,0.606439040934597,6.55683712382531,5.921345907358864,6.233096315436743,27.288823216219477,62.15523987186352,45.05096000305701,7.863500600364557,8.116341657975612,7.9933058496646625,level,none,0,,4.333333333333333
dualtopo,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.4936638235026374,0.4309053050754338,0.6876031752345358,8.110693344703087,5.340353259333858,6.6993880181942345,33.48433596813075,75.91955672340221,55.10227861704262,10.125998871452149,6.427466384644744,8.446686224357551,level,train,479905,,3.3333333333333335
arima,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.3580907458651423,0.3803492396261241,0.5278157985201453,5.30577116599037,8.843156135755937,7.107835207191696,21.574922594356956,139.4479393516923,81.62344056507494,6.512254162868952,10.280058727750768,8.63952655539078,level,none,,,5.0
xgboost,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.480282071872932,0.4374859583387958,0.7258375461651824,10.908632061579189,5.852054898833603,8.332639922067287,48.318300758713875,52.09257321329376,50.24104332991496,13.279825138333344,7.138798915787344,10.605430966525152,climatology,,,,5.0
lstm,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.2265993908437352,0.2397046120834307,0.6237460005461936,11.533763618703594,8.116723617855985,9.7930073918567,51.78523673217541,75.83446541625842,64.03673059010451,12.990288208893976,9.821209491429356,11.485637865264614,level,train,22995,,7.0
xgboost_nodemo,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.4049247183429478,0.5171541013357377,0.695502488832235,13.413202981757973,6.0016539485840745,9.63750819127316,57.9428484347866,60.81171800243075,59.40434802585058,15.742986664821355,7.196309889778124,12.164073307769366,climatology,,,,6.333333333333333
seasonal_naive,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.5764899171188307,0.257802955633925,0.6898715911119276,12.857188141502991,8.479873978559915,10.627235643399914,51.66292515585186,70.03390988538469,61.02172869731197,16.08225696060215,9.737134733182655,13.235552549603582,level,none,0,,8.333333333333334
dualtopo,post_covid,AVELLANEDA,96.15384615384616,92.5925925925926,94.33962264150944,0.7859187591901441,0.5371847491776531,0.8479983645156213,30.474335303673374,17.612777709960938,23.922221057819872,16.2038251247636,14.615803091957964,15.394832768428651,42.025697948186306,26.81597737865116,35.11053995481524,level,train,479905,,1.6666666666666667
gnn_st,post_covid,AVELLANEDA,92.3076923076923,96.29629629629628,94.33962264150944,0.5284086370634218,0.5564329617665318,0.7983347620145237,34.39899033766527,19.098633377640336,26.604468867463886,19.825364708300576,17.668907068943422,18.72679194862807,42.08258293267403,27.442641144765886,35.38953031789679,blend,train,15726,,2.6666666666666665
gat,post_covid,AVELLANEDA,100.0,96.29629629629628,98.1132075471698,0.6008210464851839,0.4870483425520115,0.8113030690243775,35.263826223520134,26.827629371925635,30.966141034971994,19.358751818595348,23.925698648265072,21.685309637483694,44.53648687447125,36.348446116850425,40.57223297371192,level,,8129,,4.666666666666667
