arm,horizon,Corr_macro,RMSE_macro,Corr_pooled,RMSE_pooled,n_seeds,best_epoch_range,epochs_run,n_node_features,n_global,n_edges
gnn_st,1,0.8925471418457038,10.18677474340183,0.9271406721407908,11.71102563590038,10,42-103,120,46,0,215.0
gnn_st_ref_b,1,0.8950972860703856,10.13965404800732,0.9284895257392716,11.680368532788744,10,62-85,120,46,0,215.0
gnn_st_ref_c,1,0.8922191501492259,10.258315108923387,0.9266665027936736,11.788132500014894,10,36-103,120,46,0,215.0
gnn_st_noweather,1,0.8807181192513923,10.718869967163943,0.9198774294012996,12.29842478514218,10,22-74,120,40,0,215.0
gnn_st_nodemofeat,1,0.8922482410405598,10.22172992846015,0.9270610914922834,11.74775643638773,10,39-101,120,38,0,215.0
gnn_st_nodemoedge,1,0.8956006535980963,10.06495821131396,0.929161281849765,11.565292997620077,10,41-97,120,46,0,155.0
gnn_st_nodemo,1,0.8937269926891259,10.181691034809152,0.9277715781830372,11.700278301366756,10,55-89,120,38,0,155.0
gnn_st_noimputedflag,1,0.8903627394377446,10.317099309574012,0.9253173809209128,11.86970804120573,10,38-92,120,30,0,215.0
gnn_st_lagsonly,1,0.8800690718492732,10.74740040796259,0.9190589481889246,12.341626724100704,10,39-98,120,16,0,155.0
gnn_st_lean,1,0.88220446163743,10.629646010431864,0.9211011406362368,12.17543035626049,10,36-84,120,32,0,155.0
gnn_st_covid_rsv,1,0.8615593953473856,11.74171029054863,0.901949693136912,13.553873604972544,10,43-86,120,94,0,215.0
gnn_st_wastewater,1,0.8752759515227576,10.805566927857166,0.9225508720416185,12.103342183176776,10,19-56,120,62,0,215.0
gnn_st_vaccination,1,0.8928513172884941,10.190564104357218,0.9277582457603326,11.709777908537546,10,38-99,120,46,1,215.0
gnn_st_globals,1,0.8884788622122646,10.75772116850654,0.9203027052586876,12.558031867736776,10,36-79,120,46,1,215.0
gnn_st_season,1,0.8916551907062499,10.249480069999825,0.9263216789867944,11.797105314545355,10,47-85,120,46,2,215.0
gnn_st_delta,1,0.8820780063614587,10.830337106562354,0.9190276817155416,12.51696906270326,10,36-73,120,46,0,215.0
gnn_st_level,1,0.8921880773566103,11.057182397606628,0.9140159054488752,12.88839291889863,10,43-84,120,46,0,215.0
gnn_st_noadapt,1,0.8818343005239603,10.656211894857964,0.9215932992823836,12.200999429056129,10,28-97,120,46,0,215.0
gnn_st_relations,1,0.892756820724388,10.1818810391726,0.9277007448674438,11.715817811964628,10,39-97,120,46,0,215.0
gnn_st_nopearson,1,0.8911005197743291,10.286251968619748,0.925578727036694,11.86574632203749,10,52-99,120,46,0,215.0
gnn_st_tiny,1,0.8874911162783163,10.458265157630192,0.9237861542906064,12.036110708444918,10,62-112,120,46,0,215.0
gnn_st_nocorr,1,0.8929159922450624,10.244900370024409,0.9267337918608102,11.8202418520154,10,53-91,120,46,0,176.0
gnn_st_geoonly,1,0.8937932236750592,10.20606807120438,0.9279130193419648,11.733483608311396,10,47-104,120,46,0,116.0
gnn_st_adaptiveonly,1,0.8987214704969197,10.021937161800055,0.9286600490689544,11.601430599334323,10,64-111,120,46,0,
gnn_st_nograph,1,0.8176611048116602,13.401557676182309,0.8708387017242084,15.35875789871357,10,36-85,120,46,0,
gnn_st,2,0.8023031248006623,14.479650018288355,0.8398430202397765,17.213823915384783,10,54-71,120,46,0,215.0
gnn_st_ref_b,2,0.8070915108852788,14.325333296252714,0.8424703927664322,17.074598977132364,10,56-94,120,46,0,215.0
gnn_st_ref_c,2,0.8082723383245091,14.234770797980618,0.843537148913832,16.928477555991016,10,40-93,120,46,0,215.0
gnn_st_noweather,2,0.7717002011422294,15.244573137895305,0.8192277839927267,17.971648049782626,10,20-65,120,40,0,215.0
gnn_st_nodemofeat,2,0.7988887537505542,14.49881335023384,0.8388533553383907,17.185049226896997,10,28-86,120,38,0,215.0
gnn_st_nodemoedge,2,0.8041329300194269,14.423650494749385,0.8405476560203577,17.18141873980351,10,54-82,120,46,0,155.0
gnn_st_nodemo,2,0.8004450855499182,14.525434675373358,0.8376730411919532,17.303756095337604,10,53-91,120,38,0,155.0
gnn_st_noimputedflag,2,0.8085155968812704,14.167613202506828,0.845308628022123,16.812536895344433,10,54-94,120,30,0,215.0
gnn_st_lagsonly,2,0.7941880417221262,14.46289338936575,0.8377913768173223,17.006633067920934,10,20-88,120,16,0,155.0
gnn_st_lean,2,0.7682393690235534,15.336293602251772,0.8168053520897695,18.070513089422903,10,20-86,120,32,0,155.0
gnn_st_covid_rsv,2,0.6472224462617933,19.08798379817847,0.724023500608944,22.500158494391428,10,32-85,120,94,0,215.0
gnn_st_wastewater,2,0.8157231347520818,13.858320688415253,0.8598027116517012,16.245011361035637,10,32-85,120,62,0,215.0
gnn_st_vaccination,2,0.8103640503050507,14.151438644381026,0.8467946661352937,16.82570944955924,10,39-84,120,46,1,215.0
gnn_st_globals,2,0.7960072319657857,14.920768883705437,0.8315040352970102,17.851109548910493,10,23-81,120,46,1,215.0
gnn_st_season,2,0.8016705789784344,14.351093622629362,0.8413291023611573,16.988260666093314,10,28-79,120,46,2,215.0
gnn_st_delta,2,0.7832646949467986,15.465682866774149,0.8245717544094922,18.39424931648799,10,23-66,120,46,0,215.0
gnn_st_level,2,0.7433775203534758,16.69615482262392,0.7828935470647227,19.973502546742058,10,42-74,120,46,0,215.0
gnn_st_noadapt,2,0.7954123796388549,14.589535151916248,0.8383100645200483,17.216052949804155,10,23-65,120,46,0,215.0
gnn_st_relations,2,0.7915203970901644,14.822523749724397,0.8303453329933786,17.624839467387044,10,43-79,120,46,0,215.0
gnn_st_nopearson,2,0.796094629642213,14.723540495493555,0.8343739140885615,17.515734668263416,10,49-82,120,46,0,215.0
gnn_st_tiny,2,0.7957713034280811,14.578143811439675,0.836592251749609,17.248197191291908,10,40-95,120,46,0,215.0
gnn_st_nocorr,2,0.7995094096470564,14.5612668353073,0.8376825291994021,17.30668108698517,10,32-93,120,46,0,176.0
gnn_st_geoonly,2,0.7983358562506379,14.592428784450506,0.8371892985634183,17.323447829149003,10,54-85,120,46,0,116.0
gnn_st_adaptiveonly,2,0.7965944329529696,14.809496779062508,0.8335754937799509,17.646113061319987,10,20-95,120,46,0,
gnn_st_nograph,2,0.7088803051849253,17.179633884137196,0.770644552615975,20.189540925789025,10,32-85,120,46,0,
gnn_st,4,0.581901273098036,19.62881990016453,0.6763604164317504,23.069904662303447,10,12-86,120,46,0,215.0
gnn_st_ref_b,4,0.6133930582015832,19.02615954129809,0.695524257733309,22.401015190019404,10,24-98,120,46,0,215.0
gnn_st_ref_c,4,0.5874013242396173,19.640154673401724,0.676567395150084,23.14881693911435,10,14-88,120,46,0,215.0
gnn_st_noweather,4,0.5571330659090107,20.05964721155994,0.6612519248534626,23.53761843639745,10,12-45,120,40,0,215.0
gnn_st_nodemofeat,4,0.6092455292296725,19.11605132363397,0.6936784443293406,22.498023816014346,10,15-84,120,38,0,215.0
gnn_st_nodemoedge,4,0.581064104670056,19.68638541313815,0.6755858108199365,23.149416687063123,10,12-92,120,46,0,155.0
gnn_st_nodemo,4,0.5902601959283853,19.484163386649993,0.6820814889786243,22.899144259172797,10,15-81,120,38,0,155.0
gnn_st_noimputedflag,4,0.5834051023403968,19.705910557477957,0.6727125804473033,23.2403214401308,10,13-95,120,30,0,215.0
gnn_st_lagsonly,4,0.5590922784182332,20.02965755522291,0.6622995162364582,23.513445221191045,10,14-40,120,16,0,155.0
gnn_st_lean,4,0.5497990165084403,20.16095238426382,0.6549118255116069,23.66922300696341,10,14-83,120,32,0,155.0
gnn_st_covid_rsv,4,0.4230208707270137,22.296966144645648,0.5729501523464228,26.143389512097155,10,5-37,120,94,0,215.0
gnn_st_wastewater,4,0.671000844254783,18.358062890503785,0.7400017348509452,21.58512593350681,10,14-101,120,62,0,215.0
gnn_st_vaccination,4,0.6230184818774817,18.862199096524513,0.7017752939098276,22.230315464237385,10,22-85,120,46,1,215.0
gnn_st_globals,4,0.6029421919586909,19.23104689748783,0.6891253333403691,22.61719601919341,10,10-92,120,46,1,215.0
gnn_st_season,4,0.6073451582523947,19.10942022289214,0.6930698318658806,22.47540206787976,10,14-75,120,46,2,215.0
gnn_st_delta,4,0.4855468120311931,22.61516969099309,0.5897077664949867,26.850463027384222,10,26-94,120,46,0,215.0
