city,model,variant,horizon,origin_date,target_date,neighborhood,group,shap_rate_per_100k,base_rate_per_100k,predicted_rate_per_100k,actual_rate_per_100k,n_background,seed
boston,gat,post_covid,1,2025-12-14,2025-12-21,Dorchester,Own flu history,8.177231500794854,56.765574154032855,96.92842791655858,256.1499938964844,20,0
boston,gat,post_covid,1,2025-12-14,2025-12-21,Dorchester,Neighbours' flu history,31.985622261730875,56.765574154032855,96.92842791655858,256.1499938964844,20,0
