neighborhood,order
Allston/Brighton,"(3, 0, 2)"
Back Bay/Beacon Hill/Downtown/North End/West End,"(3, 0, 2)"
Charlestown,"(2, 0, 1)"
Dorchester,"(3, 0, 3)"
East Boston,"(3, 0, 2)"
Fenway,"(2, 0, 0)"
Hyde Park,"(2, 0, 2)"
Jamaica Plain,"(2, 0, 0)"
Mattapan,"(1, 0, 0)"
Roslindale,"(2, 0, 3)"
Roxbury,"(1, 0, 3)"
South Boston,"(3, 0, 2)"
South End,"(3, 0, 1)"
West Roxbury,"(1, 0, 2)"
