model,variant,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
arima,exclude_covid,93.4659090909091,98.85496183206108,95.76547231270358,0.8721627161941817,0.6637830117341665,0.8753349420202906,11.037610521822,5.758812569981392,8.785094131948645,63.46704700715994,114.8064716839828,85.37409792788891,18.777599193755425,8.516883557488633,15.2673968443181,level,none,,5bc3803,0.001490005379470648,0.0040327855607057836,299.3411083329702,3.3333333333333335
arima,post_covid,94.31818181818184,99.23664122137404,96.4169381107492,0.8662414110107342,0.6544411854096445,0.8718556914979984,11.539093209007737,5.851486409723362,9.112133955892906,64.0920590795033,107.08386241161358,82.4370956805015,19.395539877045795,8.012105529568109,15.590264501719078,level,none,,5bc3803,0.0002556865749649534,0.0006920304730384992,51.36729262501467,3.6666666666666665
lstm,exclude_covid,90.3409090909091,99.61832061068702,94.29967426710095,0.8601740151586288,0.7972805039841565,0.8709166056363604,11.139280480688267,4.358083755915402,8.245675363602778,51.75920983442365,83.14629423899684,65.15239568784088,20.41193374818329,5.948602778643881,15.936092703531024,level,train,22300,5bc3803,3.6014595815701175e-06,9.747558229072537e-06,0.7235642919549718,3.3333333333333335
persistence,post_covid,93.18181818181816,98.09160305343512,95.2768729641694,0.8607806389258764,0.6814235053585368,0.8708620558028588,12.051278409090909,4.982251908396947,9.03485342019544,60.87732802347335,75.01344244250406,66.9093507885972,20.131564252719254,7.178847347356066,15.947844043684832,level,none,0,5bc3803,1.0930826783819627e-07,2.958491360348287e-07,0.02199162496253848,4.333333333333333
persistence,exclude_covid,93.18181818181816,97.70992366412212,95.11400651465796,0.8607806389258764,0.6814235053585368,0.8708620558028588,12.051278409090909,4.982251908396947,9.03485342019544,60.87732802347335,75.01344244250406,66.9093507885972,20.131564252719254,7.178847347356066,15.947844043684832,level,none,0,5bc3803,1.286735082694529e-07,3.482622769984624e-07,0.02589108399115503,4.333333333333333
lstm,post_covid,90.3409090909091,99.61832061068702,94.29967426710095,0.8524156360652353,0.7826524101288941,0.8628775575016457,11.304202957044948,4.718931594877753,8.494201170582723,53.70346982716725,88.17475222649146,68.41271410831212,20.61754690866661,6.548245380196938,16.186199447457525,level,train,22300,5bc3803,2.1653940673612073e-06,5.860764027036366e-06,0.43506395805161446,5.0
gnn_multiedge_covid_rsv,post_covid,93.18181818181816,96.18320610687024,94.46254071661238,0.869037544769222,0.7226382229356214,0.8670264978431744,13.193399275568398,7.445554021660608,10.740735665594716,80.0619016895051,112.23659237302448,93.79116709517623,19.642686253509392,11.895085211084732,16.780104118520434,delta,train,6370,5bc3803,2.089974154706508e-05,5.656635680297364e-05,4.198774707969278,6.666666666666667
gnn_multiedge_leaknorm,post_covid,95.17045454545456,95.0381679389313,95.11400651465796,0.8917632035364798,0.7092063366887496,0.8830942748654214,13.751705018972809,8.556583139732593,11.534894054215584,81.00639016499223,110.1868700723136,93.45799559775804,20.966106306978645,14.696203894071877,18.55170006101943,delta,all,4834,5bc3803,1.769154712003047e-05,4.788319341340361e-05,3.5542516669956967,9.333333333333334
dualtopo_fullhistory,full,85.79545454545455,97.45454545454544,90.9090909090909,0.7948186229941802,0.7395159480042609,0.8039289502585438,13.930661419575864,6.252267409237948,10.562944748375024,60.288819963995365,123.99005652070588,88.22795880465786,24.9650866335787,8.59040516353067,19.551575582288795,level,train,479905,5bc3803,0.0003761414580371674,0.0010180485665723,75.56665566598531,9.666666666666666
gnn_multiedge_covid_rsv_full,full,90.3409090909091,92.36641221374046,91.20521172638436,0.8728116879801678,0.721164806738172,0.8756387450461968,15.864917966113849,7.521130045406691,12.30453940711503,86.86103255786608,98.96476415461709,92.02581705029075,23.946721098009437,12.719587456626137,19.944598756204105,delta,train,6370,5bc3803,4.170956533715911e-05,0.0001128893460067694,8.379447750048712,10.333333333333334
gnn_multiedge_full,full,90.625,90.45801526717555,90.55374592833876,0.8769505097960932,0.7056977169633352,0.8662847356425476,14.463662517680364,9.17715003654247,12.207854260256704,78.06465398180497,110.43839200254276,91.87885489619146,23.066963293754824,16.505473317119062,20.525295357398708,delta,train,4834,5bc3803,4.0714073532863064e-05,0.00011019498997995269,8.17945520801004,11.0
gnn_multiedge_rt,post_covid,89.48863636363636,93.51145038167938,91.20521172638436,0.862960371656608,0.7025893848096878,0.8551222361096242,16.906746029176496,9.767108919966311,13.86019078062101,95.43727120221426,118.22295136975951,105.1601510131212,26.228381049672503,17.848729102532346,23.02872637906753,delta,train,5346,5bc3803,1.76025503802076e-05,4.764231860029718e-05,3.5363711660029367,12.666666666666666
gnn_multiedge,post_covid,89.48863636363636,88.93129770992367,89.25081433224756,0.8775781060204749,0.6965199642110093,0.8601545371807578,17.742873343893073,11.059469431866216,14.890997407490731,100.65581074214684,129.82000299467643,113.10046606814478,26.938349536749563,20.87609936820054,24.53542627108886,delta,train,4834,5bc3803,1.7659723678023636e-05,4.779706143080451e-05,3.5478571250569075,13.666666666666666
dualtopo,post_covid,83.52272727272727,91.27272727272728,86.92185007974481,0.5052581107522092,0.598798931934519,0.4168523709236908,18.961216736923564,17.22991453344172,18.201873665221,108.23412526087736,331.7612398626327,206.272333419542,33.35923135606023,21.9500018548701,28.914844930452,level,train,479905,5bc3803,5.635643795263239e-05,0.0001525319521389449,11.322005417081527,15.333333333333334
dualtopo_no_bg,post_covid,83.52272727272727,91.27272727272728,86.92185007974481,0.5051561455690342,0.5925676259900176,0.4121753784077364,18.96694554253058,17.508259873823686,18.327171126431065,108.39888015784496,337.42980003578964,208.85103799904877,33.35890077489192,22.294193874199703,29.029899094409423,level,train,479905,5bc3803,3.404552382872119e-05,9.214617530569538e-05,6.839754667016678,15.666666666666666
