neighborhood,order
Allston/Brighton,"(3, 0, 2)"
Back Bay/Beacon Hill/Downtown/North End/West End,"(3, 0, 2)"
Charlestown,"(1, 0, 3)"
Dorchester,"(3, 0, 1)"
East Boston,"(2, 0, 2)"
Fenway,"(1, 0, 2)"
Hyde Park,"(2, 0, 2)"
Jamaica Plain,"(3, 0, 1)"
Mattapan,"(1, 0, 2)"
Roslindale,"(3, 0, 3)"
Roxbury,"(2, 0, 3)"
South Boston,"(3, 0, 3)"
South End,"(3, 0, 3)"
West Roxbury,"(2, 0, 1)"
