model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
gnn_multiedge_covid_rsv_full,full,flu_season,pooled,ALL,24,352,30.140541250036147,124.36067105442037,20.401537753980268,0.6203178069845221,352.0,100.0,delta,train,6337,8dd9348,,,,0.3745030963643618,0.6857110040741148,0.5600581830754745,1.0,6.0,4.0,13.0
gnn_multiedge_season,post_covid,flu_season,pooled,ALL,24,352,30.288615514828663,125.7500254017711,21.231809775175694,0.7106126866962232,352.0,100.0,delta,train,4865,8dd9348,,,,0.3683421472223854,0.7661949211772383,0.6792413723346394,2.0,7.0,7.0,6.0
gnn_uniform,post_covid,flu_season,pooled,ALL,24,352,30.572196343245363,129.04615598550734,21.91786237839948,0.7260083289545893,352.0,99.7159090909091,delta,train,4801,8dd9348,,,,0.3564588307483856,0.7679378722798462,0.6864726101623134,3.0,9.0,9.0,2.0
gnn_multiedge_leaknorm,post_covid,flu_season,pooled,ALL,24,352,30.86760298074128,130.46788106388726,21.798912786624648,0.7204482433100008,352.0,99.7159090909091,delta,all,4801,8dd9348,,,,0.3439621597283375,0.765383140914646,0.6832891482056934,4.0,11.0,8.0,4.0
gnn_multiedge_full,full,flu_season,pooled,ALL,24,352,31.74555331137307,141.71449186767188,23.153181908482853,0.6438698915665171,352.0,100.0,delta,train,4801,8dd9348,,,,0.3061128060466559,0.7249471110362924,0.6048457972800025,5.0,16.0,13.0,10.0
gnn_multiedge_season_level,post_covid,flu_season,pooled,ALL,24,352,32.022564600637345,135.99157265691844,22.845168884504925,0.7119888902197391,352.0,98.86363636363636,level,train,4865,8dd9348,,,,0.293950270900321,0.7710172106018065,0.6683621800896523,6.0,14.0,11.0,5.0
gnn_geo,post_covid,flu_season,pooled,ALL,24,352,32.22457536676834,139.1111073299918,22.93482530430298,0.7392609919365334,352.0,99.14772727272728,delta,train,4801,8dd9348,,,,0.2850141259617822,0.761271761874466,0.6877723845364478,7.0,15.0,12.0,1.0
gnn_multiedge_covid_rsv,post_covid,flu_season,pooled,ALL,24,352,32.2907415230659,152.3311514316948,23.851510829715565,0.6928635866503392,352.0,97.44318181818184,delta,train,6337,8dd9348,,,,0.2820749756542485,0.7454390961754036,0.645037796779099,8.0,18.0,16.0,9.0
dualtopo,post_covid,flu_season,pooled,ALL,24,352,33.04112504692484,133.2208068940996,20.55379157987508,0.4988419045060105,352.0,83.80681818181817,level,train,479905,8dd9348,,,,0.2483204610508328,0.5144309343806409,0.4032441812038351,9.0,13.0,6.0,16.0
dualtopo_no_bg,post_covid,flu_season,pooled,ALL,24,352,33.042543031578724,132.8849098486763,20.532508397644214,0.4988277639247389,352.0,83.80681818181817,level,train,479905,8dd9348,,,,0.2482559418844506,0.513778305608455,0.4029480316325599,10.0,12.0,5.0,17.0
gnn_multiedge_level,post_covid,flu_season,pooled,ALL,24,352,33.06326747943673,147.92935438553647,23.84685841338201,0.7083965924073712,352.0,99.14772727272728,level,train,4801,8dd9348,,,,0.2473126608188494,0.7576710569672696,0.6571661777441434,11.0,17.0,15.0,7.0
arima,post_covid,flu_season,pooled,ALL,24,352,33.06946996412965,105.9918760799131,19.39841059672389,0.5116618354130806,352.0,98.29545454545456,level,none,,8dd9348,,,,,,,12.0,4.0,1.0,15.0
gnn_multiedge,post_covid,flu_season,pooled,ALL,24,352,33.54243157216716,127.5670343438808,22.717319729518337,0.7257205972572995,352.0,99.43181818181816,delta,train,4801,8dd9348,,,,0.2253382010947324,0.7637792231418219,0.6777334248361936,13.0,8.0,10.0,3.0
arima,exclude_covid,flu_season,pooled,ALL,24,352,33.77965591036697,109.5567845760918,20.09288240694136,0.4864979020898832,352.0,93.75,level,none,,8dd9348,,,,,,,14.0,5.0,3.0,18.0
