neighborhood,order
Allston/Brighton,"(3, 0, 0)"
Back Bay/Beacon Hill/Downtown/North End/West End,"(2, 0, 3)"
Charlestown,"(2, 0, 1)"
Dorchester,"(3, 0, 0)"
East Boston,"(3, 0, 0)"
Fenway,"(1, 0, 2)"
Hyde Park,"(2, 0, 1)"
Jamaica Plain,"(1, 0, 0)"
Mattapan,"(1, 0, 2)"
Roslindale,"(3, 0, 3)"
Roxbury,"(2, 0, 3)"
South Boston,"(2, 0, 2)"
South End,"(3, 0, 3)"
West Roxbury,"(2, 0, 1)"
