model,weeks_late,RMSE,RMSE_if_shifted,RMSE_common_window,Corr_macro,Corr_macro_if_shifted,phase_share_of_mse,lag_fingerprint,n_obs,n_obs_common_window,bias_rising,n_rising,bias_flat,n_flat,bias_falling,n_falling,coverage_all,mean_width,coverage_rising,coverage_flat,coverage_falling,median_peak_weeks_late,delag_gamma
gnn_st + de-lag,1,16.747815035555895,11.272430092364276,17.30318382202855,0.8152191340677825,0.900684021077583,0.5755924920602844,-0.7776467550231128,613,561,-10.732596571658572,147,2.1891280138699103,256,8.677264121523525,153,96.08482871125612,39.51575952638528,85.71428571428571,100.0,98.0392156862745,2.0,0.3827
gnn_st,1,17.213823915384783,10.82277949705159,17.78737394879341,0.8023031248006625,0.9077489703563957,0.6297850524368741,-0.8009062516870643,627,575,-11.417579217245114,149,1.9405050463549538,263,9.422432091928297,155,95.85326953748007,39.44534013392378,85.23489932885906,100.0,97.41935483870968,2.0,
