city,model,variant,horizon,origin_date,target_date,neighborhood,group,shap_rate_per_100k,base_rate_per_100k,predicted_rate_per_100k,actual_rate_per_100k,n_background,seed
boston,xgboost,post_covid,2,2025-12-07,2025-12-21,Dorchester,Own flu history,-2.5375153526733643,26.959236922135567,108.03479301054715,256.1499938964844,280,0
boston,xgboost,post_covid,2,2025-12-07,2025-12-21,Dorchester,Own weather,-4.071196892540902,26.959236922135567,108.03479301054715,256.1499938964844,280,0
boston,xgboost,post_covid,2,2025-12-07,2025-12-21,Dorchester,Own demographics,3.4969023414654656,26.959236922135567,108.03479301054715,256.1499938964844,280,0
boston,xgboost,post_covid,2,2025-12-07,2025-12-21,Dorchester,Node identity,-0.04897987654432654,26.959236922135567,108.03479301054715,256.1499938964844,280,0
boston,xgboost,post_covid,2,2025-12-07,2025-12-21,Dorchester,Climatology,84.23634817649987,26.959236922135567,108.03479301054715,256.1499938964844,280,0
