model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
xgboost,post_covid,flu_season,pooled,ALL,4,442,11.807906169801935,38.377194843944494,8.004727952210775,0.8722216488778918,440.0,94.11764705882352,climatology,,,,0.7278259887658145,0.8903448248847619,0.8281120808472202,1.0,3.0,1.0,2.0
dualtopo,post_covid,flu_season,pooled,ALL,4,442,12.162714630155214,32.9984585187892,8.168872736158415,0.8785189980537691,440.0,75.56561085972851,level,train,479905,,0.7112234612130591,0.901299978705376,0.8344130368513553,2.0,1.0,2.0,1.0
gnn_st,post_covid,flu_season,pooled,ALL,4,442,12.31185599391826,37.95702731604288,8.340658643666435,0.849696425015819,440.0,92.53393665158372,blend,train,15734,,0.704097985904071,0.8828612142389879,0.8223871781270691,3.0,2.0,3.0,3.0
lstm,post_covid,flu_season,pooled,ALL,4,442,14.574354617785923,42.98449932196354,9.7672543782468,0.7750153384952978,440.0,92.53393665158372,level,train,22353,,,,,4.0,5.0,4.0,4.0
arima,post_covid,flu_season,pooled,ALL,4,442,15.805113317910154,41.977754450089776,10.35701797997216,0.7531475804935495,440.0,91.4027149321267,level,none,,,,,,5.0,4.0,5.0,5.0
persistence,post_covid,flu_season,pooled,ALL,4,442,18.33899579226697,59.48651887268368,12.937047825161493,0.6711835972336312,440.0,93.66515837104072,level,none,0,,,,,6.0,7.0,6.0,7.0
gat,post_covid,flu_season,pooled,ALL,4,442,21.018295587985023,59.226194561257905,14.282918372844678,0.6703602070941418,440.0,74.2081447963801,level,,8129,,0.1376255852826595,0.7838356901115037,0.653429036660132,7.0,6.0,8.0,8.0
seasonal_naive,post_covid,flu_season,pooled,ALL,4,442,22.31927261219715,62.61985296594534,13.38437062499566,0.7116874707576226,440.0,98.19004524886876,level,none,0,,,,,8.0,8.0,7.0,6.0
gat,post_covid,off_season,pooled,ALL,4,459,6.634980950070553,55.60595287083658,4.727263080788075,0.8185665946476655,449.0,95.4248366013072,level,,8129,,0.6698390890576064,0.8335728813944177,0.8047465402878875,1.0,1.0,1.0,2.0
seasonal_naive,post_covid,off_season,pooled,ALL,4,459,6.788880246363578,59.100175010699985,4.961137992829593,0.817746280809188,449.0,97.60348583877996,level,none,0,,,,,2.0,2.0,4.0,3.0
gnn_st,post_covid,off_season,pooled,ALL,4,459,6.947875406077357,1890304.5737450216,4.876481163605626,0.8173929740004833,450.0,94.3355119825708,blend,train,15734,,0.6379651836016924,0.8238788017310295,0.7820432090582303,3.0,7.0,2.0,4.0
xgboost,post_covid,off_season,pooled,ALL,4,459,7.039584884165606,3314314.082883869,4.881039518818399,0.8598184965440344,450.0,96.07843137254902,climatology,,,,0.6283446450778929,0.8620649167670908,0.7415950435972432,4.0,8.0,3.0,1.0
dualtopo,post_covid,off_season,pooled,ALL,4,459,7.173648380869702,62.96497087987106,5.192877919585617,0.7869387104016252,449.0,83.87799564270153,level,train,479905,,0.6140540703278834,0.8110656232882082,0.7722671397714141,5.0,3.0,5.0,5.0
arima,post_covid,off_season,pooled,ALL,4,459,8.01757769810655,78.13189850071495,5.941919432632337,0.7745407353419315,449.0,100.0,level,none,,,,,,6.0,5.0,6.0,6.0
persistence,post_covid,off_season,pooled,ALL,4,459,9.607138805267091,74.87702804236122,6.848872253613762,0.6885767466818645,449.0,95.4248366013072,level,none,0,,,,,7.0,4.0,7.0,8.0
lstm,post_covid,off_season,pooled,ALL,4,459,10.145991513562436,84.91988733001315,7.462683269082156,0.7162881902104165,449.0,98.47494553376906,level,train,22353,,,,,8.0,6.0,8.0,7.0
xgboost,post_covid,overall,pooled,ALL,4,901,9.676950093755742,1675795.7564758116,6.4134149767089985,0.8868668571544251,890.0,95.1165371809101,climatology,,,,0.7504176387298118,0.8887269496802012,0.8451087821240472,1.0,8.0,1.0,1.0
dualtopo,post_covid,overall,pooled,ALL,4,901,9.939131302947231,48.133401207344605,6.652799905074159,0.8697451834482132,889.0,79.80022197558269,level,train,479905,,0.736710374747187,0.8552343375458882,0.8405713444152904,2.0,1.0,3.0,2.0
gnn_st,post_covid,overall,pooled,ALL,4,901,9.947500880960495,955790.7407609876,6.575888984012815,0.8681192742741168,890.0,93.45172031076582,blend,train,15734,,0.7362667666841605,0.875218665481019,0.8446335732747945,3.0,7.0,2.0,3.0
arima,post_covid,overall,pooled,ALL,4,901,12.461596622099044,60.23783395372387,8.10781683321414,0.7685072025952816,889.0,95.7824639289678,level,none,,,,,,4.0,3.0,4.0,5.0
lstm,post_covid,overall,pooled,ALL,4,901,12.515739530738214,64.16446469385812,8.593227586785567,0.7689981149236051,889.0,95.56048834628191,level,train,22353,,,,,5.0,5.0,5.0,4.0
persistence,post_covid,overall,pooled,ALL,4,901,14.560420677384474,67.25967817210461,9.835524420788122,0.7176725577739872,889.0,94.56159822419534,level,none,0,,,,,6.0,6.0,8.0,8.0
gat,post_covid,overall,pooled,ALL,4,901,15.464266622212406,57.397748533137346,9.41494303538188,0.7354275838074547,889.0,85.01664816870145,level,,8129,,0.3626242322815,0.8381817186242644,0.7263638456350715,7.0,2.0,7.0,7.0
seasonal_naive,post_covid,overall,pooled,ALL,4,901,16.36626670086433,60.84219784569205,9.093289850118609,0.7653424034062706,889.0,97.89123196448392,level,none,0,,,,,8.0,4.0,6.0,6.0
