model,variant,horizon,indicator,season,level,label,threshold,n_weeks,onset_actual,onset_pred,onset_error_weeks,lead_time_weeks,first_alert_week,peak_week_actual,peak_week_pred,peak_week_error_weeks,peak_actual,peak_pred,peak_error,series
arima,post_covid,4,Eastside,2025-26,0.5,IT50,53.89825474693718,44,2025-12-21,2026-01-18,4.0,-4.0,2026-01-18,2025-12-21,2026-01-18,4.0,91.91387669753442,54.38270701238755,-37.53116968514687,arima
arima,post_covid,4,Eastside,2025-26,0.9,IT90,89.53274062296502,44,2025-12-21,,,,,2025-12-21,2026-01-18,4.0,91.91387669753442,54.38270701238755,-37.53116968514687,arima
arima,post_covid,4,Eastside,2025-26,0.98,IT98,123.87134674281285,44,,,,,,2025-12-21,2026-01-18,4.0,91.91387669753442,54.38270701238755,-37.53116968514687,arima
arima,post_covid,4,Far East,2024-25,0.5,IT50,76.01095931639992,9,,,,,,2025-06-01,2025-06-15,2.0,31.653696614248943,31.609225974230316,-0.044470640018626995,arima
arima,post_covid,4,Far East,2024-25,0.9,IT90,119.58175049878095,9,,,,,,2025-06-01,2025-06-15,2.0,31.653696614248943,31.609225974230316,-0.044470640018626995,arima
arima,post_covid,4,Far East,2024-25,0.98,IT98,159.7885780471188,9,,,,,,2025-06-01,2025-06-15,2.0,31.653696614248943,31.609225974230316,-0.044470640018626995,arima
arima,post_covid,4,Far East,2025-26,0.5,IT50,76.01095931639992,44,2025-12-21,2026-01-18,4.0,-4.0,2026-01-18,2025-12-28,2026-01-25,4.0,123.03134910443929,91.40562191272032,-31.625727191718966,arima
arima,post_covid,4,Far East,2025-26,0.9,IT90,119.58175049878095,44,2025-12-28,,,,,2025-12-28,2026-01-25,4.0,123.03134910443929,91.40562191272032,-31.625727191718966,arima
arima,post_covid,4,Far East,2025-26,0.98,IT98,159.7885780471188,44,,,,,,2025-12-28,2026-01-25,4.0,123.03134910443929,91.40562191272032,-31.625727191718966,arima
arima,post_covid,4,Far South,2024-25,0.5,IT50,69.7066330370401,9,,,,,,2025-06-01,2025-06-01,0.0,27.771843623157444,37.32101035565038,9.549166732492935,arima
arima,post_covid,4,Far South,2024-25,0.9,IT90,121.95949130896,9,,,,,,2025-06-01,2025-06-01,0.0,27.771843623157444,37.32101035565038,9.549166732492935,arima
arima,post_covid,4,Far South,2024-25,0.98,IT98,174.42921640712913,9,,,,,,2025-06-01,2025-06-01,0.0,27.771843623157444,37.32101035565038,9.549166732492935,arima
