date,ALMIRANTE BROWN,AVELLANEDA,EZEIZA,FLORENCIO VARELA,GENERAL SAN MARTÍN,JOSÉ C. PAZ,LA MATANZA,LANÚS,LOMAS DE ZAMORA,MALVINAS ARGENTINAS,MERLO,MORENO,MORÓN,QUILMES,SAN ISIDRO,SAN MIGUEL,TIGRE,TRES DE FEBRERO,VICENTE LÓPEZ
2022-07-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-07-10,1.5272265414173445,1.370997227950566,1.395785934414749,1.3890933850678264,1.3859758237561723,1.4192388211654225,1.6426891985699295,1.356449160020402,1.5030021073374868,1.6144229920346875,1.3831685183975364,1.4015743408423118,1.4737932082930802,1.4371293642235623,1.516141883309862,1.524897462124046,2.029766784167662,1.312478235259226,1.4198034605845558
2022-07-17,1.1080827017571,1.0072033428920364,1.0256620815277144,1.0093884607284251,1.023779052690901,1.0121072940604983,1.2569816234311706,0.9783736537421185,1.1325647527014955,1.4287817743467317,1.015757935740706,0.9683272590874502,1.1147219949419747,1.1007371167450803,1.0593822763239829,1.112727982235956,1.3799313620317177,0.9775812504479632,1.0415015284778641
2022-07-24,1.0745532030252454,0.9862950913488773,1.0191602720416857,0.9764372945362055,0.9933486964213508,0.9668573864199442,1.2287822252272738,0.9234268169852228,1.1098946274776582,1.3850062840037416,0.9723688027671964,0.8455813595969806,1.1183595945395048,1.1079147900243218,1.0169662173720082,1.0704149616430474,1.3207199411638635,0.9693903371841306,1.0292939015014646
2022-07-31,1.029609332581095,0.9681224002540294,1.0087780269292903,0.9825000695924202,0.9420878590457938,0.9598692057188042,1.1609761420107851,0.9069418273799227,1.3191813595153823,1.1564579584688781,0.84761805089096,0.8777839134685346,1.180039099375838,1.036522188673718,1.2109358240533448,0.9989406739769241,1.2856619293054268,0.9712272303085335,0.9967456121297241
2022-08-07,1.0400511531518477,1.0050501132638094,1.020115816840475,1.0048087725533021,0.9799307920496683,1.0092007906357,1.1635836787933496,0.9878451391867237,1.4312834535182464,1.0817125149421496,0.6935056248169142,1.0910013633313402,1.183500126479746,1.0144683981235885,1.2288752055862444,1.0056751758266727,1.1926320012784142,1.016177766897983,0.9682817791110648
2022-08-14,1.0254808870406502,1.0237614902769336,1.0226421125641416,0.993071328192425,1.0898269822564983,0.9988969831271963,1.206825646537649,1.0930229588343046,1.2655411529203286,1.2428096713833485,0.7223932482399568,1.1358813836187633,1.1594334652317908,1.0936942543968091,1.1137282270413735,1.0442277019021404,1.082425648534963,1.0667213304049987,0.9538572425198422
2022-08-21,1.054099366963343,1.0066728537213958,1.016786066523767,1.0576902881161303,1.0840892934995972,0.9380493897225299,1.2537834641771501,1.0936902168199236,1.2039472157858957,1.3289882971129334,1.1328186800758695,1.3155270878267962,1.2366331705441693,1.1272236048587376,1.1030720020038296,1.0974190391441903,1.090154278448365,1.0392838139257303,1.0111816151545334
2022-08-28,1.142630886538699,1.02569454347504,1.0182971419958657,1.034228233368626,1.0548084811499556,0.8427442777425108,1.2361758429208753,1.095941557301614,1.260357094448539,1.524837084072539,1.1428569556656232,1.2533475084099888,1.2487685216893745,1.090717184160383,1.0682593892445706,1.1240990311642112,1.1000883666808439,1.0476179390896116,1.0618315626579082
2022-09-04,1.1182239045899824,0.9876426249285954,0.9807077828451589,0.8991174141810242,1.0379023544771764,0.8236485225758905,1.1566189531186,1.0924024417693539,1.2862549276256627,1.5879759355984278,1.0873536717872132,1.1178589448683565,1.1730239657859118,1.0541277264321773,1.0778475422319274,1.1096317677855354,1.1611303851581602,1.0242104960377756,1.0380283689402885
