neighborhood,order
Allston/Brighton,"(0, 0, 0)"
Back Bay/Beacon Hill/Downtown/North End/West End,"(0, 0, 0)"
Charlestown,"(0, 0, 0)"
Dorchester,"(3, 0, 1)"
East Boston,"(0, 0, 0)"
Fenway,"(0, 0, 0)"
Hyde Park,"(2, 0, 2)"
Jamaica Plain,"(0, 0, 0)"
Mattapan,"(3, 0, 1)"
Roslindale,"(0, 0, 2)"
Roxbury,"(0, 0, 0)"
South Boston,"(3, 0, 2)"
South End,"(2, 0, 2)"
West Roxbury,"(0, 0, 0)"
