model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
gnn_st_v2,post_covid,Far Southeast,100.0,100.0,100.0,0.5968548094134665,0.2367548633091139,0.6582711773692563,2.492356593792255,1.8676311704847548,2.174100246069566,56.93576173202577,65.81143159985702,61.45732940054356,3.083374074981912,2.1633892587318844,2.654842215872724,blend,train,15734,69b537f,,,,2.0
gnn_st,post_covid,Far Southeast,100.0,100.0,100.0,0.5968947893073678,0.2345501732245794,0.6579778858550133,2.4920033674973707,1.8728000941099945,2.1765601904887073,56.8963644128303,66.03503360319287,61.55191286829802,3.0824224756731105,2.166468146045379,2.655579069968472,blend,train,15734,,,,,2.3333333333333335
xgboost,post_covid,Far Southeast,100.0,100.0,100.0,0.4047552311776992,0.1176235168769735,0.5579469081200249,2.7587214225834775,1.7856090806349485,2.262984946496491,63.62327940456161,71.6580367690774,67.71645768459796,3.523922667538908,2.10523773098907,2.889582801198706,climatology,,,,,,,3.0
lstm,post_covid,Far Southeast,100.0,100.0,100.0,0.4730693546743966,0.1613970543133166,0.5830251301390775,2.764485035673338,1.8580770269394955,2.3027300123560974,68.30408703516837,76.33357023905688,72.39457847865872,3.4390260116383287,2.246057761089656,2.8934158673401993,level,train,22353,,,,,4.0
arima,post_covid,Far Southeast,100.0,100.0,100.0,0.4351623955063872,0.2108267852176547,0.5129279932815062,2.9970952385612835,1.9098059039917403,2.4431931247239693,57.62747986843835,88.30671458068649,73.25652396713079,3.5644079538760227,2.323390528511575,2.997105463353021,level,none,,,,,,5.333333333333333
gat,post_covid,Far Southeast,92.3076923076923,100.0,96.22641509433964,0.1274740726066442,0.5815485590999059,0.4602028466153431,3.3146187250430765,1.5465768531516746,2.4139181487965136,85.79523166655461,74.82525179387468,80.20675135405726,4.14475057904946,1.8584301982837743,3.1916887559188423,level,,8129,,,,,4.666666666666667
persistence,post_covid,Far Southeast,92.3076923076923,92.5925925925926,92.45283018867924,0.5176289424930972,0.3359797303842359,0.5665915257718198,3.162746194343846,2.1004189285553005,2.6215606061119456,56.62476412476411,80.57172251616694,68.82415802227123,3.7943621084513466,2.610779327814704,3.2457906962421443,level,none,0,,,,,7.0
dualtopo,post_covid,Far Southeast,80.76923076923077,100.0,90.56603773584906,0.1789297652006574,-0.0204894952780501,0.315495400199978,3.467657300142142,2.0303488042619495,2.735443538089968,55.98581342212632,96.6690068633013,76.71121385442302,4.334855874592485,2.3833379003557864,3.4802229639239917,level,train,479905,,,,,7.666666666666667
seasonal_naive,post_covid,Far Southeast,100.0,96.29629629629628,98.1132075471698,0.1640525420505199,0.1853672044827781,0.3653802942333006,6.03466515242619,2.450488749981184,4.208763966274961,148.1544844044844,90.54967666078778,118.80863895014838,8.088448697085768,3.0869727726263045,6.078560971603202,level,none,0,,,,,9.0
gnn_st_v2,post_covid,Far Southwest,96.15384615384616,96.29629629629628,96.22641509433964,0.8312869194338903,0.4816357712434423,0.8608896191467057,4.46228133715116,3.0656539422494395,3.7507919095597178,25.13921174342923,24.63244936576809,24.88104977745091,6.391443065278466,4.350422995903503,5.448075690125486,blend,train,15734,69b537f,,,,1.6666666666666667
