model,variant,horizon,indicator,season,level,label,threshold,n_weeks,onset_actual,onset_pred,onset_error_weeks,lead_time_weeks,first_alert_week,peak_week_actual,peak_week_pred,peak_week_error_weeks,peak_actual,peak_pred,peak_error,series
arima,post_covid,1,Agler/Cassidy,2024-25,0.5,IT50,51.74083078339265,9,,,,,,2025-06-08,2025-06-01,-1.0,30.73424101791806,30.26429360479222,-0.46994741312584054,arima
arima,post_covid,1,Agler/Cassidy,2024-25,0.9,IT90,88.48740693700204,9,,,,,,2025-06-08,2025-06-01,-1.0,30.73424101791806,30.26429360479222,-0.46994741312584054,arima
arima,post_covid,1,Agler/Cassidy,2024-25,0.98,IT98,124.72586226376617,9,,,,,,2025-06-08,2025-06-01,-1.0,30.73424101791806,30.26429360479222,-0.46994741312584054,arima
arima,post_covid,1,Agler/Cassidy,2025-26,0.5,IT50,51.74083078339265,44,2025-12-14,2025-12-21,1.0,-1.0,2025-12-21,2025-12-14,2025-12-28,2.0,86.05587485017058,80.78674856880585,-5.269126281364734,arima
arima,post_covid,1,Agler/Cassidy,2025-26,0.9,IT90,88.48740693700204,44,,,,,,2025-12-14,2025-12-28,2.0,86.05587485017058,80.78674856880585,-5.269126281364734,arima
arima,post_covid,1,Agler/Cassidy,2025-26,0.98,IT98,124.72586226376617,44,,,,,,2025-12-14,2025-12-28,2.0,86.05587485017058,80.78674856880585,-5.269126281364734,arima
arima,post_covid,1,Bexley,2024-25,0.5,IT50,24.605454693531783,9,,,,,,2025-06-08,2025-06-01,-1.0,7.034574935809503,15.972319431096595,8.937744495287092,arima
arima,post_covid,1,Bexley,2024-25,0.9,IT90,37.5430295506582,9,,,,,,2025-06-08,2025-06-01,-1.0,7.034574935809503,15.972319431096595,8.937744495287092,arima
arima,post_covid,1,Bexley,2024-25,0.98,IT98,49.19357270883574,9,,,,,,2025-06-08,2025-06-01,-1.0,7.034574935809503,15.972319431096595,8.937744495287092,arima
arima,post_covid,1,Bexley,2025-26,0.5,IT50,24.605454693531783,44,2025-12-07,2026-01-11,5.0,-5.0,2026-01-11,2026-01-04,2026-01-11,1.0,49.24202455066653,31.10713563123376,-18.13488891943277,arima
arima,post_covid,1,Bexley,2025-26,0.9,IT90,37.5430295506582,44,2025-12-28,,,,,2026-01-04,2026-01-11,1.0,49.24202455066653,31.10713563123376,-18.13488891943277,arima
arima,post_covid,1,Bexley,2025-26,0.98,IT98,49.19357270883574,44,2026-01-04,,,,,2026-01-04,2026-01-11,1.0,49.24202455066653,31.10713563123376,-18.13488891943277,arima
arima,post_covid,1,Clintonville/Near North,2024-25,0.5,IT50,15.728895715230147,9,,,,,,2025-07-13,2025-06-01,-6.0,5.136054072377274,5.944650839597577,0.8085967672203029,arima
arima,post_covid,1,Clintonville/Near North,2024-25,0.9,IT90,22.099499115677975,9,,,,,,2025-07-13,2025-06-01,-6.0,5.136054072377274,5.944650839597577,0.8085967672203029,arima
arima,post_covid,1,Clintonville/Near North,2024-25,0.98,IT98,27.469599865392972,9,,,,,,2025-07-13,2025-06-01,-6.0,5.136054072377274,5.944650839597577,0.8085967672203029,arima
arima,post_covid,1,Clintonville/Near North,2025-26,0.5,IT50,15.728895715230147,44,2025-12-07,2025-12-21,2.0,-2.0,2025-12-21,2025-12-28,2026-01-04,1.0,27.73469199083728,23.89331647108651,-3.8413755197507697,arima
arima,post_covid,1,Clintonville/Near North,2025-26,0.9,IT90,22.099499115677975,44,2025-12-21,2026-01-04,2.0,-2.0,2026-01-04,2025-12-28,2026-01-04,1.0,27.73469199083728,23.89331647108651,-3.8413755197507697,arima
arima,post_covid,1,Clintonville/Near North,2025-26,0.98,IT98,27.469599865392972,44,2025-12-28,,,,,2025-12-28,2026-01-04,1.0,27.73469199083728,23.89331647108651,-3.8413755197507697,arima
arima,post_covid,1,Dublin,2024-25,0.5,IT50,8.038849454818003,9,,,,,,2025-07-13,2025-06-01,-6.0,3.8103947568968146,3.7638125550488386,-0.04658220184797601,arima
arima,post_covid,1,Dublin,2024-25,0.9,IT90,14.1626396504559,9,,,,,,2025-07-13,2025-06-01,-6.0,3.8103947568968146,3.7638125550488386,-0.04658220184797601,arima
arima,post_covid,1,Dublin,2024-25,0.98,IT98,20.345693253667104,9,,,,,,2025-07-13,2025-06-01,-6.0,3.8103947568968146,3.7638125550488386,-0.04658220184797601,arima
arima,post_covid,1,Dublin,2025-26,0.5,IT50,8.038849454818003,44,2025-12-14,2025-12-21,1.0,-1.0,2025-12-21,2025-12-21,2025-12-28,1.0,16.765736930345984,12.946811268925094,-3.8189256614208897,arima
arima,post_covid,1,Dublin,2025-26,0.9,IT90,14.1626396504559,44,2025-12-21,,,,,2025-12-21,2025-12-28,1.0,16.765736930345984,12.946811268925094,-3.8189256614208897,arima
arima,post_covid,1,Dublin,2025-26,0.98,IT98,20.345693253667104,44,,,,,,2025-12-21,2025-12-28,1.0,16.765736930345984,12.946811268925094,-3.8189256614208897,arima
arima,post_covid,1,Eastside,2024-25,0.5,IT50,53.89825474693718,9,,,,,,2025-06-01,2025-06-01,0.0,18.38277533950688,22.91566816287652,4.532892823369643,arima
arima,post_covid,1,Eastside,2024-25,0.9,IT90,89.53274062296502,9,,,,,,2025-06-01,2025-06-01,0.0,18.38277533950688,22.91566816287652,4.532892823369643,arima
arima,post_covid,1,Eastside,2024-25,0.98,IT98,123.87134674281285,9,,,,,,2025-06-01,2025-06-01,0.0,18.38277533950688,22.91566816287652,4.532892823369643,arima
arima,post_covid,1,Eastside,2025-26,0.5,IT50,53.89825474693718,44,2025-12-21,2025-12-28,1.0,-1.0,2025-12-28,2025-12-21,2025-12-28,1.0,91.91387669753442,72.64558212523121,-19.268294572303205,arima
