indicator,level,label,threshold,band_at_or_above,reference_seasons,values_per_season,n_pooled,geometric_mean,log_sd,use_t,fitted_through,underpowered
Agler/Cassidy,0.5,IT50,51.74083078339265,moderate,2022-23 2023-24 2024-25,10,30,51.74083078339265,0.4025266688571466,True,2025-05-31,False
Agler/Cassidy,0.9,IT90,88.48740693700204,high,2022-23 2023-24 2024-25,10,30,51.74083078339265,0.4025266688571466,True,2025-05-31,False
Agler/Cassidy,0.98,IT98,124.72586226376617,very high,2022-23 2023-24 2024-25,10,30,51.74083078339265,0.4025266688571466,True,2025-05-31,False
Bexley,0.5,IT50,24.605454693531783,moderate,2022-23 2023-24 2024-25,10,30,24.605454693531783,0.3169423645056228,True,2025-05-31,False
Bexley,0.9,IT90,37.5430295506582,high,2022-23 2023-24 2024-25,10,30,24.605454693531783,0.3169423645056228,True,2025-05-31,False
Bexley,0.98,IT98,49.19357270883574,very high,2022-23 2023-24 2024-25,10,30,24.605454693531783,0.3169423645056228,True,2025-05-31,False
Clintonville/Near North,0.5,IT50,15.728895715230147,moderate,2022-23 2023-24 2024-25,10,30,15.728895715230147,0.25508397411240086,True,2025-05-31,False
Clintonville/Near North,0.9,IT90,22.099499115677975,high,2022-23 2023-24 2024-25,10,30,15.728895715230147,0.25508397411240086,True,2025-05-31,False
Clintonville/Near North,0.98,IT98,27.469599865392972,very high,2022-23 2023-24 2024-25,10,30,15.728895715230147,0.25508397411240086,True,2025-05-31,False
Dublin,0.5,IT50,8.038849454818003,moderate,2022-23 2023-24 2024-25,10,30,8.038849454818003,0.42481175012976624,True,2025-05-31,False
Dublin,0.9,IT90,14.1626396504559,high,2022-23 2023-24 2024-25,10,30,8.038849454818003,0.42481175012976624,True,2025-05-31,False
Dublin,0.98,IT98,20.345693253667104,very high,2022-23 2023-24 2024-25,10,30,8.038849454818003,0.42481175012976624,True,2025-05-31,False
Eastside,0.5,IT50,53.89825474693718,moderate,2022-23 2023-24 2024-25,10,30,53.89825474693718,0.38069298733725804,True,2025-05-31,False
Eastside,0.9,IT90,89.53274062296502,high,2022-23 2023-24 2024-25,10,30,53.89825474693718,0.38069298733725804,True,2025-05-31,False
Eastside,0.98,IT98,123.87134674281285,very high,2022-23 2023-24 2024-25,10,30,53.89825474693718,0.38069298733725804,True,2025-05-31,False
Far East,0.5,IT50,76.01095931639992,moderate,2022-23 2023-24 2024-25,10,30,76.01095931639992,0.33989853131603626,True,2025-05-31,False
Far East,0.9,IT90,119.58175049878095,high,2022-23 2023-24 2024-25,10,30,76.01095931639992,0.33989853131603626,True,2025-05-31,False
Far East,0.98,IT98,159.7885780471188,very high,2022-23 2023-24 2024-25,10,30,76.01095931639992,0.33989853131603626,True,2025-05-31,False
Far South,0.5,IT50,69.7066330370401,moderate,2022-23 2023-24 2024-25,10,30,69.7066330370401,0.41961485315569236,True,2025-05-31,False
Far South,0.9,IT90,121.95949130896,high,2022-23 2023-24 2024-25,10,30,69.7066330370401,0.41961485315569236,True,2025-05-31,False
Far South,0.98,IT98,174.42921640712913,very high,2022-23 2023-24 2024-25,10,30,69.7066330370401,0.41961485315569236,True,2025-05-31,False
Far Southeast,0.5,IT50,10.956265259525463,moderate,2022-23 2023-24 2024-25,10,30,10.956265259525463,0.38905343479489685,True,2025-05-31,False
Far Southeast,0.9,IT90,18.40391015194404,high,2022-23 2023-24 2024-25,10,30,10.956265259525463,0.38905343479489685,True,2025-05-31,False
Far Southeast,0.98,IT98,25.644566505740826,very high,2022-23 2023-24 2024-25,10,30,10.956265259525463,0.38905343479489685,True,2025-05-31,False
Far Southwest,0.5,IT50,34.041053932580134,moderate,2022-23 2023-24 2024-25,10,30,34.041053932580134,0.35552256649752395,True,2025-05-31,False
Far Southwest,0.9,IT90,54.68112356483704,high,2022-23 2023-24 2024-25,10,30,34.041053932580134,0.35552256649752395,True,2025-05-31,False
Far Southwest,0.98,IT98,74.04650918881951,very high,2022-23 2023-24 2024-25,10,30,34.041053932580134,0.35552256649752395,True,2025-05-31,False
