neighborhood,order
Allston/Brighton,"(0, 0, 3)"
Back Bay/Beacon Hill/Downtown/North End/West End,"(0, 0, 0)"
Charlestown,"(0, 0, 0)"
Dorchester,"(2, 0, 1)"
East Boston,"(0, 0, 0)"
Fenway,"(0, 0, 0)"
Hyde Park,"(2, 0, 1)"
Jamaica Plain,"(0, 0, 1)"
Mattapan,"(0, 0, 0)"
Roslindale,"(3, 0, 2)"
Roxbury,"(0, 0, 0)"
South Boston,"(0, 0, 0)"
South End,"(0, 0, 3)"
West Roxbury,"(0, 0, 0)"
