neighborhood,order
Allston/Brighton,"(3, 0, 2)"
Back Bay/Beacon Hill/Downtown/North End/West End,"(1, 0, 0)"
Charlestown,"(2, 0, 3)"
Dorchester,"(2, 0, 1)"
East Boston,"(3, 0, 0)"
Fenway,"(1, 0, 0)"
Hyde Park,"(3, 0, 2)"
Jamaica Plain,"(1, 0, 0)"
Mattapan,"(1, 0, 0)"
Roslindale,"(3, 0, 1)"
Roxbury,"(1, 0, 3)"
South Boston,"(1, 0, 3)"
South End,"(1, 0, 3)"
West Roxbury,"(1, 0, 2)"
