neighborhood,order
Agler/Cassidy,"(0, 0, 3)"
Bexley,"(3, 0, 0)"
Clintonville/Near North,"(1, 0, 0)"
Dublin,"(2, 0, 0)"
Eastside,"(0, 0, 3)"
Far East,"(0, 0, 3)"
Far South,"(1, 0, 0)"
Far Southeast,"(2, 0, 0)"
Far Southwest,"(1, 0, 0)"
Hilliard,"(0, 0, 3)"
Linden,"(1, 0, 0)"
NE Suburban,"(0, 0, 3)"
Northland,"(1, 0, 0)"
UA/Grandview,"(2, 0, 0)"
West,"(0, 0, 3)"
Westerville,"(3, 0, 1)"
Worthington,"(2, 0, 0)"
