"Topic: Volume ($) of Small Business Loans",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",,,,
"Note: A business is considered small if it has <$1M in annual revenue. All monetary values are in 2024 inflation-adjusted dollars.",,,,
"Source: FFIEC, Community Reinvestment Act data, https://github.com/acforrester/community-reinvestment-act; City of Boston Planning Department Research Division analysis",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Loans to small businesses","Loans to large businesses","Average dollar value of all small loans"
"Allston","1996","6599815","25104419","127839.653225806"
"Allston","1997","9434983","13582200","107056.665116279"
"Allston","1998","6916523","19502284","123452.369158879"
"Allston","1999","6524451","16046608","96457.5170940171"
"Allston","2000","7952141","10441091","45983.08"
"Allston","2001","14815389","19360452","69889.245398773"
"Allston","2002","6637724","22043897","54014.352165725"
"Allston","2003","12765703","22135698","61881.9166666667"
"Allston","2004","11707765","19747394","53223.6192893401"
"Allston","2005","11338861","15875932","46048.7191201354"
"Allston","2006","8844948","19790775","29582.3584710744"
"Allston","2007","8331692","20414661","27221.9251893939"
"Allston","2008","6837426","21048466","35614.1660280971"
"Allston","2009","5845075","12977060","58272.8637770898"
"Allston","2010","5106967","9291576","44303.2092307692"
"Allston","2011","3207510","12017493","38544.3113924051"
"Allston","2012","6723891","16758393","59448.8202531646"
"Allston","2013","8488250","19057916","63324.5195402299"
"Allston","2014","8679737","12873163","37745.88441331"
"Allston","2015","5056797","19173182","53369.9977973568"
"Allston","2016","14560321","14938342","50859.7637931034"
"Allston","2017","6962654","14399793","36454.6877133106"
"Allston","2018","5494819","14966451","31821.5707620529"
"Allston","2019","5291588","14129125","29970.2361111111"
"Allston","2020","10535198","39419836","63556.0229007634"
"Allston","2021","9074144","26830349","45680.0165394402"
"Allston","2022","6150749","9180575","27183.1985815603"
"Allston","2023","3781490","7289124","21496.3378640777"
"Allston","2024","4895000","8658000","21478.6053882726"
"Back Bay","1996","23440529","71665157","171053.392086331"
"Back Bay","1997","29079307","67266660","164132.822827939"
"Back Bay","1998","20390500","38881481","115315.138132296"
"Back Bay","1999","23582106","34004251","126563.421978022"
"Back Bay","2000","22638502","41090692","89131.7398601399"
"Back Bay","2001","32032472","53128841","94204.9922566372"
"Back Bay","2002","26672348","64731362","70527.5540123457"
"Back Bay","2003","17466612","52324822","68222.320625611"
"Back Bay","2004","21934090","64599949","85507.9436758893"
"Back Bay","2005","27021890","33878957","70487.0914351852"
"Back Bay","2006","25405654","75498067","49173.3533138402"
"Back Bay","2007","24994611","78809371","49619.4942638623"
"Back Bay","2008","17829758","59235828","45412.8379493223"
"Back Bay","2009","10032551","39009947","65564.8368983957"
"Back Bay","2010","14681045","25805097","55997.4301521438"
"Back Bay","2011","9843401","37395718","56304.0750893921"
"Back Bay","2012","15075635","37765600","56635.8360128617"
"Back Bay","2013","12965369","38011555","56328.0928176796"
"Back Bay","2014","14603550","44801979","60556.0948012232"
"Back Bay","2015","18219748","58493799","75209.3598039216"
"Back Bay","2016","22181204","59520653","68946.7147679325"
"Back Bay","2017","16593719","48935153","51074.7248636009"
"Back Bay","2018","19496624","49609825","50369.1319241982"
"Back Bay","2019","16616163","53838134","51652.7104105572"
"Back Bay","2020","32414858","151931166","96465.7373103087"
"Back Bay","2021","22235658","99984641","70893.4448955916"
"Back Bay","2022","18295773","53814499","47566.1424802111"
"Back Bay","2023","11450514","43797544","36588.1178807947"
"Back Bay","2024","12714000","38174000","33087.1261378414"
"Beacon Hill","1996","5625008","12579438","118210.688311688"
"Beacon Hill","1997","5123317","8701682","89193.5419354839"
"Beacon Hill","1998","9093395","6475285","106634.794520548"
"Beacon Hill","1999","6975838","4649484","75002.0774193548"
"Beacon Hill","2000","7353611","3413655","47432.8898678414"
"Beacon Hill","2001","5472434","9982891","68386.3938053097"
"Beacon Hill","2002","5058679","9847867","56678.8821292776"
"Beacon Hill","2003","12614982","8890977","73149.5204081633"
"Beacon Hill","2004","7333051","7476015","53079.0896057348"
"Beacon Hill","2005","3503180","7038957","39190.1003717472"
"Beacon Hill","2006","7868036","14077619","36945.5471380471"
"Beacon Hill","2007","9019602","11150697","32480.3526570048"
"Beacon Hill","2008","5785998","7832376","28791.488372093"
"Beacon Hill","2009","3026994","6247304","48812.0947368421"
"Beacon Hill","2010","1767242","4345333","32863.3064516129"
"Beacon Hill","2011","8367880","5400192","60920.6725663717"
"Beacon Hill","2012","5999376","2919760","42880.4615384615"
"Beacon Hill","2013","4737812","6785614","54355.7830188679"
"Beacon Hill","2014","2405431","3799653","28727.2407407407"
"Beacon Hill","2015","3254803","7407026","48684.1506849315"
"Beacon Hill","2016","4061108","8277759","42547.8172413793"
"Beacon Hill","2017","3779503","5613579","30106.0320512821"
"Beacon Hill","2018","4190163","6963615","35521.5859872611"
"Beacon Hill","2019","6370920","4627596","35365.0032154341"
"Beacon Hill","2020","3344275","15431664","48516.6382428941"
"Beacon Hill","2021","3509736","15433808","45428.1630695444"
"Beacon Hill","2022","3780047","4991120","26823.1406727829"
"Beacon Hill","2023","3577642","2761219","21783.0274914089"
"Beacon Hill","2024","4965000","3879000","31250.8833922261"
"Brighton","1996","6689948","12799497","82233.9451476793"
"Brighton","1997","9357699","14924432","97911.8185483871"
"Brighton","1998","10165693","20104747","118707.607843137"
"Brighton","1999","8348996","8862980","55522.5032258065"
"Brighton","2000","9968108","10525072","42962.641509434"
"Brighton","2001","13291847","12516144","45921.6921708185"
"Brighton","2002","11542577","15172884","38943.8206997085"
"Brighton","2003","12475213","12855490","34463.5414965986"
"Brighton","2004","15947322","17217393","42959.475388601"
"Brighton","2005","11970992","16306829","34193.253929867"
"Brighton","2006","17292050","17831438","24340.6015246015"
"Brighton","2007","16469221","15546588","20148.4008810573"
"Brighton","2008","8337611","17265771","21771.5833333333"
"Brighton","2009","5932203","11551501","35753.9959100205"
"Brighton","2010","11766095","15001835","55535.1244813278"
"Brighton","2011","7188249","8400206","29862.9406130268"
"Brighton","2012","10248154","12977525","39432.3921901528"
"Brighton","2013","11882055","14245445","45999.1197183099"
"Brighton","2014","10879133","12327536","37190.1746794872"
"Brighton","2015","9753284","17176310","46590.9930795848"
"Brighton","2016","14756252","15434354","42048.1977715877"
"Brighton","2017","11971976","12403574","31615.4993514916"
"Brighton","2018","13234733","13861217","32218.727705113"
"Brighton","2019","10713614","16475335","30791.5617214043"
"Brighton","2020","14209283","40167599","54705.1126760563"
"Brighton","2021","11425167","29477065","41066.4979919679"
"Brighton","2022","7306091","14369968","25292.950991832"
"Brighton","2023","7225292","15315396","24421.11375948"
"Brighton","2024","8140000","11618000","18943.4324065197"
"Charlestown","1996","2877083","18262179","146800.430555556"
"Charlestown","1997","2728506","23147346","215632.1"
"Charlestown","1998","5463769","12180413","131673"
"Charlestown","1999","8797157","8096699","123312.817518248"
"Charlestown","2000","7277767","14870692","82336.2788104089"
"Charlestown","2001","4747126","17670645","51653.8502304147"
"Charlestown","2002","8401371","14389396","55183.4552058111"
"Charlestown","2003","7625979","16967078","61482.6425"
"Charlestown","2004","9399375","19069440","66671.6978922717"
"Charlestown","2005","10615685","14512440","70783.4507042254"
"Charlestown","2006","6084162","17614504","30539.5180412371"
"Charlestown","2007","7794832","24931054","39571.8089480048"
"Charlestown","2008","5844174","15851102","35919.3311258278"
"Charlestown","2009","3815587","8340471","48624.232"
"Charlestown","2010","3089535","13697226","68798.2008196721"
"Charlestown","2011","3573586","10109816","47844.0629370629"
"Charlestown","2012","4806605","9650101","40838.1525423729"
"Charlestown","2013","5184801","11740189","53391.1356466877"
"Charlestown","2014","4152185","20086342","63785.5973684211"
"Charlestown","2015","5810730","14673748","52659.3264781491"
"Charlestown","2016","4326446","19951320","52663.2668112798"
"Charlestown","2017","7314547","16527165","44984.3622641509"
"Charlestown","2018","3685444","13405022","32553.2685714286"
"Charlestown","2019","5816393","11568991","31495.2608695652"
"Charlestown","2020","9604942","42711927","81237.3742236025"
"Charlestown","2021","6919921","27163410","49253.3684971098"
"Charlestown","2022","6832380","14017364","36386.9877835951"
"Charlestown","2023","5135332","11701720","30501.9057971014"
